,ctva,shw,Ratio,Spread
0,46.27000045776367,339.8399963378906,7.344715646763489,-134.4584855569808
1,46.869998931884766,342.9800109863281,7.317687621132105,-134.87641953753314
2,46.4900016784668,341.32000732421875,7.341793826656519,-134.94039222201985
3,46.63999938964844,341.6700134277344,7.325686490115321,-134.6098868118476
4,46.43000030517578,341.7449951171875,7.3604349099927,-135.63759500440386
5,46.29999923706055,341.29998779296875,7.371490138595451,-135.78237817063473
6,46.06999969482422,340.30999755859375,7.3868026874944,-135.83585276916793
7,44.40999984741211,330.3900146484375,7.43954099940602,-133.4469781671652
8,43.95000076293945,331.9800109863281,7.553583736596156,-137.12390417087227
9,44.2599983215332,333.5400085449219,7.5359245637984875,-137.27750088390428
10,44.27000045776367,334.1000061035156,7.546871530355365,-137.7921206243121
11,44.720001220703125,334.2300109863281,7.473837250961352,-135.88055635292733
12,44.84000015258789,335.69000244140625,7.48639610390439,-136.79613513574176
13,44.77000045776367,335.7900085449219,7.500335159962942,-137.21371674029177
14,45.790000915527344,334.0299987792969,7.2948240249112475,-130.82615599400856
15,45.849998474121094,333.05499267578125,7.26401316815236,-129.5789522076445
16,45.91999816894531,335.6449890136719,7.30934238670465,-131.85137304450075
17,45.95500183105469,335.5899963378906,7.302578238852584,-131.6375753116355
18,45.65999984741211,334.30999755859375,7.321725770385467,-131.69594526375505
19,45.7400016784668,335.2900085449219,7.330345348517285,-132.31300293086284
20,45.81999969482422,334.4800109863281,7.299869341206273,-131.14006935961558
21,45.900001525878906,336.135009765625,7.323202583688555,-132.43211481969215
22,46.11000061035156,337.05999755859375,7.309910932487057,-132.40437610955777
23,46.08000183105469,336.9649963378906,7.312608136894644,-132.44547373027885
24,45.875,338.1600036621094,7.371335229691757,-134.57053595507458
25,45.7599983215332,337.1300048828125,7.36735177553907,-134.0622782455152
26,45.7599983215332,338.5,7.397290481121208,-135.4322733627027
27,45.93000030517578,338.6600036621094,7.373394326408186,-134.8210098747523
28,46.569698333740234,341.381591796875,7.330551925640035,-134.6404079008009
29,46.41999816894531,340.5,7.335200634018817,-134.4379777054023
30,46.48500061035156,339.05999755859375,7.293965647127254,-132.70307136548783
31,46.439998626708984,338.2099914550781,7.282730436184031,-132.05723083067534
32,46.52000045776367,339.30999755859375,7.293851982367439,-132.79428361497065
33,46.56999969482422,339.2200012207031,7.284088542916696,-132.47745010585072
34,46.44499969482422,338.32000732421875,7.284314986483266,-132.14455779072298
35,46.58000183105469,341.4800109863281,7.331043313928443,-134.69208205328977
36,46.63999938964844,343.2300109863281,7.359134122598352,-136.16988437044134
37,46.63999938964844,344.0799865722656,7.377358299207714,-137.01985995637884
38,46.80500030517578,344.6300048828125,7.363102288981349,-136.82130002595892
39,46.959999084472656,345.79998779296875,7.363713682594761,-137.2880825133343
40,46.800498962402344,345.739990234375,7.387527866147939,-137.95170712636178
41,47.0099983215332,345.54998779296875,7.350563712628077,-136.81124534210502
42,47.34000015258789,347.95001220703125,7.350021357953253,-137.7141132742339
43,47.31999969482422,349.32000732421875,7.382079661391604,-139.1748467212265
44,47.29999923706055,348.2799987792969,7.363213623614864,-138.2255765061097
45,47.43000030517578,348.635009765625,7.35051670930688,-137.9907970019882
46,47.31999969482422,348.25,7.359467503083923,-138.10483939700774
47,47.41999816894531,347.8349914550781,7.335196222822091,-137.23615650962728
48,47.38999938964844,348.4100036621094,7.3519731620467965,-137.94726755808276
49,47.209999084472656,349.4100036621094,7.401186410465959,-139.76389521976165
50,47.2400016784668,350.6700134277344,7.423158360885045,-140.88778883739562
51,47.364601135253906,350.0299987792969,7.390118155534648,-139.68248979711694
52,47.41999816894531,350.9649963378906,7.401202233021861,-140.36616139243978
53,47.29999923706055,350.7699890136719,7.415856124133638,-140.7155667404847
54,47.42499923706055,351.80999755859375,7.418239393110412,-141.18847370404993
55,47.36000061035156,351.55999755859375,7.423141744676258,-141.23336029599133
56,47.470001220703125,351.0249938964844,7.394669999363548,-140.19930447323742
57,47.369998931884766,350.5199890136719,7.399619947589586,-140.14799123945033
58,47.39500045776367,350.1700134277344,7.388332314497822,-139.68458841461478
59,47.2599983215332,350.19000244140625,7.40986066184112,-140.31705682782925
60,47.31999969482422,350.6300048828125,7.409763464583534,-140.48484427982024
61,47.21500015258789,351.3699951171875,7.441914518302266,-141.7011977657468
62,47.130001068115234,350.4100036621094,7.434967021445106,-141.12683123241516
63,47.400001525878906,351.0400085449219,7.405907114860853,-140.5318946227093
64,47.25,350.5899963378906,7.41989410238922,-140.76241123593275
65,47.150001525878906,352.0950012207031,7.4675501553791275,-142.72109046120383
66,47.29999923706055,352.8949890136719,7.460782129086615,-142.8405667404847
67,47.31999969482422,351.92999267578125,7.437235734265543,-141.784832072789
68,47.36000061035156,352.6499938964844,7.446156869757409,-142.32335663388196
69,47.290000915527344,352.1499938964844,7.446605774559382,-142.14093213491634
70,47.71500015258789,341.8500061035156,7.164413811386625,-129.91280242664837
71,47.40999984741211,336.9599914550781,7.107361158818295,-126.4065170212464
72,47.04999923706055,338.4599914550781,7.193623739497927,-129.53977234460424
73,46.95000076293945,335.7650146484375,7.151544391741046,-127.2984698804222
74,47.029998779296875,338.45001220703125,7.196470784430908,-129.62053142636245
75,47.02000045776367,338.6690979003906,7.202660455195115,-129.88497763134094
76,46.900001525878906,339.1199951171875,7.230703285373345,-130.88028752040148
77,48.29999923706055,336.1700134277344,6.960041795814179,-121.57877850369405
78,47.790000915527344,334.4599914550781,6.998534945547772,-122.18252336808351
79,47.689998626708984,334.3550109863281,7.01100902945028,-122.53123454835892
