,wmt,cost,Ratio,Spread
0,142.25999450683594,550.219970703125,3.867706958731013,-24.043986884295883
1,142.20509338378906,553.2666015625,3.890624367928376,-27.295117627256523
2,141.02999877929688,550.8200073242188,3.905693909749071,-29.22560524967829
3,140.47999572753906,553.0,3.9365035365785706,-33.45429117277532
4,140.44000244140625,550.8560180664062,3.9223583629331817,-31.459279276668404
5,140.42999267578125,550.6900024414062,3.92145575135659,-31.330548788864768
6,138.75,547.6099853515625,3.9467386331644145,-34.50829634125906
7,138.30999755859375,539.0999755859375,3.8977657805073185,-27.637241173486778
8,138.59620666503906,543.6409301757812,3.9224805877238693,-31.11210229017464
9,138.47999572753906,543.2150268554688,3.9226967332108416,-31.119070318774753
10,139.0751953125,546.1900024414062,3.927299912929297,-31.8770011690195
11,138.9600067138672,545.5900268554688,3.926237769827503,-31.706088846335852
12,139.40769958496094,548.0,3.930916309726678,-32.44846149492465
13,139.1999969482422,548.8499755859375,3.9428878420881914,-34.07210367768456
14,138.6300048828125,537.969970703125,3.8806171229517363,-25.31524864238164
15,138.4499969482422,536.8099975585938,3.8772842859597425,-24.8257827592898
16,139.34500122070312,543.7000122070312,3.9018264555173094,-28.382017343326957
17,139.47210693359375,543.14501953125,3.8942913495230647,-27.353571629672466
18,139.6334991455078,543.3499755859375,3.8912580355787623,-26.957361684169733
19,139.60499572753906,545.0599975585938,3.904301523867838,-28.773555358476266
20,139.66000366210938,545.489990234375,3.9058425886492354,-28.998650290976194
21,139.44000244140625,541.3400268554688,3.882243383371597,-25.668164210996302
22,139.2899932861328,545.0750122070312,3.9132388432765963,-29.96191508660828
23,139.13900756835938,547.1259765625,3.932225664996895,-32.57528254048699
24,139.58999633789062,546.6268920898438,3.915946030736202,-30.39632075842129
25,139.9199981689453,546.9650268554688,3.909126886887463,-29.505239575656752
26,139.9149932861328,548.8699951171875,3.9228819029760613,-31.428850405973627
27,139.8000030517578,549.6599731445312,3.931759378724992,-32.64715281427933
28,139.27999877929688,550.0999755859375,3.949597791551004,-35.02410676561143
29,138.90499877929688,548.25,3.9469421893959518,-34.570959734148424
30,139.52000427246094,549.219970703125,3.9364962291040615,-33.25011114657942
31,139.5399932861328,549.7000122070312,3.939372500039093,-33.65569605029187
32,139.89999389648438,551.094970703125,3.9392065385713626,-33.70969686060615
33,139.99000549316406,551.4000244140625,3.9388527950374876,-33.67946852227427
34,139.49000549316406,550.0700073242188,3.943436702719005,-34.21188950506322
35,140.34500122070312,562.260009765625,4.006270297304202,-43.21713875665531
36,139.9600067138672,561.0675048828125,4.008770205547741,-43.458690728414204
37,139.99000549316406,562.1099853515625,4.015357977673708,-44.38942945977427
38,140.22000122070312,564.0283813476562,4.0224531196508,-45.45111985684476
39,140.7978057861328,564.6099853515625,4.010076593162157,-43.88047341835655
40,140.81500244140625,565.0700073242188,4.012853726713863,-44.27643998000641
41,140.7899932861328,563.4000244140625,4.001705030761976,-42.69961307574143
42,141.8300018310547,564.0499877929688,3.9769440915953367,-39.4756734347961
43,142.3350067138672,565.780029296875,3.9749886016041693,-39.324634297471526
44,142.17999267578125,563.6900024414062,3.9646225311518424,-37.81201553465038
45,142.1999969482422,564.1500244140625,3.9672998348895976,-38.19752407001348
46,142.0800018310547,562.4600219726562,3.958755734262092,-36.954488578167194
47,142.50999450683594,563.4099731445312,3.9534769129298195,-36.30277028938584
48,142.80999755859375,564.6500244140625,3.9538550106227075,-36.4253473479176
49,142.78500366210938,564.8300170898438,3.9558077011117643,-36.698439192490774
50,142.6300048828125,565.8599853515625,3.9673278130817127,-38.30575870975766
51,142.76499938964844,565.9749755859375,3.964381872346893,-37.91791112587767
52,142.6699981689453,566.0999755859375,3.9678978261118343,-38.39677890664583
53,142.61000061035156,566.030029296875,3.969076690795476,-38.55031609236331
54,142.97000122070312,567.989990234375,3.972791392493363,-39.16931934408384
55,142.72000122070312,567.5700073242188,3.976807752730641,-39.68055547024388
56,143.3300018310547,564.530029296875,3.9386731464797955,-34.36840072080425
57,142.58999633789062,564.0499877929688,3.955747263337877,-36.64478802575021
58,143.0399932861328,564.47998046875,3.9463087735161,-35.39859780358184
59,143.27830505371094,564.8499755859375,3.942327314482059,-34.880911102581614
60,143.44529724121094,565.2921142578125,3.940820125369768,-34.70102455879222
61,143.5399932861328,565.760009765625,3.94147997929635,-34.81618902782426
62,143.17999267578125,563.8200073242188,3.9378407331039647,-34.21714427219748
63,143.33999633789062,562.60498046875,3.9249685701298604,-32.40612359258247
64,143.94000244140625,563.1199951171875,3.91218553262438,-30.68618981902099
65,144.0157928466797,562.469970703125,3.9056131246795607,-29.753855532315434
66,144.83999633789062,565.4099731445312,3.9036867401288253,-29.62380205046562
67,144.82000732421875,566.1199951171875,3.909128341982298,-30.40828062331567
68,144.86380004882812,567.0999755859375,3.91471144202202,-31.22513861683202
69,144.72000122070312,567.75,3.9230928358973762,-32.41079585549445
70,143.4600067138672,559.22998046875,3.898159447211942,-28.58409980592304
71,143.67999267578125,558.4943237304688,3.887070936805586,-27.02902260581478
72,143.9011993408203,562.5900268554688,3.909557595298508,-30.300758301037114
73,143.94500732421875,562.6099853515625,3.908506420680166,-30.157537484797864
74,144.38999938964844,565.3699951171875,3.9155758536399015,-31.260006921071373
75,144.3321990966797,564.530029296875,3.9113242424771024,-30.6353400332276
76,144.64999389648438,566.6300048828125,3.9172487299813437,-31.55156935028318
77,143.77499389648438,566.8200073242188,3.942410233954312,-35.000838418796626
78,143.63499450683594,565.4400024414062,3.936645135698429,-34.14231392283735
