,intc,avgo,Ratio,Spread
0,47.939998626708984,596.47998046875,12.442219389977849,160.10020373399288
1,47.80500030517578,599.5,12.540529153288029,154.9042775567948
2,47.834999084472656,602.5800170898438,12.597052965878335,152.30778161374053
3,47.816001892089844,602.8400268554688,12.607495461790084,151.74157458069294
4,47.67490005493164,595.8499755859375,12.498190345431063,156.45734257217237
5,47.78969955444336,595.2835083007812,12.456314098033147,158.87415133640866
6,48.099998474121094,595.989990234375,12.390644680686037,163.16907589357072
7,47.900001525878906,590.9400024414062,12.336951641267474,164.9955073940822
8,48.150001525878906,586.1199951171875,12.172792866936234,173.8450215692676
9,48.0099983215332,581.7000122070312,12.116226464147367,176.00842899515067
10,47.79999923706055,577.2650146484375,12.07667413937675,177.05865555542732
11,47.935001373291016,577.760009765625,12.052988280241253,178.73962856958303
12,47.97999954223633,576.1500244140625,12.008129010232341,181.07489564132982
13,47.65999984741211,570.6500244140625,11.973353467080386,181.41713179092426
14,46.91999816894531,567.7000122070312,12.099318720408046,172.43977666552053
15,47.2599983215332,570.780029296875,12.077444976057246,174.83989135240722
16,48.31999969482422,587.6500244140625,12.161631376769408,175.05502741806026
17,48.16999816894531,588.1099853515625,12.209051436724172,172.17733777582225
18,47.86000061035156,584.6699829101562,12.21625523305361,170.62079107268278
19,47.92499923706055,581.719970703125,12.138132080621489,174.61845292622309
20,47.4900016784668,575.72998046875,12.123182988426825,173.5971405905691
21,47.369998931884766,591.489990234375,12.486594966677165,155.90292326699569
22,47.189998626708984,591.2000122070312,12.528078605885337,153.29165144281194
23,47.557098388671875,593.77001953125,12.4854131065466,156.63856814186386
24,47.63999938964844,597.530029296875,12.542612026706085,154.21475898178699
25,47.665000915527344,597.1400146484375,12.527850690839141,155.00774890947923
26,47.830299377441406,600.2849731445312,12.550307670197201,154.52707555233326
27,47.63999938964844,597.02001953125,12.531906531908454,154.72476874741199
28,46.369998931884766,581.523193359375,12.540936095633812,149.75169273812935
29,46.25,578.1300048828125,12.500108213682433,151.21073514213856
30,46.459999084472656,583.2899780273438,12.554670458921391,149.4355329959244
31,46.380001068115234,582.3499755859375,12.55605783041442,149.0861252174268
32,46.62900161743164,587.25,12.59409336743046,148.19949848082388
33,46.57500076293945,587.6749877929688,12.617820250484936,146.90412343531784
34,46.650001525878906,587.510009765625,12.59399765377727,148.2779658150306
35,46.54499816894531,583.5499877929688,12.537329697056721,150.54554080313324
36,46.369998931884766,579.989990234375,12.507871546133774,151.28489586312935
37,46.41999816894531,583.2899780273438,12.565489035662244,148.79079714327497
38,46.505001068115234,586.8800048828125,12.619718125008049,146.57084934603506
39,46.44499969482422,586.010009765625,12.617289560041257,146.47374068424836
40,46.150001525878906,581.72998046875,12.605199593385521,145.99898140997243
41,45.83000183105469,577.989990234375,12.611607399996338,144.58120779394176
42,45.349998474121094,574.97998046875,12.67872105435376,139.85451029856335
43,45.06999969482422,575.5900268554688,12.771023535675079,134.73143591408837
44,44.810001373291016,571.4099731445312,12.751840116771787,134.7208295535945
45,44.45500183105469,567.1699829101562,12.758293995029181,133.23892743784438
46,44.34159851074219,565.4400024414062,12.751908398259996,133.14107008210806
47,44.415000915527344,570.2000122070312,12.83800518864092,129.56416228831995
48,44.400001525878906,567.6799926757812,12.785584981228082,131.84242124617515
49,44.597198486328125,590.697998046875,13.245181717590658,112.00284188756099
50,44.560001373291016,593.5339965820312,13.319882816201881,108.56729926512789
51,44.720001220703125,594.4749755859375,13.293268321976818,110.20520218642447
52,44.30500030517578,590.1099853515625,13.319263769029359,107.88119629170014
53,44.23500061035156,589.1300048828125,13.318186882650307,107.7329197610111
54,44.7400016784668,593.7750244140625,13.271680870317095,111.22752128462425
55,44.79999923706055,592.47998046875,13.224999789255003,113.48960752351583
56,45.875,603.9600219726562,13.165341078423024,119.33645777584492
57,46.29499816894531,598.405029296875,12.92591106955233,131.66099244826034
58,46.32780075073242,597.280029296875,12.892475352122824,133.31470536042252
59,45.959999084472656,592.6799926757812,12.895561455222376,131.98650464555374
60,45.46500015258789,586.8900146484375,12.908611298333657,129.7980763238943
61,46.349998474121094,600.6900024414062,12.95987102948436,130.26251572977344
62,46.61000061035156,607.3400268554688,13.030251424639228,127.80321287253743
63,46.564998626708984,605.5449829101562,13.00429508791663,128.8729136122704
64,46.525001525878906,601.1799926757812,12.921654442964027,132.59322947939108
65,46.80500030517578,600.760009765625,12.835380960337092,137.52624038730346
66,47.02000045776367,603.1199951171875,12.826881949075009,138.63163338698803
67,46.92499923706055,598.719970703125,12.759083227224997,141.50042552235675
68,46.959999084472656,600.6500244140625,12.790673682373807,140.13450031113882
69,47.130001068115234,602.9299926757812,12.792912773424066,140.59462868048274
70,47.125,603.6099853515625,12.808699954409814,139.83402865177152
71,47.1150016784668,607.5875244140625,12.895840024807878,135.6953363688067
72,47.269901275634766,608.219970703125,12.86696088397865,137.55956603174536
73,47.4900016784668,608.4199829101562,12.811538458757935,140.90713814916285
74,47.45500183105469,607.8400268554688,12.8087662712447,140.92296570413077
75,47.5099983215332,610.8150024414062,12.856557020010742,138.8344250588425
76,47.45000076293945,610.8099975585938,12.872707855374015,137.87238764807591
77,47.209999084472656,592.4600219726562,12.549460568990268,152.3540096035116
78,47.809898376464844,600.2000122070312,12.553885964804495,154.2832125970267
79,47.79999923706055,599.469970703125,12.541212976387262,154.85369950073982
80,47.314998626708984,590.0800170898438,12.471310033109622,156.4263999854827
81,47.345001220703125,595.4600219726562,12.577041010029,151.5299777348548
82,47.20500183105469,595.9188232421875,12.624061013173211,148.8146624664455
