,intc,nvda,Ratio,Spread
0,47.939998626708984,231.3300018310547,4.825406934871562,11.793733939809467
1,47.80500030517578,228.7700958251953,4.785484664047303,13.654421854186548
2,47.834999084472656,229.9575958251953,4.807308460884659,12.622299261613076
3,47.816001892089844,228.80999755859375,4.785218096547833,13.671502374478106
4,47.67490005493164,226.4302978515625,4.74946560120035,15.320371089228185
5,47.78969955444336,226.60499572753906,4.741712081060152,15.740272361152616
6,48.099998474121094,229.36000061035156,4.76839933235658,14.592447596892296
7,47.900001525878906,219.01010131835938,4.572235790014222,23.90647116195711
8,48.150001525878906,220.66000366210938,4.582762132281813,23.55143323492933
9,48.0099983215332,218.8000030517578,4.557384101253399,24.68629317514353
10,47.79999923706055,218.59500122070312,4.573117253341311,23.803613638086656
11,47.935001373291016,218.63999938964844,4.561176449897274,24.457853318686627
12,47.97999954223633,215.75,4.49666532010025,27.580918819474842
13,47.65999984741211,213.3800048828125,4.477129785270002,28.293489063902907
14,46.91999816894531,209.47999572753906,4.464620714034607,28.360690852130826
15,47.2599983215332,212.3249053955078,4.492698115453924,27.276797581226813
16,48.31999969482422,218.72500610351562,4.5265936979495525,26.366929113023954
17,48.16999816894531,220.42990112304688,4.576082821301739,23.88510754023417
18,47.86000061035156,219.0,4.575846159781135,23.709389431705798
19,47.92499923706055,217.16000366210938,4.531246888245725,25.88604340504153
20,47.4900016784668,215.10000610351562,4.529374573617831,25.69298952369891
21,47.369998931884766,228.74009704589844,4.828796753295542,11.431349435484062
22,47.189998626708984,225.47279357910156,4.777978388231752,13.766348941595876
23,47.557098388671875,227.89999389648438,4.792134121260229,13.240526300824879
24,47.63999938964844,230.67999267578125,4.842149362535572,10.889909746628827
25,47.665000915527344,229.99009704589844,4.825135689255319,11.70929972140905
26,47.830299377441406,231.25999450683594,4.835010391256446,11.295558646357303
27,47.63999938964844,230.13999938964844,4.830814490725097,11.42990303276164
28,46.369998931884766,222.88999938964844,4.806771717141137,12.101989424845126
29,46.25,219.5,4.745945945945946,14.87045942672452
30,46.459999084472656,221.9199981689453,4.776582060741214,13.538142625890767
31,46.380001068115234,222.2899932861328,4.792798364960584,12.75380116954491
32,46.62900161743164,225.8800048828125,4.844195608905558,10.453477377081636
33,46.57500076293945,226.1199951171875,4.854964925671352,9.933792002888534
34,46.650001525878906,226.5800018310547,4.857020244798069,9.862248565650614
35,46.54499816894531,226.79989624023438,4.8727017974523115,9.098493714352141
36,46.369998931884766,222.8300018310547,4.805477829714444,12.161986983438876
37,46.41999816894531,223.22560119628906,4.808823998309108,12.025356549936358
38,46.505001068115234,225.8300018310547,4.856036913111444,9.86122483298416
39,46.44499969482422,225.94000244140625,4.864678736699072,9.44044964971658
40,46.150001525878906,222.7841033935547,4.827391029849199,11.068418169706145
41,45.83000183105469,221.0,4.822168692348798,11.195096690501426
42,45.349998474121094,220.8300018310547,4.869459961659557,8.878937792244582
43,45.06999969482422,218.8800048828125,4.856445670398982,9.37869291633805
44,44.810001373291016,215.49989318847656,4.809191845214386,11.41215431083057
45,44.45500183105469,212.7509002685547,4.7857584412455125,12.32244212997443
46,44.34159851074219,211.9040069580078,4.778898688252567,12.58196774367806
47,44.415000915527344,213.69000244140625,4.8112123840281384,11.17615690851218
48,44.400001525878906,213.19000244140625,4.801576466549144,11.59846820479893
49,44.597198486328125,222.3249969482422,4.985178542468288,3.484847006648888
50,44.560001373291016,227.0399932861328,5.095152295534245,-1.4228102035479004
51,44.720001220703125,227.78529357910156,5.093588715593513,-1.339398060136947
52,44.30500030517578,226.49000549316406,5.112064189890213,-2.1935896478934787
53,44.23500061035156,226.9698944091797,5.131002402565036,-3.0360390199462906
54,44.7400016784668,229.61000061035156,5.132096378996383,-3.0605135670816175
55,44.79999923706055,229.6300048828125,5.125669839138131,-2.769763024689528
56,45.875,244.9250030517578,5.338964644180007,-12.496840250116637
57,46.29499816894531,242.5,5.2381468752853095,-7.8964744621357035
58,46.32780075073242,242.83999633789062,5.241776911545956,-8.066571216295333
59,45.959999084472656,236.5399932861328,5.146649216667339,-3.671581324741201
60,45.46500015258789,234.51499938964844,5.158143596229587,-4.210413441109214
61,46.349998474121094,242.92999267578125,5.241208213014677,-8.041595385593016
62,46.61000061035156,245.0,5.256382681651118,-8.764932651905387
63,46.564998626708984,245.0399932861328,5.262321497107949,-9.038011807240938
64,46.525001525878906,242.99000549316406,5.222783396535821,-7.1951873048198856
65,46.80500030517578,242.96499633789062,5.191005122395504,-5.7199363253977005
66,47.02000045776367,244.86000061035156,5.207571208560498,-6.501356409154997
67,46.92499923706055,244.1999969482422,5.204049033960927,-6.333407547980219
68,46.959999084472656,247.00010681152344,5.259797947764316,-8.95223718324289
69,47.130001068115234,247.69000244140625,5.255463543983993,-8.76161473556181
70,47.125,260.8399963378906,5.535066235286804,-21.937511452638265
71,47.1150016784668,261.2550048828125,5.545049253435879,-22.40430588068131
72,47.269901275634766,259.7654113769531,5.4953660652312175,-20.11241646867231
73,47.4900016784668,261.7401123046875,5.511478270243298,-20.947116677472966
74,47.45500183105469,262.07000732421875,5.522494936513087,-21.458291925022824
75,47.5099983215332,264.75,5.572511247174807,-23.853432606543127
76,47.45000076293945,264.67999267578125,5.5780819477353525,-24.094180097177404
77,47.209999084472656,259.94989013671875,5.506246455789832,-20.607156091715954
78,47.809898376464844,267.5299987792969,5.595703146505591,-25.080111747023896
79,47.79999923706055,267.5799865722656,5.597907758224483,-25.181371713475844
80,47.314998626708984,261.4100036621094,5.524886637417025,-21.523428933050813
