,de,noc,Ratio,Spread
0,375.3399963378906,398.0,1.060371939796446,74.50696019308474
1,375.1499938964844,399.70001220703125,1.0654405403437672,72.56711928247806
2,376.760009765625,399.95001220703125,1.061551124961039,74.34934589900983
3,373.86749267578125,399.9800109863281,1.069844313351928,70.66829601430298
4,375.4700012207031,402.2699890136719,1.071377174490208,70.40106855770243
5,378.25,402.5350036621094,1.0642035787497934,73.6450798893806
6,379.4200134277344,403.42999267578125,1.063280740072558,74.22692875980395
7,382.6300048828125,396.864990234375,1.0372030033450257,84.84371118604433
8,384.6499938964844,399.9200134277344,1.0396984785481613,84.33839915849903
9,384.1300048828125,399.1600036621094,1.0391273750767844,84.44205793147687
10,380.6199951171875,399.989990234375,1.0508906399182307,79.18159622743694
11,380.5,401.0,1.0538764783180026,78.0201238112404
12,382.8999938964844,402.4200134277344,1.050979419802569,79.62947895647089
13,383.8599853515625,401.6300048828125,1.046292971941254,81.63122722647647
14,375.54998779296875,401.57000732421875,1.0692851028545212,71.20201250736618
15,377.375,407.239990234375,1.079138761800265,67.8356332161009
16,379.07000732421875,407.1600036621094,1.0741023974335835,70.05512602896793
17,377.5791931152344,407.32000732421875,1.0787670897954054,68.01335686760358
18,376.6099853515625,405.30499267578125,1.0761929009859688,68.80499859653405
19,377.622802734375,404.510009765625,1.071201227353219,70.8784002368959
20,375.8900146484375,401.6600036621094,1.068557258797561,71.5412117067767
21,373.510009765625,400.8599853515625,1.0732242105187473,69.33709237928353
22,379.343994140625,402.7149963378906,1.061608994891855,74.84597050395762
23,379.42999267578125,403.1400146484375,1.0624885286622985,74.52950299435444
24,377.2200012207031,404.1600036621094,1.0714172163571047,70.71997411129307
25,374.29998779296875,402.885009765625,1.0763692837427157,68.30920992165413
26,371.7008056640625,401.4599914550781,1.0800622041640435,66.45343628174872
27,366.9800109863281,397.3299865722656,1.082701985605064,64.62466474554735
28,365.4700012207031,403.8500061035156,1.1050154725548467,56.1986503134123
29,370.2799987792969,406.375,1.0974802888076527,59.745028290575746
30,368.1000061035156,402.9637145996094,1.094712599614273,60.40463948421977
31,365.8800048828125,401.42999267578125,1.0971629696035317,59.13618681094037
32,364.6300048828125,401.7300109863281,1.1017469917634428,57.2583683560877
33,363.1400146484375,398.3999938964844,1.0970974770769415,58.70766000048256
34,364.1000061035156,398.94000244140625,1.0956879861407787,59.37939118064433
35,351.92999267578125,401.55999755859375,1.1410223792108978,41.397916909470595
36,353.4100036621094,400.8299865722656,1.1341783832341483,43.99605713404087
37,350.0899963378906,397.93499755859375,1.1366648625244502,42.70039971951381
38,351.1600036621094,396.4800109863281,1.1290579987800269,45.505992460227944
39,355.9599914550781,397.0299987792969,1.11537815572007,51.014741813188934
40,360.3999938964844,399.2749938964844,1.1078662615381893,54.37409589021654
41,363.9800109863281,403.010009765625,1.107231159957196,55.15792120585404
42,353.7200012207031,396.0899963378906,1.11978399573382,49.12733872256284
43,356.239990234375,397.44000244140625,1.1156524066260085,50.95816384258357
44,359.3699951171875,398.6499938964844,1.1093023883824469,53.69899011212901
45,364.0450134277344,400.37420654296875,1.0997931348466226,57.8757731176551
46,366.25,403.5899963378906,1.1019522084311006,57.44320582826366
47,366.45001220703125,402.42999267578125,1.0981852347392544,58.85567292166654
48,368.1199951171875,402.7900085449219,1.0941812829718676,60.60357647383209
49,376.9800109863281,404.9150085449219,1.074102065744825,69.66204392733748
50,376.9100036621094,406.9549865722656,1.0797139439607202,67.5336998469899
51,375.3900146484375,407.0299987792969,1.0842856306673236,65.54009653186687
52,374.79998779296875,404.7349853515625,1.0798692596946646,67.09035439343891
53,376.3399963378906,405.8800048828125,1.078492875677237,67.88919542571686
54,370.79998779296875,401.0199890136719,1.0814994666007811,65.75639026955098
55,372.5400085449219,403.0899963378906,1.0820045823059161,65.88270694015362
56,376.3500061035156,385.510009765625,1.0243390554365766,88.27182527062244
57,379.79998779296875,382.55999755859375,1.0072670085685456,95.57654276363085
58,377.6650085449219,382.9700012207031,1.0140468207425952,92.47168264899493
59,373.29998779296875,379.54998779296875,1.0167425668480499,90.38199177886575
60,371.1243896484375,373.20001220703125,1.0055927948054288,93.98584011168894
61,374.0899963378906,374.1000061035156,1.0000267576404689,96.82915394526331
62,375.7799987792969,374.1300048828125,0.9956091492313474,98.93234404270878
63,368.0400085449219,375.3900146484375,1.0199706714837187,87.9026081101059
64,371.55999755859375,375.7300109863281,1.0112229880911139,92.00568311119632
65,374.0400085449219,377.1700134277344,1.0083681018375246,93.69605002347684
66,374.010986328125,378.8590087890625,1.0129622461322145,91.97042165586855
67,369.760009765625,376.6199951171875,1.0185525345369575,88.84368218074114
68,369.95001220703125,378.5,1.0231111974884435,87.20350600150401
69,373.79998779296875,379.95001220703125,1.0164527143255786,90.61308742252554
70,374.8800048828125,371.3699951171875,0.99063697791318,100.55634540853588
71,373.94000244140625,368.05999755859375,0.9842755392725498,102.67983417697074
72,375.81500244140625,368.6099853515625,0.9808282877398778,104.49654660046069
73,374.385009765625,369.6300048828125,0.9872991579289212,101.67153294904755
74,375.6099853515625,370.635009765625,0.9867549432124894,102.21274139124567
75,375.489990234375,367.2699890136719,0.9781086009361466,105.42629949262725
76,376.3399963378906,369.75,0.9824892480150478,104.01920030852936
77,373.8299865722656,365.75,0.9783859324760089,104.85096529219969
78,374.1099853515625,365.8349914550781,0.977880852635601,105.11939952862558
79,376.4599914550781,368.5299987792969,0.978935364033956,105.39066417980403
80,376.6099853515625,369.29998779296875,0.9805900059931498,104.81000347934655
