,qcom,lrcx,Ratio,Spread
0,173.06280517578125,659.7677612304688,3.812302479208848,-63.98959020824738
1,172.935546875,651.7914428710938,3.768984772935184,-56.45391163507942
2,175.78404235839844,673.472412109375,3.831248861237708,-68.27178798974514
3,177.54600524902344,681.5079345703125,3.838486445326885,-70.20640428846379
4,178.8772430419922,688.9024658203125,3.851258293703631,-72.99144183248633
5,182.391357421875,713.23583984375,3.910469497707727,-85.15697611931957
6,180.91329956054688,706.038330078125,3.902633647129037,-83.07733368351911
7,182.26409912109375,716.5387573242188,3.9313214219337858,-88.90053338599547
8,178.86744689941406,708.2369995117188,3.9595634185464457,-92.3598952772194
9,179.00448608398438,709.0455322265625,3.961048953230682,-92.69392128703602
10,182.27389526367188,715.266845703125,3.924132112656295,-87.59470201157502
11,183.27232360839844,701.9959716796875,3.8303435993950514,-70.86670770865443
12,182.55775451660156,682.0897216796875,3.7362955273294576,-53.43469765926331
13,182.01937866210938,692.0477294921875,3.8020552238938596,-65.25686537305161
14,176.5964813232422,659.8860473632812,3.736688536593353,-51.87230276681568
15,175.8819122314453,654.9563598632812,3.723841477237384,-49.416855217424555
16,181.4810028076172,663.7510375976562,3.6574133233178117,-38.82433337980878
17,182.47946166992188,676.6767578125,3.7082351713449664,-48.29282764615597
18,180.0029296875,677.1205444335938,3.7617195765042886,-57.311760380077445
19,184.70147705078125,719.5656127929688,3.8958303110653176,-83.4878160862112
20,175.07925415039062,669.4695434570312,3.8238085186378865,-66.7092923691903
21,168.8243408203125,633.69921875,3.7536010250114065,-52.596994333811736
22,162.98052978515625,610.9631958007812,3.7486882427377277,-50.095530775671264
23,161.44369506835938,597.2782592773438,3.6996072161532285,-41.731980102018625
24,166.47508239746094,613.0830688476562,3.68273173389345,-40.115297923581934
25,161.9527130126953,579.9649658203125,3.5810759513170343,-22.656180334665706
26,163.46995544433594,588.286376953125,3.598743116764632,-25.72404512434686
27,157.7925567626953,547.4976806640625,3.469730714151783,-4.593695095862033
28,163.28396606445312,553.2556762695312,3.388303760646924,8.662655756599618
29,172.04476928710938,581.6312866210938,3.3806972977508187,10.621871780484396
30,173.38583374023438,581.1875610351562,3.3519898857820647,15.709116494739517
31,184.22183227539062,603.1742553710938,3.27417357606897,31.24274145081573
32,175.31417846679688,580.487548828125,3.3111272225940627,23.086142325476644
33,175.67637634277344,570.9337158203125,3.2499174203498318,33.89410801976372
34,171.38894653320312,563.3419189453125,3.28692094992355,26.64041235660362
35,174.81497192382812,568.1927490234375,3.2502522110692857,33.65240840767602
36,180.06166076660156,598.9050903320312,3.3261111098399807,21.10705373792517
37,170.39053344726562,586.5117797851562,3.4421617675531047,0.01348407178362132
38,161.15985107421875,552.1217651367188,3.425926255556359,2.4416865442390034
39,161.6394805908203,550.40625,3.405147356253372,5.817948731299095
40,169.34312438964844,585.4765014648438,3.4573384870217536,-2.577956654020697
41,168.9515838623047,583.1594848632812,3.4516366850905373,-1.6166734953926762
42,163.27418518066406,572.4521484375,3.506078733781936,-10.5676833301891
43,164.096435546875,561.9812622070312,3.4247012150760483,2.750295964948903
44,162.38340759277344,551.8555297851562,3.3984724053156,6.9445624877184695
45,158.20367431640625,534.7691040039062,3.3802571673169344,9.558401679375477
46,164.42926025390625,554.9712524414062,3.375136831391432,10.912731991574999
47,167.31687927246094,565.1461791992188,3.377699737507819,10.736365792658018
48,168.35447692871094,553.462646484375,3.287483983682457,26.012644965785043
49,160.2299346923828,532.9746704101562,3.3263114750273526,18.36888792657861
50,166.36349487304688,546.2357177734375,3.2833868883932364,26.345674402851145
51,162.530029296875,535.8733520507812,3.2970728816639956,23.43442699735293
52,159.49270629882812,518.3924560546875,3.250258071885864,30.398403088930294
53,147.54010009765625,482.27716064453125,3.268786996384805,25.127055672892695
54,148.1888427734375,483.4800109863281,3.2625938764196274,26.170517219630696
55,154.43055725097656,510.0414733886719,3.3027237773918383,21.22137964061004
56,152.07147216796875,490.08587646484375,3.222733820341564,33.00849764998405
57,149.7418975830078,476.5981140136719,3.182797344674191,38.429963122735884
58,138.88034057617188,462.4102478027344,3.3295587113650233,15.009012242871092
59,141.7505645751953,479.4427795410156,3.382298906377072,7.9148097258023835
60,147.88412475585938,508.88861083984375,3.441130761533488,-0.2931877334718975
61,150.22354125976562,520.58984375,3.465434507696761,-3.8940454083612095
62,151.36376953125,538.71044921875,3.559044881658618,-18.066539526498346
63,152.9364776611328,531.01513671875,3.47212872193474,-4.925627251368967
64,154.92201232910156,540.8073120117188,3.4908358333409666,-7.842765189372374
65,150.26284790039062,525.208984375,3.4952684027602188,-8.377084344000325
66,155.7575225830078,550.164306640625,3.532184497525159,-14.306753567252729
67,155.27587890625,548.779541015625,3.5342227323469757,-14.589709147483761
68,155.74769592285156,551.2424926757812,3.539330000418337,-15.418965024749143
69,158.32302856445312,562.7359619140625,3.5543531918035116,-17.99518471906471
70,150.12525939941406,542.5877685546875,3.6142336787649554,-26.23227727095754
71,150.21372985839844,531.7569580078125,3.5400023586997165,-15.095132254007142
72,144.483154296875,519.7293090820312,3.597161977887912,-22.90995784479061
73,151.18682861328125,529.7192993164062,3.5037397382768583,-9.688058564305395
74,142.97923278808594,498.1568298339844,3.484120176895329,-6.544900415491627
75,136.90463256835938,492.7463684082031,3.5991942651185633,-22.16812029522289
76,136.84564208984375,497.86004638671875,3.6381140004433385,-27.48605647679325
77,134.3588104248047,486.2874450683594,3.6193193697596424,-24.52426456331081
78,133.05149841308594,470.5803527832031,3.5368286595479663,-13.343821477564477
