,amzn,tsla,Ratio,Spread
0,163.32550048828125,349.8166809082031,2.1418374954455,-14.53603784205572
1,162.8000030517578,346.3688049316406,2.12757247198283,-12.173568150502064
2,162.51998901367188,344.8000183105469,2.121585291773191,-11.183145905150894
3,162.6272430419922,342.6600036621094,2.1070270715567054,-8.82159983079137
4,162.20350646972656,339.0,2.0899671491582117,-6.036817067508793
5,162.77468872070312,340.4599914550781,2.091602780081222,-6.317041007074381
6,162.5854949951172,342.3000183105469,2.1053539758932796,-8.547844381252304
7,157.13626098632812,337.92999267578125,2.1505538604178915,-15.433121685266855
8,158.67550659179688,342.4433288574219,2.1581360363221007,-16.767171464672998
9,157.52499389648438,337.0,2.1393430443263846,-13.700207597223738
10,158.91000366210938,340.4633483886719,2.142491602433033,-14.302841166136517
11,160.53750610351562,345.1666564941406,2.1500686342515807,-15.64456983088266
12,160.5699920654297,347.7878723144531,2.1659580837043024,-18.198686432844312
13,161.4810028076172,352.7566833496094,2.1845088723524424,-21.285819810688537
14,162.8247528076172,354.5849914550781,2.1777093798142104,-20.338634461555813
15,165.2154998779297,355.2099914550781,2.1499798246382866,-16.02558583252508
16,165.37899780273438,351.6163330078125,2.126124463683253,-12.094225119111485
17,165.3207550048828,353.8999938964844,2.1406870171021892,-14.49818554580358
18,165.13525390625,352.5576171875,2.134962758392298,-13.538958295481024
19,165.31924438476562,352.739990234375,2.133689828713495,-13.341302044622722
20,165.39700317382812,354.8000183105469,2.145141758932965,-15.240720624920556
21,166.39425659179688,366.1850280761719,2.2007071372331524,-24.56591990931676
22,165.23797607421875,363.5066833496094,2.199897941054033,-24.275853514453814
23,165.55624389648438,364.4666748046875,2.2014674060410178,-24.578468033711687
24,165.57540893554688,366.17333984375,2.2115200693014105,-26.24554800079264
25,165.40451049804688,369.177001953125,2.23196453858182,-29.60219801318746
26,165.04010009765625,369.57666015625,2.239314323837461,-30.754539885948105
27,165.28750610351562,368.9599914550781,2.2322315833358104,-29.62685816160095
28,164.58999633789062,366.1394958496094,2.224554979015572,-28.247057468885913
29,164.2897491455078,360.3944396972656,2.1936514089997923,-23.122156938660083
30,161.99575805664062,352.8999938964844,2.17845206646149,-20.365911883601626
31,162.39950561523438,353.8516845703125,2.1788963164005986,-20.483668636545445
32,162.00999450683594,353.0185546875,2.1789924489665022,-20.455067521624613
33,162.05099487304688,348.5733337402344,2.1510101435249553,-15.9251609944113
34,161.24850463867188,343.8707275390625,2.132551419993713,-12.880085132133871
35,160.8262481689453,347.4366760253906,2.16032320582654,-17.318197389914445
36,160.281005859375,345.8752746582031,2.1579305221085403,-16.88298501724543
37,160.843505859375,346.0,2.151159278401372,-15.84587588967426
38,160.35000610351562,341.4966735839844,2.129695419927378,-12.361865077182443
39,160.71450805664062,342.9666748046875,2.1340119131237096,-13.078993527587585
40,161.49925231933594,348.5733337402344,2.158358808070472,-17.064776135955384
41,162.1199951171875,349.9633483886719,2.1586686339072667,-17.172656777004562
42,159.1750030517578,354.9166564941406,2.2297260856890633,-28.208797404485182
43,158.11996459960938,347.5601501464844,2.198078851248004,-23.031455572766305
44,158.2530059814453,348.1807861328125,2.200152748906619,-23.37729677994892
45,157.8885040283203,344.8666687011719,2.1842417902655753,-20.81605211860628
46,158.47349548339844,347.2266845703125,2.19107102743681,-21.967777788999257
47,158.91200256347656,347.0566711425781,2.183955054017699,-20.892035222248495
48,158.9239959716797,343.5066833496094,2.1614525940489338,-17.317275242514285
49,158.14999389648438,341.3332824707031,2.1582883063158365,-16.74256287974012
50,157.30349731445312,334.7866516113281,2.1282848590586787,-11.944356744287205
51,158.75,341.6852111816406,2.1523477869709646,-15.855188883307534
52,158.30999755859375,336.9730529785156,2.1285645769389583,-12.051848463350353
53,157.20700073242188,334.1100158691406,2.125287132968213,-11.467033100197654
54,157.0,333.88665771484375,2.1266666096486864,-11.67123154343355
55,156.27850341796875,331.8433532714844,2.123410104484846,-11.118166386358865
56,157.2760009765625,342.1300048828125,2.1753478137697386,-19.34450324802529
57,157.03399658203125,344.6933288574219,2.1950236022768568,-22.407683306732366
58,156.39999389648438,345.489990234375,2.209015369035389,-24.513866770334886
59,155.89450073242188,343.4666748046875,2.2031994277605436,-23.53463913093671
60,155.34548950195312,340.0406188964844,2.188931394060264,-21.242556861184738
61,152.67825317382812,334.63665771484375,2.191776829761415,-21.347728308817608
