,dis,googl,Ratio,Spread
0,143.0500030517578,142.66799926757812,0.9973295786366291,2.3906489932822126
1,142.5800018310547,143.37025451660156,1.0055425212189524,1.2117929731879826
2,142.43499755859375,142.89100646972656,1.0032015229329099,1.5440006614016397
3,142.24000549316406,142.8560028076172,1.0043306896137791,1.3812742652838494
4,142.5438995361328,143.02149963378906,1.0033505474398445,1.5239386285362286
5,142.6416015625,143.1595001220703,1.003630767980009,1.485012055493172
6,142.39999389648438,142.50601196289062,1.0007445089252134,1.893500000104467
7,142.69000244140625,142.57574462890625,0.999199258458581,2.117848051411471
8,141.72999572753906,141.7740020751953,1.0003104942424528,1.9461038993266868
9,141.75999450683594,142.20074462890625,1.0031091290854208,1.5497813545737813
10,141.62379455566406,142.343505859375,1.0050818529892451,1.2689077131389297
11,140.78030395507812,142.1685028076172,1.0098607462374993,0.5885762403845831
12,140.4499969482422,141.80325317382812,1.0096351459949453,0.6188808416637528
13,140.92999267578125,141.90550231933594,1.0069219448964204,1.0033673125306564
14,139.625,140.51150512695312,1.006349186227059,1.074047696100422
15,138.77000427246094,141.0386199951172,1.0163480266110105,-0.3200683734600034
16,139.1199951171875,140.6169891357422,1.0107604519198963,0.4564677481074284
17,138.8699951171875,140.70999145507812,1.0132497760681702,0.10995503875705026
18,138.61000061035156,140.45223999023438,1.013290811426093,0.10406126828246443
19,138.19000244140625,140.86099243164062,1.0193283880385406,-0.7305867715824661
20,137.16000366210938,139.02450561523438,1.0135936271751504,0.0614384758080746
21,136.3350067138672,139.36949157714844,1.022257561989562,-1.1201286785443187
22,137.74000549316406,140.00375366210938,1.016434935956625,-0.3296636094679002
23,137.1802978515625,139.49600219726562,1.0168807356593499,-0.3894789546900199
24,136.63999938964844,139.70748901367188,1.022449426505602,-1.1488508663123582
25,137.44000244140625,140.02700805664062,1.0188227995436574,-0.6571335666257028
26,136.75599670410156,139.35525512695312,1.0190065407404076,-0.6789908818830668
