,amat,txn,Ratio,Spread
0,144.80731201171875,181.1770782470703,1.2511597358592519,42.00947373467228
1,143.67776489257812,179.1737518310547,1.2470527500550654,42.259761843419035
2,150.0288848876953,181.2451629638672,1.2080684536150417,50.04518311435107
3,150.92063903808594,181.78976440429688,1.2045387931230591,50.88456925603314
4,154.06150817871094,182.24684143066406,1.1829485741451928,55.30206879963084
5,161.22506713867188,186.5647430419922,1.1571695788566507,62.10189132781873
6,158.17335510253906,185.8450927734375,1.1749456326127727,58.085335366956095
7,159.5010528564453,185.5630645751953,1.1633971140128236,60.42792835584044
8,156.5286102294922,184.2015838623047,1.1767917928373617,57.17622764149488
9,155.91432189941406,183.28744506835938,1.1755651619137637,57.13700118304198
10,158.460693359375,185.35885620117188,1.1697465931238493,59.017516125915286
11,156.90512084960938,185.55335998535156,1.182583200475662,56.408789727075494
12,152.32757568359375,181.68280029296875,1.192711165247913,53.175075597411855
13,154.9036865234375,181.6244354248047,1.1724991154250175,57.23152156329272
14,149.4244842529297,174.5057373046875,1.167852364872834,55.84658905949892
15,148.21568298339844,177.928955078125,1.200473198899301,50.5473318579978
16,151.04940795898438,179.562744140625,1.188768275009612,53.31143673926358
17,158.08419799804688,180.91452026367188,1.1444187499746628,62.87753753617418
18,155.7359619140625,179.08621215820312,1.149934863837202,61.06142236794407
19,165.4657440185547,181.8675537109375,1.0991251076751185,73.38054051407615
20,150.9602508544922,177.26763916015625,1.1742669885400578,55.46817137918479
21,141.75559997558594,173.39707946777344,1.223211495684382,45.0532662845518
22,137.87159729003906,168.68045043945312,1.2234604788439623,43.74198786401863
23,133.8191680908203,170.81021118164062,1.2764255944687628,35.322924530248976
24,138.0103302001953,173.43597412109375,1.2566883498467878,39.20177534723479
25,131.76820373535156,169.1764373779297,1.2838942368654451,33.773635829480135
26,134.3343963623047,173.42625427246094,1.2910040836058407,33.50650713152658
27,128.95428466796875,170.0030517578125,1.3183203039397724,28.579865945337055
28,131.23316955566406,173.5565948486328,1.3225055482258758,28.56311422717358
29,136.91049194335938,175.71026611328125,1.2833951848334133,35.220552707036724
30,137.33657836914062,177.47238159179688,1.2922440889329359,34.11971626145783
31,139.46681213378906,183.8844451904297,1.3184817404016609,31.01373996948596
32,135.25584411621094,171.89239501953125,1.270868524334094,36.470437944439944
33,134.32449340820312,167.81021118164062,1.2492897380351673,39.10718100259414
34,134.87937927246094,166.3711700439453,1.2334811365632836,41.40739575555748
35,137.47528076171875,168.9947509765625,1.2292737286310793,42.81261067877626
36,142.8751983642578,172.98883056640625,1.2107687866537498,47.19911322927599
37,138.4859161376953,167.06622314453125,1.2063769934440034,46.309627774111455
38,131.27279663085938,160.9380340576172,1.2259816061523912,41.24317557858661
39,130.64859008789062,159.04869079589844,1.2173777817954434,42.163760686768036
40,138.5552520751953,162.6707763671875,1.1740498749113057,50.81268277111085
41,139.6649932861328,164.6971893310547,1.1792302813750775,50.50856967500702
42,135.21624755859375,161.1827850341797,1.1920371105131709,47.118594732166834
43,132.12489318847656,163.22877502441406,1.2354127302231208,40.27487427073138
44,129.2959747314453,163.17982482910156,1.2620642302905007,35.933390158983975
45,126.91374969482422,162.1519317626953,1.2776545658181604,33.2641096635569
46,132.43260192871094,166.0187530517578,1.2536093879747712,37.96245508088234
47,134.715576171875,167.22286987304688,1.2413031560633931,40.30147624379669
48,133.2068328857422,166.41033935546875,1.2492627874292814,38.772462321477754
49,128.6508026123047,163.7671661376953,1.2729587597771579,34.34475247198342
50,132.19436645507812,166.51800537109375,1.2596452468924186,37.09346527618465
51,129.6731719970703,167.39906311035156,1.2909305797974433,32.29955574874803
52,124.80944061279297,166.40054321289062,1.3332368320528678,25.7496455821397
53,118.33768463134766,161.417724609375,1.3640432894409988,20.68840674128632
54,123.231201171875,163.8161163330078,1.3293396053530921,25.88467114791289
55,127.66810607910156,168.8283233642578,1.3224001557574128,27.75846660055658
56,124.04513549804688,169.11221313476562,1.3633119304176853,21.85178685779065
57,122.7249755859375,166.77252197265625,1.3589126514502723,22.142611834123592
58,119.24095153808594,163.2091827392578,1.3687343201645643,20.298803799529857
59,123.4892807006836,168.69126892089844,1.366039772551405,21.410053688355454
60,129.51434326171875,172.6168212890625,1.3328008075541373,26.835298019333813
61,131.01318359375,174.71176147460938,1.333543363211151,27.066533053931273
62,134.13986206054688,176.3074188232422,1.314355152263852,30.32342858594121
63,133.2068328857422,176.65985107421875,1.3262071265199156,28.522950602727754
64,134.4773406982422,178.51007080078125,1.3274360563192982,28.644537830700592
65,130.44740295410156,175.30889892578125,1.3439048609305344,25.591313477624688
66,137.56431579589844,180.3308868408203,1.3108841911326323,31.614655703975025
67,136.04566955566406,181.00634765625,1.330482243554176,28.582281228895518
68,136.64122009277344,181.76992797851562,1.3302715524283357,28.74298541656831
69,140.39324951171875,186.98768615722656,1.3318851640485645,29.34831437601506
70,134.79498291015625,183.50265502929688,1.3613463280870426,24.14492902220517
71,130.8245849609375,179.61624145507812,1.3729547967510018,21.869351137955483
72,126.46707916259766,178.24574279785156,1.409424049152606,16.47707340525364
73,128.4820556640625,178.8624725341797,1.3921202584261656,18.98755362365666
74,120.80926513671875,173.44891357421875,1.435725259796326,12.493069536846216
75,118.4468765258789,173.5174560546875,1.4649390608183448,8.758139296822387
76,121.49415588378906,173.86009216308594,1.4310160920775947,13.14482997510144
77,119.07220458984375,170.44358825683594,1.4314305243943883,12.80250583010932
78,115.3797378540039,168.31927490234375,1.4588287166619067,9.196172338130888
79,113.71217346191406,169.35694885253906,1.4893475667252307,5.570466238028368
