,alb,lin,Ratio,Spread
0,220.60499572753906,327.32000732421875,1.4837379645222513,-40.96593760479472
1,216.13499450683594,328.3399963378906,1.5191431498035635,-47.81458746909318
2,218.3249969482422,328.9599914550781,1.5067445141568647,-45.578927551136545
3,217.38999938964844,329.2699890136719,1.5146510416217007,-47.108115753340385
4,217.08999633789062,330.19000244140625,1.5209821180681244,-48.419318345576656
5,218.16000366210938,330.19000244140625,1.5135221713362785,-47.024081634751624
6,218.1300048828125,330.29998779296875,1.514234540866664,-47.17318391309358
7,221.10000610351562,330.510009765625,1.4948439649109972,-43.510470960925275
8,221.1300048828125,330.6700134277344,1.4953647452907732,-43.63135769625519
9,222.85000610351562,333.2799987792969,1.4955350668668397,-43.99854639449474
10,222.80999755859375,333.0899963378906,1.49495085493323,-43.860713119932726
11,222.3000030517578,332.0150146484375,1.4935448047255981,-43.450739082437636
12,223.47000122070312,332.4599914550781,1.4877164256455813,-42.37009605455758
13,224.14999389648438,332.8599853515625,1.4849877065144241,-41.88341308176457
14,225.4199981689453,332.760009765625,1.4761778567500106,-40.1274146409033
15,226.4499969482422,334.44000244140625,1.4768823446610444,-40.46433977270375
16,225.18499755859375,334.69000244140625,1.4862890781803482,-42.36383650759514
17,225.0800018310547,334.739990234375,1.4872044940075628,-42.55073354429199
18,223.6199951171875,334.4049987792969,1.4954163584703273,-44.119518744879045
19,224.9250030517578,334.739990234375,1.4882293461938845,-42.7528442982216
20,225.24000549316406,335.29998779296875,1.4886342550863814,-42.90209422892373
21,224.30999755859375,338.05999755859375,1.507110700539714,-46.874788414833816
22,225.80499267578125,339.44000244140625,1.503244008996675,-46.30539349187667
23,226.89999389648438,339.70001220703125,1.4971353959665956,-45.13757573992963
24,227.94000244140625,339.5899963378906,1.489821850928447,-43.67144008674343
25,228.1199951171875,340.42999267578125,1.4923285988187882,-44.27673486395737
26,228.27000427246094,340.04998779296875,1.4896831884538289,-43.701125450540204
27,227.89999389648438,339.0799865722656,1.4878455272196316,-43.21359948796261
28,229.1300048828125,341.6099853515625,1.4909002665376687,-44.139724682472504
29,230.89999389648438,342.25,1.4822434345902813,-42.47176106409297
30,231.59500122070312,342.35418701171875,1.4782451486742818,-41.66969284643723
31,232.82000732421875,342.6199951171875,1.4716089010342839,-40.33815348715133
32,232.83050537109375,343.18939208984375,1.4739880907910068,-40.89386152510555
33,232.2899932861328,343.4700012207031,1.4786259036032592,-41.879271722754495
34,233.02000427246094,343.5,1.4741223658993639,-40.957372225865086
35,233.51499938964844,344.1600036621094,1.4738239708869243,-40.971926699406154
36,231.6739959716797,344.95001220703125,1.488945752242296,-44.16251278745814
37,232.0500030517578,343.7449951171875,1.4813401878754406,-42.46720103347447
38,232.9499969482422,343.3599853515625,1.4739643264638105,-40.90864367105122
39,234.00999450683594,343.70001220703125,1.468740738750759,-39.86648605575972
40,234.0449981689453,343.69000244140625,1.4684783060106832,-39.810833243322875
41,232.6699981689453,343.8800048828125,1.4779731275586114,-41.793767783381
42,229.22999572753906,344.7699890136719,1.5040352285460177,-47.16934522088623
43,232.19000244140625,344.5199890136719,1.4837847684704357,-43.05964263941895
44,230.0,344.3299865722656,1.4970868981402854,-45.72529523315684
45,231.5800018310547,344.8800048828125,1.4892477854560773,-44.21506918092071
46,232.0800018310547,345.260009765625,1.4876766935608738,-43.94309875513251
47,232.0050048828125,346.0299987792969,1.491476440148691,-44.81088008575303
48,232.52000427246094,345.4200134277344,1.4855496605916974,-43.5293609622001
49,235.34500122070312,344.4049987792969,1.4634047759370885,-38.83068979951027
50,235.7550048828125,344.32000732421875,1.4604992479178587,-38.211073816169815
51,236.6999969482422,344.55999755859375,1.4556823067215192,-37.21884106357744
52,236.3000030517578,344.1499938964844,1.4564112968763006,-37.330409689665615
53,235.22999572753906,345.1099853515625,1.4671172538356658,-39.685637855568714
54,235.3090057373047,345.32000732421875,1.4675171748833473,-39.79263467722605
55,234.36000061035156,344.2900085449219,1.4690647194413549,-40.00009171894693
56,235.72000122070312,344.95001220703125,1.46338881054076,-38.88672174579416
57,235.85000610351562,345.1300048828125,1.4633453294520307,-38.89719447439286
58,234.35000610351562,345.739990234375,1.47531462013983,-41.463105751757396
59,234.4219970703125,346.56500244140625,1.4783808975804331,-42.19424529320095
60,233.7449951171875,346.20001220703125,1.4811012831888217,-42.71203217344977
61,234.38999938964844,346.7900085449219,1.479542682912936,-42.46097479216748
62,233.7899932861328,346.4700012207031,1.4819710473949268,-42.92334579695252
63,231.75999450683594,343.8999938964844,1.4838626253347653,-43.0003566339159
64,231.27000427246094,340.7699890136719,1.473472489809825,-40.509274819639316
65,238.16000366210938,339.489990234375,1.425470209162526,-30.24505708369345
66,236.50790405273438,338.79559326171875,1.432491631172619,-31.704916416359833
67,237.00999450683594,339.1650085449219,1.431015638182885,-31.41963054204633
68,237.08999633789062,339.010009765625,1.4298790121978926,-31.160313325768424
69,236.55999755859375,338.7200012207031,1.4318566313681385,-31.561397016226703
70,247.82000732421875,342.8999938964844,1.3836654981931062,-21.058893008428026
71,239.82000732421875,341.42999267578125,1.4236926955564362,-30.020496725335658
72,240.27000427246094,342.55999755859375,1.4257293522587955,-30.563727809749036
73,242.68499755859375,342.67999267578125,1.4120361626105247,-27.53469094094653
74,242.32000732421875,343.260009765625,1.4165566168308619,-28.590637272176036
75,243.7519989013672,344.5199890136719,1.4134037487548148,-27.983370219373068
76,242.4499969482422,344.79998779296875,1.4221488642318938,-29.961115249044678
77,246.5800018310547,349.3900146484375,1.4169438399462075,-29.16581968852547
