,ba,ups,Ratio,Spread
0,193.15150451660156,223.47000122070312,1.1569674374526846,-7.8780342597909225
1,193.86000061035156,222.32000732421875,1.1468070082753703,-5.937230750831816
2,193.97500610351562,222.8699951171875,1.1489624338418731,-6.358851640604001
3,192.74000549316406,220.8300018310547,1.145740352481659,-5.697342107160438
4,193.8300018310547,221.50999450683594,1.142805512120397,-5.160701989662925
5,193.73060607910156,222.14999389648438,1.1466953951807644,-5.911644991812665
6,193.7899932861328,222.44000244140625,1.1478404982086532,-6.13536668689494
7,193.6699981689453,219.67999267578125,1.1343005873534757,-3.5092931461256853
8,193.02000427246094,219.4499969482422,1.1369287746904901,-4.004808011974774
9,193.77000427246094,219.4199981689453,1.1323733980023956,-3.137673764200173
10,192.50999450683594,218.94000244140625,1.1372916144030736,-4.064076523905101
11,195.50999450683594,219.25,1.1214260455228748,-1.0255322085879186
12,194.28500366210938,219.3699951171875,1.1291143988586205,-2.512838372016887
13,194.89999389648438,220.16000366210938,1.1296049797674244,-2.6164067329884517
14,193.47500610351562,216.82000732421875,1.1206615866868754,-0.8669541599537354
15,194.0800018310547,218.13999938964844,1.1239694833656164,-1.5116617163161834
16,193.77999877929688,217.19500732421875,1.1208329481495667,-0.9015272445905396
17,193.38499450683594,217.3000030517578,1.1236652750949427,-1.447419087699302
18,193.36000061035156,216.39500427246094,1.1191301385467425,-0.5703180113924873
19,193.3350067138672,215.88999938964844,1.1166627454548999,-0.09321083157001908
20,191.5,214.5500030517578,1.120365551184114,-0.8014134337767302
21,190.41000366210938,207.97000122070312,1.0922220325658663,4.561955603999195
22,190.10499572753906,208.0399932861328,1.094342589419893,4.1515195916415735
23,189.5800018310547,206.50999450683594,1.0893026295614687,5.095530355629933
24,189.47000122070312,204.9550018310547,1.0817279807388291,6.5277424814385085
25,190.47999572753906,206.86000061035156,1.0859933076974777,5.750080001661701
26,190.02999877929688,206.27000427246094,1.0854602199520371,5.837798464778615
27,190.75,206.52999877929688,1.0827260748586993,6.381455370206481
28,187.6999969482422,203.52000427246094,1.0842834713981433,5.9870955655867135
