,bmy,abbv,Ratio,Spread
0,66.7750015258789,144.28329467773438,2.160738171182472,-10.147488888576557
1,67.12000274658203,145.22999572753906,2.163736438984795,-10.39062451590004
2,68.60310363769531,148.64999389648438,2.1668114999800934,-10.78611598045816
3,68.93000030517578,149.3699951171875,2.166980914781335,-10.83947262670193
4,68.95099639892578,149.89999389648438,2.174007653627174,-11.326653802224623
5,69.08499908447266,149.9550018310547,2.1705870133644996,-11.108388338288531
6,69.05500030517578,149.88999938964844,2.1705886427809333,-11.104562792972413
7,68.88500213623047,149.3249969482422,2.1677432288225744,-10.88623980189183
8,68.80000305175781,149.5399932861328,2.1735463176307537,-11.274575864945287
9,67.94499969482422,145.96499633789062,2.1482816541834446,-9.443198248883558
10,68.3949966430664,147.08999633789062,2.150595855797911,-9.650513690086878
11,68.41999816894531,146.77000427246094,2.145133121898816,-9.27953569167465
12,68.31999969482422,146.75999450683594,2.1481263928921557,-9.473454099257534
13,68.2699966430664,146.5800018310547,2.147063264077977,-9.395433289441396
14,68.51000213623047,147.07000732421875,2.1466939532679277,-9.395992496439728
15,68.6500015258789,147.75999450683594,2.15236695153073,-9.800477124821409
16,68.56999969482422,147.76499938964844,2.154951145505138,-9.968630769689153
17,68.48500061035156,147.0399932861328,2.147039380531269,-9.416964391336332
18,68.43499755859375,146.63999938964844,2.142763273485849,-9.11894236081707
19,68.36000061035156,146.4550018310547,2.1424078484996008,-9.086887042448662
20,68.66000366210938,147.17999267578125,2.143605954349866,-9.200077808829231
21,68.69499969482422,147.47000122070312,2.146735597581117,-9.418718494553385
22,68.62000274658203,147.67999267578125,2.1521420397077615,-9.781652189856853
23,68.76000213623047,149.64999389648438,2.1764105475155593,-11.466150856324472
24,68.94999694824219,150.2581024169922,2.1792329088830056,-11.686800515353948
25,69.1500015258789,150.65499877929688,2.178669493201895,-11.675824972520555
26,69.18499755859375,150.75999450683594,2.179085059288398,-11.709452840861896
27,69.06999969482422,149.7100067138672,2.167511327281586,-10.893981669146111
28,68.7699966430664,149.64500427246094,2.176021689359041,-11.440779306085854
29,68.86000061035156,149.57000732421875,2.1720883822027477,-11.182236110850933
30,69.23999786376953,150.02000427246094,2.1666667952189567,-10.857299777414195
31,68.83000183105469,149.2899932861328,2.1689668649518503,-10.963398968855127
32,68.8550033569336,149.98500061035156,2.1782730854409045,-11.607420360091336
33,69.11499786376953,150.27499389648438,2.1742747383525476,-11.367203507628087
34,69.2699966430664,150.6699981689453,2.1751119600209576,-11.446116777808438
35,69.36499786376953,150.72000122070312,2.1728538291994477,-11.302382619465927
36,69.11000061035156,150.44000244140625,2.1768195791170744,-11.542403015657552
37,68.8550033569336,148.67999267578125,2.1593200991516532,-10.302412425521023
38,68.9000015258789,149.36000061035156,2.167779351271158,-10.890655015956124
39,69.2300033569336,150.60780334472656,2.1754701147164215,-11.465480775895
40,69.26000213623047,150.0399932861328,2.166329608119456,-10.836493821211118
41,69.43000030517578,150.02000427246094,2.1607374854249777,-10.469825357213576
42,69.45999908447266,150.02000427246094,2.1598042938356006,-10.408648461123445
43,69.3499984741211,150.5500030517578,2.17087247821552,-11.162972898565695
44,68.58499908447266,149.63999938964844,2.1818182020436345,-11.813042321644073
45,68.76000213623047,149.4600067138672,2.1736474995703197,-11.276163673707284
46,68.58999633789062,149.00999450683594,2.1724741574963393,-11.172846475723983
47,68.78500366210938,149.3000030517578,2.1705312946577715,-11.065174078615339
48,68.70999908447266,149.47000122070312,2.175374810250593,-11.388130046508305
49,68.68000030517578,149.72000122070312,2.179965063416287,-11.699306942598437
50,68.7699966430664,149.4499969482422,2.173186043965151,-11.245771981867104
51,67.55999755859375,146.9250030517578,2.1747336939189794,-11.188344766259572
52,68.04499816894531,148.24000549316406,2.178558446354967,-11.51427923094911
53,68.19499969482422,149.47500610351562,2.19187633657047,-12.443379802127676
54,67.99500274658203,149.35000610351562,2.196485036704012,-12.726236148543475
55,68.12999725341797,148.25999450683594,2.1761338688355516,-11.360928519458152
56,68.05999755859375,147.47999572753906,2.1669115635887524,-10.72368101727903
57,67.7300033569336,147.14999389648438,2.17259687883096,-11.066640601938186
58,68.19499969482422,148.1699981689453,2.172739919818358,-11.138371867557364
59,68.375,148.92999267578125,2.1781351762454295,-11.531289439130145
60,68.52999877929688,149.9199981689453,2.187655053836607,-12.20520393001362
61,68.27999877929688,149.53500366210938,2.1900264548254467,-12.330037635558593
62,68.19499969482422,149.1699981689453,2.187403751543192,-12.138371867557364
63,68.39099884033203,149.63999938964844,2.1880072221053988,-12.208669512330768
64,68.12999725341797,148.83999633789062,2.1846470327051652,-11.94093035051284
65,68.20999908447266,148.9499969482422,2.183697389641942,-11.887782198809159
66,68.0999984741211,148.42999267578125,2.179588781227163,-11.592103584493596
67,68.41000366210938,149.1027069091797,2.179545372422835,-11.63262025460855
68,68.56999969482422,149.02099609375,2.1732681457923118,-11.224627473790715
69,68.6050033569336,149.2100067138672,2.1749143562834212,-11.34225467598787
70,68.51000213623047,149.08999633789062,2.1761785387399173,-11.415981510111603
71,68.41999816894531,149.1999969482422,2.180648946815692,-11.7095283674559
72,69.1780014038086,149.77999877929688,2.165139144523634,-10.743724461673448
73,69.33999633789062,149.99169921875,2.1631339362616537,-10.625066550495372
74,69.3499984741211,149.75999450683594,2.1594808623207244,-10.37296435364382
75,69.37249755859375,150.14999389648438,2.164402308993761,-10.717081071224637
76,69.20999908447266,150.19000244140625,2.170062193731506,-11.088474842449639
77,69.09500122070312,149.85189819335938,2.1687805998396716,-10.984887215655728
