,sbux,tsla,Ratio,Spread
0,107.41999816894531,302.0104064941406,2.811491450773927,27.61191272824499
1,106.7699966430664,300.4700012207031,2.814180113025371,27.139021495905812
2,106.95999908447266,301.8435363769531,2.8220226155627524,26.35399457562494
3,107.04000091552734,300.4049987792969,2.806474179838313,28.04032760222322
4,107.62999725341797,299.3999938964844,2.78175231382324,30.872770603569453
5,107.8499984741211,300.9299621582031,2.7902639445137507,30.02422795590491
6,108.0999984741211,300.0333251953125,2.775516460965907,31.695207910934815
7,109.72000122070312,298.1333312988281,2.717219540484048,38.612952903667804
8,110.23999786376953,299.3266906738281,2.715227653067672,39.030216554645506
9,110.65010070800781,302.9933166503906,2.7383013184050617,36.633831632052136
10,110.76390075683594,306.8133239746094,2.7699757942632224,33.16630538909408
11,110.68000030517578,310.2205505371094,2.8028600441068336,29.499207919472614
12,110.44999694824219,309.8899841308594,2.8057038722787513,29.11736837528247
13,110.38999938964844,312.80999755859375,2.833680580561057,26.011520191378
14,111.19000244140625,327.3399658203125,2.9439694094153,13.95945895693399
15,111.38500213623047,336.93499755859375,3.02495839741963,4.96841380727847
16,111.58000183105469,334.80999755859375,3.0006272814508077,7.697400395904143
17,111.58000183105469,331.7799987792969,2.973471888642295,10.727399175201018
18,111.44499969482422,331.586669921875,2.9753391433431418,10.502576200167315
19,111.65509796142578,334.0066833496094,2.991414538590982,8.73331525404706
20,111.76000213623047,336.2099914550781,3.008321269046265,6.8549343990029605
21,112.7300033569336,343.7140197753906,3.049002124901029,2.355360669162454
22,112.7699966430664,348.8708801269531,3.0936498227554328,-2.6776255990017686
23,112.72000122070312,352.8516845703125,3.1303378348926483,-6.813284462145358
24,112.49079895019531,355.7222595214844,3.1622342701910977,-10.39378410111777
25,112.62999725341797,355.913330078125,3.160022540685307,-10.153705735285822
26,112.47000122070312,353.0333251953125,3.1389110106129103,-7.76926807928464
27,112.37999725341797,355.8199768066406,3.1662216186414667,-10.834695455940729
28,113.70999908447266,369.6303405761719,3.2506406081454773,-20.5255488358336
29,113.91000366210938,368.7561950683594,3.2372590923813758,-19.031914755666033
30,113.9800033569336,371.0932312011719,3.255774875168905,-21.152135795922444
31,114.0999984741211,370.8066711425781,3.249839404920592,-20.49390622498839
32,114.3499984741211,369.1741943359375,3.228458235786391,-18.08708642620854
33,114.04000091552734,364.8800048828125,3.199579112184412,-14.753074721392917
34,114.20999908447266,364.6066589355469,3.192423271677591,-13.953181210930094
35,115.58000183105469,363.1983337402344,3.142397715749544,-8.301447911508202
36,115.86000061035156,362.0579833984375,3.1249610002685366,-6.293837199486969
37,115.9000015258789,365.5278015136719,3.153820506482517,-9.63975760025033
38,115.8499984741211,363.8916931152344,3.1410591101261134,-8.158527252669781
39,115.69999694824219,363.3433532714844,3.1403920730786554,-8.074797930417898
40,115.5999984741211,365.0133361816406,3.1575548529384685,-10.054513311215313
41,115.58000183105469,362.9499816894531,3.1402489698865335,-8.053095860726952
42,116.62999725341797,357.9283447265625,3.068921831052114,0.22076749050495748
43,116.18000030517578,359.7133483886719,3.096172727180194,-2.95804410502603
44,116.23999786376953,358.5610656738281,3.084661667785413,-1.619926634012128
45,116.0989990234375,361.6666564941406,3.1151574047690898,-5.162243309968115
46,116.30999755859375,364.4673156738281,3.133585446859111,-7.309361541456038
47,116.29000091552734,361.8433532714844,3.1115603269650514,-4.747336180811427
48,116.37999725341797,361.8533630371094,3.1092401750892984,-4.478593812181199
49,116.5,360.8066711425781,3.0970529711809283,-3.060208774236909
50,116.69000244140625,360.5299377441406,3.0896386168572936,-2.1949671398302795
51,116.70500183105469,364.2266540527344,3.120917255800216,-5.845224759381491
52,116.75,363.183349609375,3.1107781551124196,-4.662544248894502
53,116.79499816894531,361.4525146484375,3.0947602235978655,-2.7923332208293883
54,116.70500183105469,359.5066833496094,3.080473653306145,-1.1252540562564914
55,116.26000213623047,356.7766418457031,3.068782343799043,0.22645786688474656
56,116.8550033569336,356.3385925292969,3.049408089449629,2.5074472855541248
57,116.97000122070312,358.4199523925781,3.064204057895996,0.7822785819565783
58,116.79000091552734,356.0266418457031,3.0484342756638254,2.618061229248386
59,117.33000183105469,355.9300231933594,3.03358064978017,4.387263580341656
60,117.16999816894531,354.4599914550781,3.025177067460466,5.361704460738853
61,117.41999816894531,354.5,3.0190768653389104,6.09603890795626
62,116.95999908447266,352.413330078125,3.0131098908747393,6.757920560023766
63,116.4000015258789,384.0016784667969,3.2989834487366636,-26.564948569096824
64,115.69999694824219,388.6119689941406,3.3587897946789425,-33.34341365307415
65,115.48999786376953,389.0,3.368257054250354,-34.381889936601794
66,115.33000183105469,391.8866882324219,3.3979596116411344,-37.76414539583499
67,116.04000091552734,395.2320251464844,3.405998121580489,-38.910351047950655
68,116.41999816894531,397.52001953125,3.414533806763856,-40.021352591850814
69,116.69000244140625,399.8833312988281,3.4268859622281886,-41.54836069451778
70,116.0199966430664,395.6666564941406,3.4103315630270403,-39.40694306837884
71,115.83000183105469,378.1084289550781,3.26433931604847,-22.43720013421267
72,115.63999938964844,385.3966369628906,3.3327277671828623,-30.3139163779943
73,114.8499984741211,386.9532775878906,3.3692057703865097,-34.317483693883105
74,114.51000213623047,380.3680114746094,3.321701199709109,-28.78531270699636
75,114.31999969482422,383.8699951171875,3.3578551097089187,-32.87580458554362
76,114.2300033569336,383.2099914550781,3.354722754035688,-32.494553057689416
77,112.91999816894531,386.3466796875,3.4214194646856724,-39.68881463805053
78,112.55000305175781,383.3800048828125,3.4063082584414452,-37.868152337842616
