,bac,schw,Ratio,Spread
544,39.70500183105469,81.7699966430664,2.05943817836853,-3.095393596507919
545,39.606201171875,81.58999633789062,2.060030851831076,-3.1162227002966327
546,39.650001525878906,81.7699966430664,2.0622949179383125,-3.2071912188419
547,39.66239929199219,81.45999908447266,2.0538343755951085,-2.8719930587371616
548,39.494998931884766,81.1500015258789,2.054690561350176,-2.9022656527916277
549,39.470001220703125,81.02999877929688,2.052951514397075,-2.8330750728869853
550,39.165000915527344,80.58000183105469,2.0574492518167657,-3.0030439379400358
551,38.92499923706055,79.7300033569336,2.04829813537986,-2.6408903389155123
552,39.150001525878906,80.08999633789062,2.0457214103797567,-2.543527295588661
553,38.567501068115234,81.93000030517578,2.1243274268788306,-5.56756407829731
554,38.742401123046875,82.62000274658203,2.1325472957697884,-5.902051941649007
555,38.744998931884766,82.75,2.13575951171086,-6.026768699796521
556,38.78499984741211,83.16999816894531,2.144385677353425,-6.36545809722054
557,38.834999084472656,83.53500366210938,2.1510237062297,-6.628831502998595
558,38.834999084472656,84.00499725341797,2.1631260263633063,-7.098825094307188
559,38.849998474121094,83.83000183105469,2.157786489667325,-6.8933408211312335
560,38.48500061035156,84.41999816894531,2.1935818326643943,-8.225258375567805
561,38.43989944458008,85.20500183105469,2.216577125907866,-9.10193794895855
562,37.904998779296875,84.03500366210938,2.2169900110380163,-9.01921779369701
563,37.55500030517578,83.9000015258789,2.234056739291676,-9.595648023199814
564,37.79999923706055,84.05999755859375,2.2238095041065016,-9.25764139990136
565,37.82500076293945,83.59500122070312,2.210046253392509,-8.741825141302115
566,37.529998779296875,82.76000213623047,2.205169326621038,-8.506468554259996
567,38.380001068115234,75.03099822998047,1.9549503945249653,0.9503118536770492
568,38.75,75.62000274658203,1.9514839418472782,1.1133940885694207
569,38.85499954223633,75.41999816894531,1.9410629020072936,1.5268283759261143
570,39.012699127197266,75.33499908447266,1.9310378612576875,1.9323791116185438
571,39.025001525878906,75.45999908447266,1.933632187930406,1.8323858623486862
