,amd,txn,Ratio,Spread
0,137.75,181.17709350585938,1.315260206939088,76.64469843681518
1,135.8000030517578,179.17373657226562,1.3193942013681448,74.97162606526415
2,144.25,181.2451629638672,1.2564656011359943,88.83141250807527
3,143.8800048828125,181.78976440429688,1.263481778113374,87.58924028795035
4,146.13999938964844,182.24684143066406,1.2470702216492084,91.39304687059995
5,154.36000061035156,186.5647430419922,1.2086339874598377,102.57273534696945
6,153.14999389648438,185.84510803222656,1.2134842666584835,101.01108261098072
7,148.25999450683594,185.56309509277344,1.2516059757726319,92.07372878452712
8,145.14999389648438,184.20156860351562,1.2690428959637532,87.57181154213116
9,143.89999389648438,183.28741455078125,1.273713845204403,86.12927645462172
10,150.24000549316406,185.3588409423828,1.2337515586074488,96.01099924615214
11,144.4199981689453,185.55335998535156,1.284817631477101,84.84372175748267
12,136.14999389648438,181.68280029296875,1.3344312040961472,73.12241804292249
13,136.22999572753906,181.62445068359375,1.3332192349682217,73.3315992094545
14,132.0,174.5057373046875,1.3220131613991477,72.47528459286546
15,132.0,177.928955078125,1.3479466293797349,69.05206681942796
16,137.30999755859375,179.562744140625,1.3077179180926057,77.42948862177523
17,137.47000122070312,180.91452026367188,1.316029087489569,76.37937561304231
18,132.74000549316406,179.08621215820312,1.3491502542345897,69.28998006691826
19,136.8800048828125,181.86756896972656,1.3286642495770613,74.31397653715526
20,131.92999267578125,177.2676239013672,1.3436491604831924,69.58140959560667
21,128.27000427246094,173.39707946777344,1.3518131573415806,66.55159009038177
22,121.88999938964844,168.68043518066406,1.3838742802962827,59.23968379986972
23,118.80999755859375,170.8102264404297,1.4376755319449517,51.303007046361934
24,116.52999877929688,173.4359893798828,1.4883376915532591,44.37864541655831
25,111.12999725341797,169.17642211914062,1.5223290407661496,38.45731271462936
26,110.70999908447266,173.42625427246094,1.5664913350792755,33.415636462368504
27,102.5999984741211,170.0030517578125,1.6569498468432486,21.54863868438788
28,105.23999786376953,173.5565948486328,1.6491504976396651,22.972421907035407
29,114.25,175.7102813720703,1.537945569996239,37.805754734020304
30,116.77999877929688,177.4723663330078,1.51971543233541,40.81360629148208
31,122.76000213623047,183.8844451904297,1.4979182306169039,45.67593460998581
32,120.08000183105469,171.89239501953125,1.431482281798875,52.61524268883793
33,123.5999984741211,167.81021118164062,1.3576878094927818,63.33385681665602
34,123.66999816894531,166.3711700439453,1.3452831932338676,64.90487197084143
35,128.22999572753906,168.99473571777344,1.3179033092760184,70.8785036777143
36,132.85000610351562,172.98883056640625,1.3021364141422378,75.5947514537837
37,125.7699966430664,167.06622314453125,1.328347202064917,68.16905374904731
38,113.18000030517578,160.9380340576172,1.4219653085674837,50.56067671978827
39,114.2699966430664,159.04867553710938,1.3918673335916303,54.505061266226
40,121.47000122070312,162.6707763671875,1.3391847759318387,64.45749851440571
41,117.69000244140625,164.6971893310547,1.399415293691167,55.304459891895426
42,112.37000274658203,161.18276977539062,1.4343932173686214,48.78881104204533
43,113.83000183105469,163.22877502441406,1.4339697127184143,49.49541698273598
44,115.6500015258789,163.17982482910156,1.4109798761445493,52.97570599087994
45,109.76000213623047,162.1519317626953,1.4773317110675501,42.89888097918439
46,116.61000061035156,166.01873779296875,1.4237092609896713,51.946728560629346
47,121.05999755859375,167.22286987304688,1.3813222637156426,59.13240406618363
48,123.33999633789062,166.41033935546875,1.3492001321257272,64.24353327411227
49,113.83000183105469,163.76718139648438,1.4386996289391785,48.95701061066567
50,118.27999877929688,166.51800537109375,1.407828940561675,54.595994221688734
51,111.9800033569336,167.3990478515625,1.4949012576645673,41.8372471048445
52,108.41000366210938,166.40054321289062,1.53491871222074,36.105048134343555
53,102.94999694824219,161.417724609375,1.567923549240388,30.79383591527583
54,105.52999877929688,163.81613159179688,1.5523181416347624,33.25963877049859
55,111.05000305175781,168.82830810546875,1.520290891183333,38.65460955523327
56,106.45999908447266,169.11221313476562,1.5885047397058534,29.716934523234794
57,104.29000091552734,166.7725372314453,1.5991229817566832,27.965401531273198
58,102.25,163.2091827392578,1.59617782630081,27.682637620492084
59,109.33000183105469,168.69126892089844,1.5429549629165236,35.548842181373836
60,115.37000274658203,172.61683654785156,1.4962020667280043,43.010798206169575
61,111.69000244140625,174.71176147460938,1.5642560449066603,33.97777987517038
62,113.45999908447266,176.30743408203125,1.5539171117987385,35.7191727613346
63,115.91999816894531,176.6598663330078,1.5239809275664271,40.00470301226719
64,114.77999877929688,178.5100555419922,1.5552366042905938,36.00521445810757
65,113.91999816894531,175.3089141845703,1.5388774315514313,37.58495253631458
66,120.52999877929688,180.33090209960938,1.4961495389194706,45.025137945611995
67,119.66999816894531,181.00634765625,1.512545754372892,42.72828910975648
68,120.23999786376953,181.76991271972656,1.5117258478802509,43.03937371886756
69,123.2300033569336,186.98768615722656,1.5173876577412722,43.45881106137487
70,119.22000122070312,183.5026397705078,1.5391934062372892,39.38359465864651
71,109.33999633789062,179.6162567138672,1.6427315047533348,24.642697544982962
72,108.19000244140625,178.2457275390625,1.6475249423864018,23.845084218034525
73,110.52999877929688,178.8624725341797,1.6182255904238914,27.640054389091073
74,106.81999969482422,173.44891357421875,1.6237494295988368,26.05896170689901
75,103.66999816894531,173.51744079589844,1.6737478910062926,20.0515749749871
76,103.72000122070312,173.86007690429688,1.676244454860201,19.803212185833996
77,101.0,170.44357299804688,1.6875601286935333,18.091558221459206
78,97.37000274658203,168.3192596435547,1.7286562072061067,13.372051490955338
79,95.0999984741211,169.35694885253906,1.7808301952667749,8.054606748198362
