,tjx,amzn,Ratio,Spread
0,70.12000274658203,142.427001953125,2.03118933791068,-13.369328491299559
1,70.25,142.57675170898438,2.029562301907251,-13.276353385817988
2,70.36000061035156,142.1999969482422,2.0210346178894336,-12.694210571151633
3,68.98999786376953,138.95774841308594,2.014172383183394,-12.00996782425371
4,69.11000061035156,138.87249755859375,2.009441417047143,-11.700653389502595
5,70.12999725341797,141.45199584960938,2.016997025373694,-12.375661106701916
6,70.4000015258789,143.06100463867188,2.032116499118014,-13.48053040149502
7,70.05999755859375,141.52099609375,2.0199971599398188,-12.575361544680408
8,69.36000061035156,140.00100708007812,2.0184689424466904,-12.362374469387095
9,69.4749984741211,140.18800354003906,2.017819454753324,-12.334652234882856
10,69.63999938964844,140.02426147460938,2.0106872875048176,-11.862828088566904
11,69.62000274658203,139.70950317382812,2.006743718215195,-11.58540659520246
12,69.08000183105469,138.8000030517578,2.0092646116485877,-11.684171216418196
13,70.5250015258789,140.77549743652344,1.9961076836682712,-10.961628978546646
14,70.47000122070312,141.2469940185547,2.0043563441440417,-11.535819587539965
15,70.58499908447266,141.2624969482422,2.001310459453094,-11.336603822762289
16,69.79499816894531,140.53298950195312,2.0135108989010915,-12.082149561359177
17,70.73999786376953,141.76600646972656,2.00404312624858,-11.550706789695187
18,71.4000015258789,143.94100952148438,2.015980482427763,-12.493381517907995
19,71.25360107421875,147.23699951171875,2.0663797659623495,-16.062723662862215
20,71.33000183105469,147.17840576171875,2.0633450439313212,-15.861477951980238
21,71.63999938964844,148.22450256347656,2.069018758044464,-16.32876164463507
22,71.83000183105469,147.81649780273438,2.0578657111884966,-15.565993109796114
23,71.8499984741211,149.06149291992188,2.0746206831669007,-16.773651419566807
24,71.44010162353516,148.45700073242188,2.0780625637228147,-16.934499680473653
25,71.9800033569336,149.5655059814453,2.077875785025761,-17.034925374496556
26,72.0999984741211,149.63160705566406,2.075334399755521,-16.87697711370912
27,72.31999969482422,149.4312286376953,2.06625040470499,-16.265822587892036
28,72.45999908447266,149.90150451660156,2.068748363381138,-16.47469807912258
29,72.36000061035156,150.22674560546875,2.0761020500043754,-16.986651695579173
30,72.26000213623047,149.69900512695312,2.0716717506419156,-16.645623744652955
31,72.56529998779297,150.7864990234375,2.0779421989408573,-17.163079607718732
32,72.79000091552734,151.19351196289062,2.0771192479905367,-17.15054136363914
33,71.67500305175781,151.82449340820312,2.1182349067856743,-19.86339526981634
34,71.69000244140625,150.05250549316406,2.0930743532308447,-18.06340118790151
35,71.58499908447266,149.8249969482422,2.0929663877126514,-18.031950056362792
36,71.7300033569336,149.74649047851562,2.0876409238874065,-17.682698313166743
37,71.7300033569336,149.09950256347656,2.078621156917376,-17.03571039812768
38,72.01000213623047,150.0,2.083043959868602,-17.413407059299704
39,72.04000091552734,150.58999633789062,2.0903663856760555,-17.94739106343879
40,70.76000213623047,142.43174743652344,2.0128850075824922,-12.179096703822541
41,71.05500030517578,140.85250854492188,1.9823025535144767,-10.049050869993767
42,70.80999755859375,140.71249389648438,1.9871839958763988,-10.366494022615132
43,70.82499694824219,140.6927032470703,1.9864837177456762,-10.3186972063253
44,70.69000244140625,140.39849853515625,1.9861153442671076,-10.276547996293193
45,70.20500183105469,139.57974243164062,1.9881737595781745,-10.363362609101575
46,69.80000305175781,138.89999389648438,1.9899711722575115,-10.439809070096675
47,68.87999725341797,155.5644989013672,2.2584858464646316,-28.822106366459128
48,68.30500030517578,155.7060089111328,2.2795696979059126,-30.037224093803378
49,68.44999694824219,157.24131774902344,2.297170558939834,-31.301801903477273
50,68.98999786376953,159.81649780273438,2.316516926385685,-32.868717213902144
51,69.0999984741211,160.57749938964844,2.323842300080324,-33.42433074689204
52,69.6500015258789,160.36294555664062,2.302411228190092,-32.18283664426339
53,69.16999816894531,157.60250854492188,2.27848073900455,-30.318639708327613
54,69.12999725341797,162.04949951171875,2.34412709315863,-34.84031853521081
55,68.91999816894531,159.8300018310547,2.3190656714653333,-33.012921436060296
56,69.01000213623047,159.70401000976562,2.3142154045220718,-32.71887836826387
57,69.4800033569336,159.05874633789062,2.2892737284535225,-31.196050146940667
58,69.5999984741211,160.30174255371094,2.303186006725487,-32.21499702775479
59,69.51000213623047,159.41200256347656,2.293367827137309,-31.493294038775066
60,69.3499984741211,157.92599487304688,2.2772314109275595,-30.306037788690606
61,69.56999969482422,156.03399658203125,2.2428345158328304,-28.003263389826646
62,70.16000366210938,159.02450561523438,2.266597738236966,-29.892144293322634
63,70.37999725341797,159.97000122070312,2.272946965949679,-30.42687803619579
64,70.13999938964844,159.8780059814453,2.2794127084785916,-30.782995712203093
65,69.94000244140625,159.76300048828125,2.284286458556048,-31.041415274217844
66,70.43000030517578,161.0489959716797,2.286653347633799,-31.412509400751293
67,70.43000030517578,161.40899658203125,2.2917648144631566,-31.772510011102856
68,71.68099975585938,162.05699157714844,2.260808193651087,-30.084696670112425
69,71.8499984741211,161.6999969482422,2.2505219259883944,-29.41215544788712
70,72.05000305175781,161.57049560546875,2.2424772902424865,-28.909214804682154
71,71.69000244140625,161.61099243164062,2.25430306776358,-29.62188812637807
72,71.58499908447266,161.61898803710938,2.2577214514788726,-29.82594114522998
73,71.375,160.85450744628906,2.253653344256239,-29.453561135923213
74,71.4800033569336,161.21450805664062,2.2553791338204063,-29.617504332891645
75,71.24500274658203,159.7587127685547,2.2423848215265747,-28.600491319529812
76,71.37999725341797,159.84950256347656,2.239415924827908,-28.439225612569704
77,71.6500015258789,160.22850036621094,2.236266531108709,-28.314083921034683
