,meta,nvda,Ratio,Spread
0,226.4207000732422,284.3450012207031,1.255825996159908,-31.246692006598238
1,228.7899932861328,282.8736877441406,1.236390122143012,-27.126927633006034
2,228.41000366210938,282.8399963378906,1.238299513169749,-27.517997440408863
3,228.86270141601562,282.8299865722656,1.2358063800800414,-27.001951627454133
4,230.1999969482422,284.260009765625,1.2348393289924222,-26.937114863147826
5,230.875,287.4200134277344,1.2449161382901326,-29.342584460752505
6,229.8800048828125,286.5899963378906,1.2466938848552207,-29.624795986733147
7,229.6199951171875,283.82000732421875,1.2360422147878283,-27.14545191867603
8,227.9149932861328,278.8800048828125,1.223614124116426,-24.11134006283592
9,230.11500549316406,280.2749938964844,1.2179779119393863,-23.047104413436443
10,229.58999633789062,280.385009765625,1.2212422763968283,-23.743987691248833
11,228.80999755859375,278.20001220703125,1.2158560166751005,-22.430890856242854
12,227.41000366210938,276.1700134277344,1.2144145331358143,-21.965837720147505
13,227.8300018310547,276.9200134277344,1.2154677224340364,-22.24635402718704
14,226.77639770507812,279.3900146484375,1.2320065821478619,-25.894098372875703
15,224.61000061035156,280.92999267578125,1.2507457010479794,-29.85572531122571
16,224.45469665527344,277.8796081542969,1.2380209115475787,-26.978943152210064
17,225.0399932861328,276.6700134277344,1.2294259761906199,-25.115090278705594
18,224.79690551757812,278.4642028808594,1.2387368155256244,-27.181008876700844
19,224.7949981689453,277.2300109863281,1.233257026377318,-25.948949060702546
20,222.3000030517578,272.739990234375,1.226900524022365,-24.247891709416137
21,225.05999755859375,267.36981201171875,1.187993490234131,-15.792527623036165
22,224.39999389648438,266.75,1.1887255225285418,-15.910483010238835
23,224.41050720214844,266.09991455078125,1.1857729741285201,-15.248645544146342
24,223.2299041748047,263.3100891113281,1.1795466655091955,-13.778525546718157
25,224.5500030517578,264.5299987792969,1.1780449574000844,-13.522798077074498
26,223.55160522460938,263.9731140136719,1.180815113129918,-14.081945555376706
27,224.8699951171875,267.1499938964844,1.1880197433955708,-15.78509864294233
28,231.63499450683594,272.2267150878906,1.17524001788882,-13.299746636974817
29,232.31500244140625,273.135009765625,1.1757097341766132,-13.447912676133967
30,233.48989868164062,274.2300109863281,1.1744834039276189,-13.229587633782785
31,233.45010375976562,272.5058898925781,1.1672982170657045,-11.549950226544752
32,232.8350067138672,271.9599914550781,1.1680373810339093,-11.691621530985856
33,233.59539794921875,273.85009765625,1.1723265957310607,-12.731744775888899
34,233.92999267578125,273.7132873535156,1.1700649592755412,-12.220916728586474
35,232.43409729003906,264.8800048828125,1.139591858385073,-5.0597808097226675
36,232.97999572753906,263.19000244140625,1.1296678138375305,-2.7595604355515775
37,231.63999938964844,261.3999938964844,1.12847519679352,-2.4674308714980384
38,234.47000122070312,262.3800048828125,1.1190344330481667,-0.2840001836282795
39,233.82000732421875,261.010009765625,1.1162860387892475,0.3594166827788854
40,231.90269470214844,259.2294006347656,1.1178369486724382,-0.003190697590127911
41,231.86000061035156,259.32000732421875,1.118433566124304,-0.14152183292526388
42,223.15310668945312,244.71780395507812,1.0966363300316275,4.727913599480246
43,223.4499969482422,244.2899932861328,1.0932646973484532,5.487595084553874
44,222.86180114746094,241.19500732421875,1.0822626671882063,7.925082140155865
45,223.19900512695312,242.64500427246094,1.087124040425033,6.85201961991487
46,222.10000610351562,241.89999389648438,1.0891489745558154,6.368543401821171
47,223.2100067138672,244.65960693359375,1.0960960511381679,4.849714787760263
48,223.27000427246094,243.88999938964844,1.0923545246679196,5.686388994038737
49,223.11000061035156,245.07000732421875,1.0984268148168717,4.327525255494464
50,220.625,240.69000244140625,1.0909461867032577,5.929738829153024
51,220.55999755859375,237.32000732421875,1.07598843829862,9.227072709936834
52,221.61000061035156,239.39999389648438,1.080276130306106,8.320803898386515
53,221.44000244140625,240.50999450683594,1.0861180990569925,7.020775392548188
54,223.3800048828125,243.59959411621094,1.0905165582926988,6.099755500629811
55,222.89999389648438,242.02000427246094,1.0857784248520705,7.1427779324579035
56,224.42999267578125,233.77000427246094,1.0416165927081438,17.10304604846681
57,223.39999389648438,232.9250030517578,1.0426365685564298,16.79669074810849
58,224.80999755859375,234.68829345703125,1.0439406432352407,16.609535134177605
59,223.75999450683594,232.43150329589844,1.0387536154895534,17.69260753459514
60,222.60000610351562,231.2220001220703,1.0387331257059589,17.605448771182665
61,223.94000244140625,231.89999389648438,1.035545196786183,18.425333977636967
62,222.3699951171875,231.11000061035156,1.0393038884969985,17.460336668453266
