,csco,crm,Ratio,Spread
0,60.790000915527344,228.35000610351562,3.7563744475152507,-11.819551581732167
1,60.869998931884766,228.61000061035156,3.755708963724027,-11.789831979562035
2,61.18000030517578,228.38499450683594,3.7330008723049115,-10.442150893051927
3,61.189998626708984,227.9219970703125,3.724824353416903,-9.94294437352313
4,61.209999084472656,228.0449981689453,3.725616755102913,-9.993513491157483
5,61.415000915527344,229.08999633789062,3.730196090902778,-10.296094216109406
6,61.150001525878906,228.3000030517578,3.733442311610416,-10.465800501977593
7,60.619998931884766,221.24000549316406,3.64962074218706,-5.325215902373638
8,60.994998931884766,222.64999389648438,3.6502991687093127,-5.377135745695294
9,60.915000915527344,221.27000427246094,3.632438659556169,-4.286860230677926
10,61.42499923706055,225.0,3.6630037085006113,-6.16988879521342
11,61.5099983215332,227.7899932861328,3.70330026828157,-8.652056523343628
12,61.34000015258789,227.57000732421875,3.7099772865686527,-9.047721677434804
13,61.84000015258789,229.74000549316406,3.7150712310202003,-9.406961766381908
14,61.790000915527344,231.1300048828125,3.740572931837121,-10.978034201032596
15,61.97999954223633,234.64999389648438,3.7858986064784,-13.809940117700773
16,62.099998474121094,234.97999572753906,3.7838969645943257,-13.705363877752472
17,62.185001373291016,235.99000549316406,3.7949666363523433,-14.407534270387043
18,62.23500061035156,235.67999267578125,3.7869364564058596,-13.91644840800198
19,62.310001373291016,235.5500030517578,3.7802920536080356,-13.51484230898124
20,62.380001068115234,234.8699951171875,3.7651489435007144,-12.581329348410218
21,62.43000030517578,239.1199951171875,3.830209738079453,-16.65025630340794
22,62.14500045776367,237.4199981689453,3.8204199279120745,-15.982390908165211
23,62.20500183105469,237.75,3.822039916431732,-16.09509679622452
24,62.13999938964844,238.7100067138672,3.841487110693995,-17.29051090208368
25,62.04499816894531,238.75,3.8480136521222246,-17.674552644212223
26,61.9900016784668,237.5449981689453,3.831988897194373,-16.668721492168583
27,62.119998931884766,237.94000244140625,3.83032850181324,-16.5929386106212
28,61.72999954223633,234.00729370117188,3.7908196247605925,-14.072618962387377
29,61.8849983215332,232.25999450683594,3.7530904226593456,-11.763989184048096
30,61.630001068115234,230.6750030517578,3.7429011691369145,-11.102474402977844
31,61.88999938964844,231.24000549316406,3.7363064755796502,-10.725888721379658
32,61.71419906616211,231.0399932861328,3.7437088511582424,-11.162540226786728
33,61.720001220703125,229.6999969482422,3.7216460208233517,-9.801531292463022
34,61.5099983215332,228.66000366210938,3.7174444789744188,-9.52206689932019
35,61.25,231.49000549316406,3.7794286611128824,-13.293656853379314
36,61.224998474121094,230.10000610351562,3.7582688744496338,-11.9942008937259
37,61.39500045776367,230.75,3.7584493571059276,-12.02852985921724
38,61.26499938964844,228.7100067138672,3.7331267280239437,-10.459337542080544
39,61.290000915527344,228.72999572753906,3.731930042598386,-10.388783125757396
40,61.30500030517578,230.47000122070312,3.7593997238956915,-12.074468086919534
41,61.34000015258789,231.11000061035156,3.7676882953284636,-12.587714963567617
42,59.96500015258789,229.00999450683594,3.8190610176618605,-15.467293580047095
43,60.060001373291016,227.3800048828125,3.785880780614326,-13.493255500027896
44,59.685001373291016,227.8000030517578,3.8167043278933073,-15.271322228971865
45,59.72999954223633,226.8000030517578,3.797086971202516,-14.108360632966178
46,59.6682014465332,227.17999267578125,3.807387974972735,-14.712153059235487
47,59.63999938964844,226.77999877929688,3.8024815744491525,-14.41429336750441
48,59.7400016784668,226.0399932861328,3.7837292757828735,-13.312127969348051
49,58.959999084472656,230.17999267578125,3.904002650101805,-20.27691935798539
50,58.869998931884766,228.41000366210938,3.8799050077508923,-18.83286735131271
51,59.25,230.52499389648438,3.890717196565137,-19.57167757669249
52,59.25,230.47000122070312,3.8897890501384493,-19.51668490091124
53,59.03499984741211,228.41000366210938,3.869060798720779,-18.23531386931621
54,59.22999954223633,227.54029846191406,3.841639375662283,-16.659414123120637
55,58.88999938964844,226.3699951171875,3.843946297560641,-16.720426825392376
56,58.7400016784668,230.4499969482422,3.923220809724997,-21.343647791453844
57,58.875,230.36810302734375,3.91283402169586,-20.772855267550522
58,58.81999969482422,230.0800018310547,3.9115947471060637,-20.683938565260274
59,58.595001220703125,229.2469940185547,3.9123984852406797,-20.665766362764355
60,58.5,227.7449951171875,3.8930768396100426,-19.50781591739293
61,58.54499816894531,224.89999389648438,3.841489468450964,-16.49985310068409
62,58.08000183105469,222.88999938964844,3.837637609551035,-16.17385034585821
63,57.59000015258789,220.52999877929688,3.829310612866651,-15.588398732499524
64,57.63999938964844,222.73480224609375,3.864240190920173,-17.61212915429415
65,57.121700286865234,223.33999633789062,3.9098975558549016,-20.094351822532058
66,57.05500030517578,221.6300048828125,3.884497479578616,-18.62591542901374
67,56.86000061035156,220.63980102539062,3.880404478666544,-18.341906117592156
68,56.720001220703125,219.32000732421875,3.8667137271528422,-17.52912246842173
69,56.63999938964844,218.60000610351562,3.8594634261854726,-17.09884917171244
70,56.849998474121094,212.94000244140625,3.7456465814742192,-10.678330431600909
71,55.826499938964844,211.08999633789062,3.7811791276307036,-12.534940812886315
72,55.119998931884766,208.85000610351562,3.7890059896700046,-12.853555392705555
73,55.439998626708984,214.25,3.864538335265797,-17.094665223190088
74,55.5099983215332,216.4949951171875,3.9001081185982613,-19.086155314376878
75,56.16999816894531,220.125,3.918907017549102,-20.325960084191234
76,56.90999984741211,223.11000061035156,3.9204006538140437,-20.631032657550815
77,55.86000061035156,221.52000427246094,3.9656283897607136,-22.843625524658886
78,55.7599983215332,218.19000244140625,3.9130202476556817,-19.875783598596524
