,ba,de,Ratio,Spread
0,197.14999389648438,375.3900146484375,1.9040833186408308,78.91840301333394
1,197.92999267578125,374.79998779296875,1.8935987554291935,81.31500658165993
2,198.9199981689453,376.3399963378906,1.891916347285808,82.06797709904276
3,193.94000244140625,370.79998779296875,1.9119314382034,76.07368001388318
4,194.22000122070312,372.5400085449219,1.9181341067009041,74.98217216699152
5,196.0,376.3500061035156,1.9201530923648757,75.2948789368466
6,194.4250030517578,379.79998779296875,1.953452394658635,68.19700332109721
7,192.30999755859375,377.6650085449219,1.9638345033510463,65.4333599392989
8,188.7899932861328,373.29998779296875,1.9773293133560843,61.645601588804816
9,189.50999450683594,371.1243896484375,1.9583367653733452,65.48881444386626
10,189.6490020751953,374.0899963378906,1.9725387017304998,62.84516702226647
11,189.75,375.7799987792969,1.980395250483778,61.38908866361782
12,185.3000030517578,368.0400085449219,1.986184578972302,58.822318076870765
13,187.9250030517578,371.55999755859375,1.9771716989476895,61.3821640541268
14,188.47999572753906,374.0400085449219,1.9845077303886547,60.1875869306267
15,187.5,374.010986328125,1.9947252604166668,57.946813979708615
16,185.33999633789062,369.760009765625,1.995036241888777,57.19494641061811
17,188.17999267578125,369.95001220703125,1.9659370103410776,63.58273791557934
18,190.55999755859375,373.79998779296875,1.961586862835848,65.24515736396671
19,195.32000732421875,374.8800048828125,1.91931185145071,75.18993034277275
20,192.8800048828125,373.94000244140625,1.9387183376970558,70.47857574752703
21,195.06739807128906,375.81500244140625,1.9265905331041604,73.66985751751457
22,198.23060607910156,374.385009765625,1.8886337340674382,82.42624361405086
23,199.2050018310547,375.6099853515625,1.8855449506740622,83.45809293772714
24,198.0500030517578,375.489990234375,1.8959352913326921,80.90296348621052
25,200.24000549316406,376.3399963378906,1.879444596553102,85.12528251544899
26,204.23500061035156,373.8299865722656,1.8303913896006236,96.88821079614553
27,207.01600646972656,374.1099853515625,1.807154875274204,103.04937648686916
28,207.6699981689453,376.4599914550781,1.8127798660103875,102.21409861828175
29,208.75,376.6099853515625,1.8041196903068861,104.5655267875926
30,207.85000610351562,376.54998779296875,1.811642899858446,102.54102362867502
31,208.44000244140625,377.3599853515625,1.8104009831684813,103.09753288136767
32,208.2899932861328,377.5400085449219,1.8125691138041682,102.57006934088793
33,204.60000610351562,369.70001220703125,1.80694037721575,101.86358446393984
34,204.2100067138672,368.4949951171875,1.804490392253458,102.16531319735498
35,206.0731964111328,371.70001220703125,1.8037280863322926,103.27568121843387
36,207.00489807128906,373.3523864746094,1.8035920403488859,103.7812468954362
37,207.3000030517578,374.0899963378906,1.8045826861106673,103.72713782691721
38,208.0749969482422,374.8800048828125,1.8016581058802676,104.73211404755773
39,207.52000427246094,374.4800109863281,1.8045489749251307,103.84667408121408
40,205.49020385742188,373.0400085449219,1.8153663850747523,100.58539972720911
41,207.0,376.7449951171875,1.8200241310009058,100.37729369468235
42,206.43499755859375,370.9949951171875,1.797151643397509,104.81867593726463
43,207.2899932861328,371.32000732421875,1.7913069581302319,106.47394294599945
44,207.74000549316406,371.07000732421875,1.7862231515943099,107.76622864605787
45,207.3699951171875,372.1549987792969,1.7946424629512443,105.82424594112496
46,206.33999633789062,370.7799987792969,1.7969371200924549,104.81363732436984
47,205.0,367.9700012207031,1.794975615710747,104.52003235998347
48,204.26210021972656,365.9800109863281,1.7917176538997697,104.80095253572824
49,205.75999450683594,368.0799865722656,1.7888802313320287,106.17029127340163
50,206.5399932861328,368.9649963378906,1.7864094525593417,107.09185822063387
51,206.80999755859375,369.885009765625,1.788525768251743,106.79720914467396
52,207.7100067138672,372.19000244140625,1.7918732387030345,106.57675252770679
53,206.49000549316406,369.6000061035156,1.7899171692150078,106.34107034727145
54,210.26170349121094,371.739990234375,1.7679871515447603,112.93682010736
55,211.1999969482422,372.6400146484375,1.7643940342468787,114.21000308065652
56,210.1898956298828,370.6650085449219,1.7634768190646755,113.84548562617448
57,212.375,370.7900085449219,1.7459211703115805,118.78146620075279
58,214.02499389648438,373.4100036621094,1.7447027885103614,119.98306751277033
59,212.58999633789062,372.9574890136719,1.7543510769005946,117.11194468744236
60,211.8699951171875,372.20001220703125,1.756737720228688,116.2018067835528
61,210.4199981689453,381.7650146484375,1.8143000568886993,103.27842636779928
62,211.65789794921875,385.6700134277344,1.8221385413185236,102.24056145492847
63,212.19000244140625,387.1000061035156,1.8243084106208476,102.04299068788305
64,211.83999633789062,386.0585021972656,1.8224061030547398,102.2738357921549
65,211.6999969482422,384.32000732421875,1.8153992105072152,103.68807421267104
66,212.07000732421875,389.3900146484375,1.8361390163632465,99.47505813830708
67,213.27000427246094,389.7900085449219,1.8276832219075196,101.85441031227208
68,216.1280975341797,398.17999267578125,1.8423333070463495,100.08413491281573
69,215.22999572753906,394.776611328125,1.83420814554062,101.40739786449893
70,214.72500610351562,394.1600036621094,1.8356502151970642,100.85438511672663
71,216.0399932861328,394.3158874511719,1.825198572974045,103.74417945547282
72,216.19000244140625,394.3900146484375,1.8242749904928126,104.01749260532756
73,215.52999877929688,395.1000061035156,1.8331555158968789,101.77884844204635
74,215.86000061035156,395.4599914550781,1.83202070942695,102.18318944458542
75,221.02999877929688,397.3999938964844,1.7979459624994012,112.21756253483142
76,221.4149932861328,395.20001220703125,1.7848836988934957,115.30924063341826
77,223.0800018310547,398.17999267578125,1.784920160514142,116.1856324357579
78,220.35000610351562,396.0050048828125,1.7971635757376743,112.03760173372632
79,219.42999267578125,392.7200012207031,1.7897279967600714,113.19173688914498
80,219.1750030517578,392.7699890136719,1.7920382504610706,112.55116058628624
