,ibm,nvda,Ratio,Spread
0,136.69509887695312,235.22999572753906,1.7208370867728233,-53.143129568403786
1,135.66000366210938,236.49009704589844,1.7432558651179773,-55.79220694711537
2,135.25999450683594,237.88929748535156,1.7587557825409257,-57.72817263543538
3,133.80999755859375,229.19000244140625,1.7128017832975952,-50.97460298931852
4,134.11000061035156,227.75999450683594,1.6983073109408053,-49.1420262369732
5,133.2899932861328,226.19900512695312,1.6970441632581759,-48.68139026064201
6,133.49000549316406,222.99000549316406,1.6704621793171117,-45.20399776466919
7,133.56500244140625,221.47000122070312,1.658143953674242,-43.58335640663966
8,132.2050018310547,217.0,1.6413902423851194,-40.93831608108268
9,132.39999389648438,219.77499389648438,1.659932054591432,-43.451653555088704
10,133.02000427246094,218.97079467773438,1.6461493583267595,-41.81547331947021
11,132.50999450683594,219.3000030517578,1.6549695279056444,-42.82905482636132
12,133.4720001220703,215.96609497070312,1.6180629253565217,-38.20424833294498
13,133.2899932861328,223.22999572753906,1.6747693523273919,-45.71238086122795
14,133.47999572753906,222.22000122070312,1.6648187618637718,-44.447425420617826
15,133.6699981689453,221.99000549316406,1.6607317164214457,-43.96246875930458
16,132.67779541015625,216.9600067138672,1.6352397629397095,-40.26388940810491
17,133.75360107421875,222.9499969482422,1.6668709863335127,-44.81027494646198
18,134.5,228.44000244140625,1.6984386798617566,-49.2987008510862
19,132.8730926513672,236.8000030517578,1.7821516631141743,-59.841819813504706
20,132.6199951171875,237.41000366210938,1.790152408408143,-60.79144755271209
21,133.39999389648438,238.82000732421875,1.790255009378322,-61.15478457390682
22,133.42999267578125,238.77000427246094,1.789477758967155,-61.06452668792158
23,133.22000122070312,241.55360412597656,1.813193228588845,-64.12991038102926
24,132.6300048828125,240.49009704589844,1.813240505105821,-63.85810900809158
25,133.55999755859375,245.0500030517578,1.8347559713323038,-67.17007420189914
26,133.00250244140625,242.3699951171875,1.8222965032102512,-65.23815915813942
27,133.5449981689453,243.77499389648438,1.8254146335611097,-65.91519246373942
28,133.7449951171875,243.143798828125,1.8179655890306936,-65.01562500869692
29,134.0500030517578,243.89950561523438,1.8194666174014391,-65.36204701382651
30,134.74000549316406,241.06640625,1.7891227283809954,-61.60304551035983
31,135.75,244.30999755859375,1.7997053227152393,-63.491342957128374
32,135.5,246.39999389648438,1.8184501394574493,-65.91680989724806
33,135.34230041503906,253.5500030517578,1.8733980601351126,-73.27843335147396
34,136.36000061035156,248.25,1.8205485398124477,-66.61279631007567
35,136.25999450683594,247.82000732421875,1.8187290277028891,-66.3170000653863
36,136.3249969482422,249.8249969482422,1.8325692465857304,-68.23476405675008
37,136.42999267578125,249.45989990234375,1.8284828358466028,-67.72877509105562
38,137.18899536132812,251.36000061035156,1.8322169350997874,-68.61038344700789
39,137.24000549316406,252.4499969482422,1.839478190350384,-69.63193018631135
40,136.5399932861328,250.22500610351562,1.8326132884681254,-68.34627340822668
41,137.32000732421875,246.22000122070312,1.79303807229901,-63.29458140899893
42,137.07000732421875,243.1199951171875,1.773692143622078,-60.53004590771237
43,137.5399932861328,244.82000732421875,1.7799914154052983,-61.59939222001355
44,138.5699005126953,243.7176971435547,1.7588068999243172,-59.11506764920954
45,138.1300048828125,243.52000427246094,1.7629768744239154,-59.507662985614665
46,137.7899932861328,239.47000122070312,1.7379346316058162,-55.91391551426886
47,137.25,242.54989624023438,1.767212358763092,-59.718418025394605
48,136.50999450683594,240.00599670410156,1.7581569581858192,-58.16751884304005
49,137.5800018310547,240.6699981689453,1.7493094560682079,-57.39569630210311
50,137.52000427246094,243.47300720214844,1.7704552038826915,-60.27921500376112
51,137.75999450683594,243.48500061035156,1.7674579727009885,-59.96916973814475
52,137.75,245.3199005126953,1.7809067187854468,-61.81748109339744
53,137.1199951171875,243.1300048828125,1.7731185351561978,-60.472977933292064
54,136.83999633789062,246.75,1.8032008667313564,-64.46869848693605
55,137.30999755859375,246.79989624023438,1.7973920372033976,-63.887908356939754
56,137.3000030517578,246.69000244140625,1.7967224833084077,-63.79142601102057
57,137.41000366210938,250.0449981689453,1.8197001055600357,-66.9988138545588
58,137.8000030517578,249.4199981689453,1.8100144604152362,-65.8504805341015
59,137.61000061035156,248.9615936279297,1.8091824178743723,-65.64703692686005
60,137.24000549316406,247.3300018310547,1.8021713198151557,-64.51193506912385
61,136.74159240722656,241.9698944091797,1.7695412942725974,-59.820639399642054
62,136.64999389648438,248.02000427246094,1.8150019418247614,-65.99366369317117
63,136.82000732421875,248.9499969482422,1.8195438066182235,-66.69551834099612
64,136.80999755859375,248.77999877929688,1.8184343485040118,-66.53895210046035
65,136.91000366210938,246.41000366210938,1.799795464692583,-64.034760552181
66,136.64999389648438,250.02999877929688,1.82971101315014,-68.00365820000711
67,137.02000427246094,251.0800018310547,1.8324331776533025,-68.55715083712549
68,137.5,256.3500061035156,1.864363680752841,-73.18305728644681
69,137.27499389648438,263.0299987792969,1.91608093588874,-80.16498169443445
70,137.36000061035156,264.25,1.9237769279689847,-81.27091390115943
71,137.5399932861328,264.8800048828125,1.9258398852162695,-81.65938977860729
72,137.8800048828125,265.2618103027344,1.9238598847467892,-81.58493961811716
73,137.67999267578125,265.8699951171875,1.9310721183961514,-82.46151729475405
74,137.80999755859375,267.0799865722656,1.938030558767764,-83.49705748451287
75,136.2100067138672,265.5299987792969,1.9494162373627133,-84.09406926050976
76,135.66000366210938,264.87811279296875,1.9525144157647605,-84.18022269418567
77,135.08999633789062,267.67999267578125,1.9814938184338466,-87.74698537832076
