,wfc,spgi,Ratio,Spread
0,47.974998474121094,469.5899963378906,9.78822326781728,-95.59077054233279
1,48.5,471.4949951171875,9.72154629107603,-93.31588277350409
2,48.28499984741211,470.7900085449219,9.750233199392966,-94.32265550354259
3,48.21500015258789,470.4049987792969,9.756403552641041,-94.49495989482182
4,48.32500076293945,471.0150146484375,9.74681856621221,-94.22918769701471
5,48.220001220703125,470.0150146484375,9.74730408025452,-94.0651589323711
6,47.9900016784668,467.3800048828125,9.739112076183293,-93.26132859248054
7,46.766998291015625,455.54998779296875,9.740842996983284,-91.16845540704946
8,46.380001068115234,458.1000061035156,9.877102103355593,-96.7996161646688
9,46.494998931884766,459.8599853515625,9.890525775153968,-97.64402088552026
10,46.47999954223633,459.6549987792969,9.889307300048676,-97.55845443668505
11,46.779998779296875,459.57000732421875,9.824070528355971,-95.08496939896816
12,46.7400016784668,460.25,9.847025748226235,-96.0834056134492
13,46.86000061035156,460.5299987792969,9.82778473710826,-95.40801303395932
14,47.580101013183594,466.2900085449219,9.800105477197732,-95.4348242492402
15,47.775001525878906,465.75,9.748822294599218,-93.34308301197217
16,47.994998931884766,469.2699890136719,9.777476809191453,-95.11152626309229
17,47.970001220703125,469.1199951171875,9.779445136113994,-95.16055578187729
18,47.874698638916016,469.0400085449219,9.797242006316303,-95.83933648928138
19,47.810001373291016,470.05999755859375,9.831834010805782,-97.3744234921138
20,47.810001373291016,470.6099853515625,9.843337624634916,-97.92441128508256
21,48.119998931884766,470.93499755859375,9.78667930199283,-95.78132661763607
22,47.970001220703125,472.67999267578125,9.853658133153846,-98.72055334047104
23,47.95000076293945,471.80999755859375,9.839624401492307,-98.0097951783053
24,47.94499969482422,472.1549987792969,9.847846527992932,-98.39461323059976
25,47.790000915527344,471.2300109863281,9.86043109350981,-98.70367387486993
26,47.944400787353516,472.2699890136719,9.850367952418845,-98.51437176593578
27,48.029998779296875,473.260009765625,9.85342539649661,-98.8228899365933
28,48.290000915527344,475.8623962402344,9.85426355805315,-99.3552263672637
29,48.40999984741211,476.9700012207031,9.852716437184638,-99.50743998894569
30,48.41080093383789,475.30999755859375,9.818263453401459,-97.84105834465925
31,48.439998626708984,474.7300109863281,9.800372098370996,-97.02860950770992
32,48.47999954223633,475.3900146484375,9.805899734678675,-97.37013925977584
33,48.480098724365234,475.239990234375,9.80278511676231,-97.21932519077711
34,48.36000061035156,473.5,9.79114958693045,-96.4355159701251
35,48.70500183105469,475.4599914550781,9.76203620942934,-95.64872310092966
36,48.680198669433594,474.32000732421875,9.743592267260926,-94.70621344681092
37,48.68989944458008,475.04998779296875,9.756643435538026,-95.35895958853052
38,48.654998779296875,475.82000732421875,9.779468076498736,-96.40684654329647
39,48.720001220703125,476.32000732421875,9.776682992401298,-96.38931884663987
40,48.540000915527344,476.67498779296875,9.820250902395149,-98.17740153924183
41,48.779998779296875,478.30999755859375,9.805453249859392,-97.90162858729337
42,48.959999084472656,479.7900085449219,9.799632710718006,-97.94853734976948
43,48.65999984741211,479.7300109863281,9.858816532894865,-100.27703337381445
44,48.46500015258789,478.3900146484375,9.87083489409404,-100.4895593832062
45,48.689998626708984,477.0,9.796673104409184,-97.3081821406256
46,48.60499954223633,477.44000244140625,9.822857873427708,-98.42491886236644
47,48.564998626708984,476.5,9.811592988246113,-97.8033903310037
48,48.43000030517578,475.0,9.807970204560087,-97.37820181322081
49,48.57500076293945,475.4200134277344,9.787339288946724,-96.64377009555534
50,48.49700164794922,474.5299987792969,9.784728594646287,-96.37475831176204
51,48.45000076293945,473.6499938964844,9.77605751161908,-95.86895875468349
52,48.505001068115234,472.989990234375,9.751365422508876,-94.77106105910025
53,48.4900016784668,474.239990234375,9.780160317976916,-96.1404811825306
54,48.540000915527344,475.8399963378906,9.803048771383013,-97.3424100841637
55,48.45000076293945,474.54998779296875,9.794633236744202,-96.76895265116787
56,48.369998931884766,474.6499938964844,9.812900648703598,-97.50590657477045
57,48.31999969482422,474.1499938964844,9.812706889302254,-97.40398377665292
58,48.130001068115234,473.239990234375,9.832536458177707,-98.00668563023459
59,48.220001220703125,471.7099914550781,9.78245498783917,-95.76013573901173
60,48.34000015258789,472.614990234375,9.776892609485717,-95.70974315952185
61,48.20500183105469,471.67999267578125,9.784876563824026,-95.84955708314521
62,48.099998474121094,470.80499267578125,9.788045896281789,-95.81055868984527
63,48.029998779296875,470.8999938964844,9.80428910815346,-96.46287406745267
64,48.064998626708984,469.8699951171875,9.775720556373592,-95.15421820970369
65,47.9900016784668,470.2300109863281,9.79849957365851,-96.11133469599616
66,48.13460159301758,472.9800109863281,9.826195612574443,-97.71007854168488
67,48.16999816894531,472.0899963378906,9.80049853193148,-96.53824819505041
68,48.11000061035156,473.19000244140625,9.835585043405562,-98.11593479228759
69,47.970001220703125,471.92999267578125,9.838023361819374,-97.97055334047104
70,50.369998931884766,462.57000732421875,9.18344286545948,-69.50258895645499
71,50.25,458.7749938964844,9.129850624805659,-66.66296688750737
72,50.665000915527344,460.9599914550781,9.098193686478497,-65.54386596492327
73,50.72309875488281,462.0,9.108276334468346,-66.12131894528648
74,50.560001373291016,462.0,9.137657979654596,-67.41984574520154
75,50.599998474121094,461.8500061035156,9.127470751599422,-66.95140831001737
76,50.72999954223633,461.0899963378906,9.089099162202839,-65.15637352242288
77,52.63999938964844,461.760009765625,8.772036761391552,-50.61960701603345
78,52.69499969482422,462.0,8.767435291310541,-50.42170321693458
79,53.130001068115234,459.57501220703125,8.650009466738648,-44.53337998776623
