,mrk,tmo,Ratio,Spread
0,76.1500015258789,647.510009765625,8.503085972303946,-171.0765437471119
1,76.26499938964844,650.3800048828125,8.527896283850092,-173.21747925408002
2,76.28500366210938,649.4299926757812,8.513206547807403,-172.14064462961394
3,76.0199966430664,646.6981201171875,8.506947496375235,-171.08885470626004
4,76.0199966430664,646.219970703125,8.500657711645204,-170.61070529219754
5,75.92500305175781,649.0,8.547908777265098,-173.99297178185705
6,76.16000366210938,651.35498046875,8.552454689452803,-174.8581032415195
7,75.7332992553711,652.1538696289062,8.611190533636428,-178.36219872689034
8,75.95999908447266,652.760009765625,8.593470479636416,-177.5311148698415
9,75.86000061035156,650.7100219726562,8.577775069037672,-176.11509405830614
10,75.86499786376953,651.22998046875,8.584063781800417,-176.6033711343313
11,75.83999633789062,651.0399780273438,8.58438831044716,-176.57187253042846
12,75.96410369873047,652.7546997070312,8.592936241251804,-177.4997825150693
13,75.74500274658203,650.5499877929688,8.588685249236784,-176.68411948883798
14,76.26000213623047,657.1099853515625,8.61670557230912,-179.9791411428986
15,76.02999877929688,657.780029296875,8.651585424936108,-182.10735267723012
16,76.0479965209961,659.3150024414062,8.669722183402635,-183.5282243409342
17,76.25,659.5399780273438,8.649704629866804,-182.47254502739727
18,76.34500122070312,659.4099731445312,8.637238360089428,-181.74025458321998
19,76.41999816894531,659.7999877929688,8.63386552737567,-181.6548060877275
20,76.56999969482422,662.260009765625,8.649079435877166,-183.16385340394353
21,76.45999908447266,657.5050048828125,8.599333151395987,-179.10622671128183
22,76.48770141601562,659.5499877929688,8.622954744131803,-180.9755833065236
23,76.3499984741211,656.5349731445312,8.599017501841397,-178.83357316315139
24,76.35649871826172,654.8599853515625,8.576349051412747,-177.11737533980337
25,76.55500030517578,654.7100219726562,8.55215230047347,-175.7089582397608
26,76.63999938964844,654.0399780273438,8.533924624687343,-174.5000399418009
27,76.83000183105469,655.4500122070312,8.531172674554048,-174.70550299875882
28,76.70339965820312,657.9450073242188,8.577781561913522,-178.00312633673715
29,76.72000122070312,659.27001953125,8.59319615538984,-179.22288851312837
30,76.80699920654297,660.9600219726562,8.60546602263757,-180.3613440338598
31,76.86000061035156,660.1900024414062,8.589513364543109,-179.2553079755618
32,77.1449966430664,661.9359741210938,8.580413544947465,-179.1944713397352
33,77.0199966430664,664.6799926757812,8.629966523578366,-182.73096071335945
34,76.94999694824219,662.7999877929688,8.613385498101822,-181.29473755440839
35,77.1500015258789,664.1099853515625,8.60803593281584,-181.33675278155508
36,77.04000091552734,664.5900268554688,8.626557878473768,-182.51417247561213
37,77.19000244140625,664.1699829101562,8.604352401910047,-181.14315387385946
38,77.21499633789062,664.0700073242188,8.600272470625619,-180.88472281899877
39,77.13999938964844,666.510009765625,8.640264649199171,-183.800188404335
40,77.33499908447266,666.8099975585938,8.622357347289038,-182.8639236545056
41,77.13999938964844,665.8800048828125,8.632097616689483,-183.1701835215225
42,77.37670135498047,668.0,8.633089654926252,-183.78954343622505
43,77.31500244140625,667.3699951171875,8.631830486236598,-183.5506952619539
44,77.09230041503906,669.47998046875,8.684135469618814,-187.07255947122908
45,77.11499786376953,671.0900268554688,8.702457958191331,-188.53870933168216
46,77.125,670.8049926757812,8.697633616541735,-188.19026394327724
47,76.95999908447266,671.7150268554688,8.728105962139923,-190.14636540819097
48,76.63999938964844,667.3200073242188,8.70720267012883,-187.7800692386759
49,76.2699966430664,648.2899780273438,8.499934529448794,-171.09577097854267
50,76.32499694824219,642.52001953125,8.41821218763963,-164.97712338737355
51,76.37999725341797,642.3779907226562,8.410290832969494,-164.48640548370443
52,76.38059997558594,640.3250122070312,8.383346195391274,-162.42960585023908
53,76.39230346679688,641.75,8.400715397709273,-163.78039624109303
54,76.6449966430664,643.0700073242188,8.39024118324354,-163.4983878186073
55,76.88999938964844,644.969970703125,8.388216618843622,-163.8450909797086
56,76.19999694824219,618.9199829101562,8.12230981230287,-142.1695575852166
57,76.93840026855469,619.1500244140625,8.047347257714089,-137.7182944174933
58,77.02999877929688,620.2857055664062,8.052521295549061,-138.27326239526704
59,76.71499633789062,614.4000244140625,8.008864677617167,-134.38462318458969
60,76.8499984741211,614.8250122070312,8.00032562673467,-133.95372894990422
61,77.0999984741211,620.9199829101562,8.053437032408898,-138.46375801515566
62,77.0199966430664,617.9199829101562,8.022851335267923,-135.97095094773445
63,78.1500015258789,620.739990234375,7.942929982270322,-131.6269911128733
64,79.08999633789062,624.27001953125,7.893160303917895,-129.1976727419782
65,79.57499694824219,626.7750244140625,7.876532182863099,-128.62788697782955
66,79.44000244140625,627.9299926757812,7.904455858230027,-130.63868889862223
67,79.38999938964844,625.469970703125,7.878447858820355,-128.49567460097282
68,79.375,621.2999877929688,7.8274014210137794,-124.42078431960257
69,78.88999938964844,618.4199829101562,7.839016195902041,-124.61557008375124
70,78.12000274658203,619.2100219726562,7.9263952918863465,-130.2872081087265
71,79.13999938964844,623.1699829101562,7.874273284258671,-127.78062844587762
72,79.31700134277344,621.469970703125,7.8352681037121314,-124.95846517687536
73,79.49500274658203,622.4550170898438,7.8301150460254165,-124.81502421760936
74,79.25,624.760009765625,7.883407063288644,-128.67327711119563
75,79.13999938964844,624.9600219726562,7.896891923079815,-129.57066750837762
76,78.83000183105469,620.5700073242188,7.8722566650981385,-127.1459650129577
77,79.30500030517578,611.47998046875,7.710484561070511,-115.0445587192452
78,79.76000213623047,610.4149780273438,7.653146460361824,-111.0949508884498
79,80.23500061035156,610.5599975585938,7.609646574612501,-108.22859098145605
