,nke,low,Ratio,Spread
243,115.66000366210938,194.4499969482422,1.6812207400261798,10.77966628967738
244,115.9000015258789,193.9199981689453,1.6731664850379282,11.73552257545623
245,112.44999694824219,189.39999389648438,1.6843041266035808,10.133762580070936
246,111.86000061035156,183.39999389648438,1.6395493732860973,15.086860056268165
247,110.69000244140625,182.3000030517578,1.6469419010832376,14.110780326908355
248,110.25,182.74000549316406,1.6575057187588578,12.890027842146793
249,110.0,181.7100067138672,1.6519091519442473,13.476421103676529
250,109.15499877929688,181.08999633789062,1.6590169791860916,12.597042663557573
251,109.44999694824219,183.80999755859375,1.6793970094445563,10.400492704755834
252,108.01499938964844,188.30999755859375,1.743368963779676,3.354201364857545
253,107.6500015258789,188.27999877929688,1.7490013572738745,2.736539878788875
254,108.29000091552734,188.5424041748047,1.7410878435755024,3.6097635257436878
255,107.16000366210938,188.52999877929688,1.7593317687236982,1.6170768545397607
256,107.69999694824219,190.17999267578125,1.7658309941009265,0.9252589631983028
257,107.16000366210938,190.25,1.7753825447774816,-0.10292436616336431
258,106.44000244140625,187.8300018310547,1.7646561210335607,1.0394877455700282
259,109.04000091552734,183.3300018310547,1.6813096138276757,10.152982422795105
260,107.51000213623047,181.22999572753906,1.6857035822387472,9.53812492361837
261,106.08999633789062,181.13999938964844,1.7074182829899232,7.108431631889431
262,105.12999725341797,179.41000366210938,1.7065538699638503,7.13498379573457
263,105.80999755859375,180.83999633789062,1.7091012239911259,6.911598669790607
264,106.91000366210938,183.28500366210938,1.7143859076217443,6.4184664539601215
265,108.0,184.64999389648438,1.7097221657081887,6.987589778922171
266,106.31999969482422,183.22999572753906,1.7233822070492248,5.42655832696164
267,107.36000061035156,184.52000427246094,1.7187034577444822,5.981950360483012
268,107.75,184.55999755859375,1.7128538056482019,6.633980599045657
269,107.43000030517578,184.9499969482422,1.7215861158229153,5.676166688165921
270,107.98030090332031,185.82080078125,1.7208768564890724,5.781828382228014
271,108.08000183105469,185.77999877929688,1.7189118766827833,5.999541910859023
272,108.61000061035156,186.3000030517578,1.7153116840513272,6.419979170021861
273,105.31999969482422,183.52499389648438,1.742546471973674,3.3571380869477423
274,105.9749984741211,183.9250030517578,1.7355508912479198,4.11937322218165
275,107.06999969482422,183.85000610351562,1.7171010238865534,6.137364504286495
276,106.44000244140625,183.39999389648438,1.7230363555980144,5.469495680140341
277,107.0999984741211,183.24000549316406,1.7109244454138897,6.800595610727555
278,107.13999938964844,184.48500061035156,1.7219059329971955,5.626579000914717
279,107.36000061035156,184.8699951171875,1.7219634320620756,5.631959515756449
280,107.1050033569336,188.50999450683594,1.7600484440359478,1.5394873715812878
281,107.06999969482422,186.47999572753906,1.7416642968063214,3.5073748802630575
282,107.1500015258789,186.1199951171875,1.7370041294141814,4.009332505363972
283,107.54000091552734,187.03500366210938,1.7392133352223547,3.7863474851375543
284,107.96160125732422,187.54530334472656,1.7371482190016454,4.024144754174813
285,108.69999694824219,189.3000030517578,1.741490417353862,3.5796706582903255
286,108.19999694824219,188.6199951171875,1.743253238790889,3.3724675573263596
287,110.9000015258789,194.08999633789062,1.7501351998863501,2.69341405116802
288,111.83999633789062,195.22500610351562,1.7455741460658,3.2263518266665585
289,112.77999877929688,196.27000427246094,1.740290888427376,3.8493147366108644
290,113.2300033569336,196.25180053710938,1.7332137659527145,4.666016526602903
291,113.16000366210938,196.21670532226562,1.7339757774147815,4.576902737982493
292,112.51000213623047,195.6300048828125,1.73877878560466,4.010226123687829
293,112.93000030517578,195.58999633789062,1.7319578128870898,4.795488689394659
294,114.43000030517578,196.40499877929688,1.7163768090142466,6.642119354591273
295,114.625,197.52000427246094,1.723184333892789,5.873125623774939
296,115.22000122070312,198.64999389648438,1.7240929681641963,5.7989192980798805
297,115.06999969482422,198.125,1.7217780527109148,6.057747176350773
298,114.98999786376953,198.24000549316406,1.7239760777108817,5.800784668437359
299,115.51499938964844,198.9199981689453,1.7220274355710292,6.052366287520329
300,115.9800033569336,199.63999938964844,1.7213312089261414,6.157478369502428
301,116.95999908447266,196.25,1.6779240897416672,11.286403807649094
302,117.38999938964844,195.6699981689453,1.6668370319984829,12.629407670773901
303,118.28500366210938,196.1699981689453,1.6584519769667563,13.717523005529273
304,118.25,195.9199981689453,1.6568287371580999,13.905411734914168
