,dis,meta,Ratio,Spread
0,153.17999267578125,210.69000244140625,1.3754407397534607,16.473298854535166
1,152.72999572753906,208.6199951171875,1.3659399001709707,17.871583237134537
2,152.91000366210938,207.69000244140625,1.358249934388506,19.070278755894442
3,152.4600067138672,207.83999633789062,1.3632427337351434,18.24856191779069
4,151.1800994873047,207.11500549316406,1.3699885513738301,17.0629997008023
5,150.75999450683594,207.07130432128906,1.3735162633738343,16.47959850149065
6,150.52000427246094,206.610107421875,1.3726421841437344,16.582555313224084
7,151.69000244140625,208.19000244140625,1.3724701634296856,16.749149052790536
8,150.9871063232422,205.79739379882812,1.3630130334324364,18.092525139480507
9,151.35000610351562,206.17999267578125,1.3622727741072223,18.251636842722498
10,150.6999969482422,206.52999877929688,1.3704711543572856,16.9313440215627
11,149.3300018310547,202.3699951171875,1.355186450383493,19.046317925767745
12,149.59730529785156,202.1300048828125,1.351160734348571,19.685319468382183
13,149.02999877929688,201.63999938964844,1.3530161782277361,19.328490766487825
14,148.38999938964844,202.02499389648438,1.3614461535645608,17.988151397139838
15,149.0399932861328,203.6416015625,1.3663554128826407,17.34180767155022
16,148.08999633789062,202.08999633789062,1.3646431314427918,17.475326068914605
17,148.0092010498047,202.44500732421875,1.3677866368327776,16.99970971227436
18,147.22000122070312,201.1405029296875,1.3662579898240192,17.12615360483901
19,148.27000427246094,203.67950439453125,1.3737067412519246,16.154520855252663
20,147.0626983642578,200.6199951171875,1.3641800221853286,17.411851075025943
21,146.98910522460938,200.73989868164062,1.3656787581290217,17.18209298724603
22,146.38499450683594,200.19500732421875,1.3675924093085237,16.82521149933701
23,145.94000244140625,198.4499969482422,1.3598053558202337,17.905969861260253
24,143.4499969482422,194.82000732421875,1.3581039488938522,17.819059135069672
25,145.1699981689453,197.63999938964844,1.3614383266688466,17.566560658369504
26,144.875,198.4499969482422,1.3698015319982204,16.31621114052283
27,145.41000366210938,199.75999450683594,1.3737706449070737,15.804828406080823
28,147.0,202.5198974609375,1.3776863772852892,15.418357141736301
29,148.0800018310547,205.92999267578125,1.3906671402579258,13.62041065311002
30,149.39999389648438,207.52999877929688,1.3890897406802396,13.990793363492493
31,148.0,209.25999450683594,1.4139188818029456,10.17098786708906
32,149.39999389648438,210.66000366210938,1.410040242759786,10.860788480679993
33,149.99000549316406,208.77999877929688,1.3919594048472264,13.621520059216529
34,149.50999450683594,207.14999389648438,1.3855260618514236,14.534999212231362
35,148.97999572753906,209.08999633789062,1.4034769924432222,11.803852874239432
36,148.69000244140625,209.50999450683594,1.4090388799973073,10.950973673607287
37,149.52000427246094,210.52000427246094,1.4079721659774938,11.17993069138695
38,147.35000610351562,210.05999755859375,1.4255852654055772,8.40072087490524
39,149.35000610351562,212.24000549316406,1.421091374754005,9.20616848283732
40,147.83999633789062,209.57000732421875,1.4175460803262143,9.622133139773673
41,147.66000366210938,208.80999755859375,1.414126997019545,10.11346283963821
42,146.83999633789062,207.2899932861328,1.4116725582663587,10.409419406608414
43,147.89999389648438,208.13980102539062,1.407300943981568,11.141899460521962
44,148.4600067138672,211.17999267578125,1.4224705855146347,8.937654494895277
45,146.49000549316406,210.32000732421875,1.4357293974846175,6.856964314915479
46,146.1300048828125,208.02000427246094,1.4235269781813837,8.619584457934145
47,145.25,206.5,1.4216867469879517,8.825981002984214
48,143.91000366210938,205.17030334472656,1.4256847899639562,8.155427911313417
49,145.47000122070312,205.63720703125,1.4136055908823622,10.017175903586924
50,145.55999755859375,203.91000366210938,1.4008656710785352,11.87871930560781
51,145.64999389648438,203.49000549316406,1.3971164711327584,12.433057507433354
52,146.9600067138672,204.1999969482422,1.3894936555482194,13.678558565557559
53,147.63999938964844,205.05999755859375,1.3889189813487037,13.833601906592072
54,147.66000366210938,206.19000244140625,1.3963835658113024,12.73345795682571
55,148.1300048828125,207.07000732421875,1.3978937453491238,12.555036948678726
56,147.80340576171875,207.18800354003906,1.4017809838161455,11.949517154735538
57,147.6199951171875,208.17999267578125,1.4102425115955224,10.683745856358463
58,147.32000732421875,208.0850067138672,1.4124694295997293,10.330931708671734
59,146.10000610351562,205.85000610351562,1.4089664442427579,10.74480261591939
60,145.2899932861328,205.9199981689453,1.4173033772767014,9.465681922912957
61,145.05999755859375,204.16000366210938,1.4074176692278206,10.882355419982197
62,146.33999633789062,205.52999877929688,1.4044690714952592,11.423050027818768
63,146.19830322265625,204.32000732421875,1.397553889616931,12.42153223479145
64,145.57000732421875,203.10000610351562,1.3952050277167602,12.70365871933371
65,145.60000610351562,202.97999572753906,1.394093318809538,12.86844910627034
66,140.67999267578125,201.6697998046875,1.4335357570672234,6.834404350614029
67,140.2100067138672,200.5,1.4299977918777886,7.302643057854204
68,140.5399932861328,200.8000030517578,1.4287748160264848,7.495220126657279
69,140.99440002441406,199.94000244140625,1.4180705219979333,9.033526294684954
70,140.25999450683594,199.77999877929688,1.424354816793894,8.097262445345343
71,140.57000732421875,200.24000549316406,1.4244859860561792,8.100020473429318
72,140.6999969482422,200.11000061035156,1.4222459484769137,8.424064477996104
73,136.6573028564453,192.33999633789062,1.4074622601028386,10.159427008958723
74,136.52999877929688,192.61000061035156,1.4107522327141377,9.699392405144813
75,134.9499969482422,189.6699981689453,1.4054835306272002,10.28088223470801
76,134.47000122070312,189.38999938964844,1.4084182172260573,9.84437806142541
77,134.85499572753906,190.83999633789062,1.415149622810145,8.969073105316376
78,134.4949951171875,189.1999969482422,1.4067437735016786,10.071689586225666
79,133.49000549316406,187.52999877929688,1.4048242644570132,10.241511833571884
