,tjx,tsla,Ratio,Spread
0,70.12000274658203,318.5,4.542213170628051,-52.97024396923981
1,70.25,319.6066589355469,4.5495609812889235,-53.57750855274511
2,70.36000061035156,323.36334228515625,4.595840527005086,-56.911616177972995
3,68.98999786376953,312.9765319824219,4.536549379236655,-51.78777579141657
4,69.11000061035156,312.7900085449219,4.525973170054798,-51.14025266125494
5,70.12999725341797,290.4366760253906,4.141404354771103,-24.86852533525049
6,70.4000015258789,288.5199890136719,4.098295209661501,-21.914596342268077
7,70.05999755859375,286.9100036621094,4.095204305740319,-21.610762132130183
8,69.36000061035156,284.9366760253906,4.108083528229749,-22.326526097020427
9,69.4749984741211,283.9933166503906,4.087705259269289,-20.941393667949022
10,69.63999938964844,278.9333190917969,4.005360734297459,-15.247532522783068
11,69.62000274658203,276.4433288574219,3.9707457332870293,-12.834360916068213
12,69.08000183105469,274.7266540527344,3.9769346666292633,-13.192140765007785
13,70.5250015258789,283.07000732421875,4.013754004958755,-15.984417630463348
14,70.47000122070312,280.3333435058594,3.9780522016438007,-13.459041674294689
15,70.58499908447266,278.1233215332031,3.9402610347895424,-10.807246647567034
16,69.79499816894531,272.7566833496094,3.907968916187609,-8.47545716230362
17,70.73999786376953,276.1877746582031,3.9042660870598715,-8.276260154275029
18,71.4000015258789,282.10333251953125,3.9510269816630603,-11.656363669314452
19,71.25360107421875,300.8500061035156,4.22224282798207,-30.965445740963922
20,71.33000183105469,305.8299865722656,4.287536502475141,-35.651926882209715
21,71.63999938964844,305.3333435058594,4.262051174025809,-33.96440457921951
22,71.83000183105469,307.32666015625,4.278527806237388,-35.22781237678756
23,71.8499984741211,311.6485595703125,4.337488743059082,-39.47289316318997
24,71.44010162353516,308.3216857910156,4.315806931739336,-37.72066936087449
25,71.9800033569336,312.27667236328125,4.338380908580503,-39.601582295216836
26,72.0999984741211,308.0,4.271844750600802,-34.86393954817421
27,72.31999969482422,312.0199890136719,4.314435707001288,-38.038777113083164
28,72.45999908447266,309.96722412109375,4.277770190967559,-35.448193900183206
29,72.36000061035156,311.11663818359375,4.29956655001861,-36.981759718784495
30,72.26000213623047,307.0179748535156,4.248795540784793,-33.2672481448076
31,72.56529998779297,310.4566650390625,4.278307470530514,-35.53311337634917
32,72.79000091552734,310.3166809082031,4.263177318383676,-34.52992351414823
33,71.67500305175781,305.2099914550781,4.258248740285096,-33.70658329390769
34,71.69000244140625,300.413330078125,4.190449432940934,-28.852300618984394
35,71.58499908447266,300.7833251953125,4.201764741805448,-29.625674130863352
36,71.7300033569336,302.1333312988281,4.212091414458622,-30.418635275466976
37,71.7300033569336,300.92999267578125,4.195315469014162,-29.2152966524201
38,72.01000213623047,301.6666564941406,4.189232711359173,-28.876323830135867
39,72.04000091552734,301.8833312988281,4.190495939232572,-28.977756038883022
40,70.76000213623047,308.5733337402344,4.36084404217731,-40.58497129974588
41,71.05500030517578,309.3966369628906,4.354326023982208,-40.27501658378835
42,70.80999755859375,304.40753173828125,4.2989343628544905,-36.227108074192266
43,70.82499694824219,304.88665771484375,4.304788857776446,-36.648612752784594
44,70.69000244140625,301.13665771484375,4.2599610597616095,-33.417204434516144
45,70.20500183105469,300.2900390625,4.277331119300232,-34.43375257360875
46,69.80000305175781,297.2011413574219,4.257895821824571,-32.90068853152584
47,68.87999725341797,302.4033508300781,4.390292724860297,-41.63717036345431
48,68.30500030517578,300.3466491699219,4.397140001874258,-41.78936328255539
49,68.44999694824219,302.3733825683594,4.417434566096418,-43.25908103098114
50,68.98999786376953,308.6250305175781,4.473474997448206,-47.43627432657282
51,69.0999984741211,308.7283935546875,4.467849498872429,-47.117061639300765
52,69.6500015258789,310.2366638183594,4.454223359967751,-46.51245328106537
53,69.16999816894531,307.6166687011719,4.447255701089205,-45.73642762562425
54,69.12999725341797,309.1666564941406,4.472250380117795,-47.440081982813545
55,68.91999816894531,306.3299865722656,4.444718437475162,-45.41013954142121
56,69.01000213623047,303.6666564941406,4.4003281711929505,-42.40105236657492
57,69.4800033569336,306.3733215332031,4.409517943735524,-43.30217191217124
58,69.5999984741211,306.3833312988281,4.402059454250543,-42.85121129403486
59,69.51000213623047,305.4099426269531,4.393755333633709,-42.223550409980895
60,69.3499984741211,302.4433288574219,4.361115147973403,-39.871602897331876
61,69.56999969482422,300.6460266113281,4.321489549089293,-37.229149202475206
62,70.16000366210938,305.2133483886719,4.350247041869888,-39.52992579369114
63,70.37999725341797,306.34002685546875,4.352657556271665,-39.811482120625406
64,70.13999938964844,307.5716857910156,4.385111041737597,-41.96511113259529
65,69.94000244140625,305.3000183105469,4.365170255267271,-40.46174716432906
66,70.43000030517578,307.1300048828125,4.3607838073549186,-40.40936961546836
67,70.43000030517578,307.22332763671875,4.362108850000125,-40.50269236937461
68,71.68099975585938,309.2102355957031,4.313698701871517,-37.683790638904746
69,71.8499984741211,310.7815246582031,4.325421451054592,-38.6058582510806
70,72.05000305175781,309.8000183105469,4.299791883256397,-36.85601908232152
71,71.69000244140625,312.1982116699219,4.354836114353435,-40.63718221078127
72,71.58499908447266,311.6000061035156,4.3528673617194205,-40.44235503906648
73,71.375,310.9700012207031,4.356847652829466,-40.6190776367367
74,71.4800033569336,310.663330078125,4.3461571836648565,-39.90902809946706
75,71.24500274658203,311.5450134277344,4.372868291350873,-41.693484195809525
76,71.37999725341797,310.8683166503906,4.355118080864103,-40.498195736734225
77,71.6500015258789,311.03759765625,4.341068960674172,-39.63023476132994
78,70.80000305175781,305.0066833496094,4.308003816421258,-36.86465434490034
