,aapl,ma,Ratio,Spread
0,173.625,352.53369140625,2.0304316279697625,26.37702488955011
1,173.85960388183594,357.1556091308594,2.0542759856602513,22.27006111084796
2,174.3699951171875,357.4200134277344,2.049779339544776,23.125962149689993
3,174.2100067138672,357.6099853515625,2.0527522620380947,22.584816754457844
4,173.71029663085938,355.7300109863281,2.047834917594247,23.367930841674987
5,174.9250030517578,357.2250061035156,2.042160925375647,24.539208164932003
6,175.6300048828125,357.42999267578125,2.0351305741537336,25.881695879674563
7,176.44129943847656,359.4800109863281,2.037391541154884,25.61246367318881
8,175.71609497070312,360.57000732421875,2.0520033033077363,22.93064839629778
9,175.9822998046875,361.1300048828125,2.0520814041162643,22.954968661463166
10,176.19000244140625,362.2950134277344,2.0562745241360627,22.245866009984464
11,176.05999755859375,361.0299987792969,2.0506077688609765,23.22552081327535
12,176.21499633789062,361.8299865722656,2.0533438929253216,22.765754300470856
13,176.2899932861328,360.5899963378906,2.0454365538072494,24.17036233283829
14,177.6199951171875,359.3599853515625,2.0231955592300817,28.319718411010907
15,178.72500610351562,357.5799865722656,2.0007272310017945,32.525208888174966
16,179.32220458984375,358.44000244140625,1.998860114737331,32.97603968797193
17,179.60009765625,359.75,2.0030612716511564,32.27601554484891
18,180.125,360.8999938964844,2.003608571250434,32.27817876961381
19,179.91000366210938,360.239990234375,2.002334405545036,32.46626691316498
20,180.3300018310547,360.42999267578125,1.9987244996174092,33.198157633455985
21,179.2097930908203,363.19000244140625,2.026619171739951,27.979297202150914
22,179.97999572753906,362.4549865722656,2.0138626246050397,30.40490268908746
23,179.75999450683594,362.02978515625,2.0139619282336074,30.347202902365492
24,179.94769287109375,361.8941955566406,2.0111077268208435,30.89478915164022
25,179.38999938964844,361.79998779296875,2.0168347679577847,29.76486346692428
26,179.30499267578125,360.94000244140625,2.0129947139512,30.438259652135624
27,179.38999938964844,360.7200012207031,2.0108144403144372,30.844850039189904
28,179.19219970703125,360.5799865722656,2.012252693821454,30.55069571196594
29,179.27000427246094,361.04998779296875,2.0140011111074227,30.251474990136384
30,178.87350463867188,361.06610107421875,2.0185555250543095,29.36504767412873
31,179.09779357910156,361.260009765625,2.0171103314350347,29.66345170147957
32,179.4174041748047,362.5400085449219,2.0206512863807937,29.084996034441073
33,179.47140502929688,362.3900146484375,2.0192075422225675,29.35352144406789
34,179.3800048828125,361.2900085449219,2.0141041292810185,30.252904839552055
35,180.3175048828125,364.4100036621094,2.0209352602729154,29.190715929619042
36,180.0157928466797,363.9100036621094,2.021544876187909,29.028460035477732
37,179.7158966064453,362.4700012207031,2.016905616393333,29.810192242551633
38,179.35150146484375,362.9100036621094,2.0234567355057607,28.57034491124551
39,178.97500610351562,363.0050048828125,2.028244126293576,27.648938899562605
40,178.9600067138672,362.5,2.0255922351388174,28.121020222776618
41,178.25,361.0400085449219,2.025469893660151,28.022551706667226
42,178.26019287109375,362.05999755859375,2.0310759891324257,27.024935976628964
43,178.36000061035156,361.6700134277344,2.02775292773095,27.633997425223523
44,177.50999450683594,360.94000244140625,2.033350310466639,26.498250719798417
45,177.6300048828125,361.8500061035156,2.0370995673970635,25.851669027416502
46,177.39999389648438,362.5899963378906,2.043912112812515,24.606806221945245
47,177.84500122070312,361.30999755859375,2.0316005233692973,26.863593090896583
48,177.61000061035156,359.3699951171875,2.0233657670301395,28.28777076996681
49,180.83999633789062,365.8699035644531,2.0231691604375133,28.877681264072347
50,181.74989318847656,366.114990234375,2.0143890255534282,30.629812073720696
51,181.60000610351562,366.8800048828125,2.02026427616794,29.53579627987528
52,182.22970581054688,370.885009765625,2.035260980727322,26.912978027287064
53,181.86500549316406,371.70001220703125,2.043823720781746,25.297460837189586
54,182.14500427246094,371.3900146484375,2.0389799661641836,26.22205383691482
55,182.0,370.92999267578125,2.038076882833963,26.36379240482597
56,182.25,377.0799865722656,2.0690259894225824,20.76254683027616
57,179.94000244140625,375.69500732421875,2.087890420289152,17.077096942518207
58,180.02999877929688,375.5799865722656,2.0862077938060657,17.389659052062253
59,179.5,375.9100036621094,2.094206148535428,15.89629819915245
60,179.4969940185547,376.7200012207031,2.0987538163550608,15.079702531463166
61,180.11000061035156,377.05999755859375,2.093498396984197,16.08525154790595
62,179.66000366210938,375.4200134277344,2.089613746940556,16.73749539787104
63,178.92999267578125,379.989990234375,2.123679683611857,10.56514937626508
64,179.30499267578125,379.4200134277344,2.116059390012639,11.9582486658075
65,179.1300048828125,380.7699890136719,2.125662807092385,10.224176048867488
66,178.27000427246094,379.1300048828125,2.126717876235449,9.976464612554476
67,177.08999633789062,380.6199951171875,2.1493026313635375,5.896364882319854
68,176.34030151367188,376.07000732421875,2.1326378830936816,8.800777568276427
69,174.8350067138672,373.9100036621094,2.138644946970179,7.65666924874733
70,173.52000427246094,369.19000244140625,2.1276509529224334,9.490248937204452
71,173.1999969482422,370.17999267578125,2.137297916849289,7.7978447741422725
72,173.0345001220703,370.0899963378906,2.1388220041483286,7.524576689443616
73,172.77000427246094,369.31500244140625,2.137610657571038,7.719003971400805
74,172.97000122070312,369.7049865722656,2.1373936749907063,7.768011799501148
75,172.5740966796875,370.18499755859375,2.14507857599098,6.4189930030586835
76,172.00999450683594,369.989990234375,2.150979606127893,5.375799844269745
77,172.18499755859375,367.114990234375,2.1320962652942366,8.634930368211823
78,171.77999877929688,367.1050109863281,2.1370649295322504,7.755940014159928
79,172.1999969482422,370.739990234375,2.152961653918075,5.042853927810309
80,172.1699981689453,370.5899963378906,2.1524655879605787,5.12700070509771
