,mcd,bkng,Ratio,Spread
0,268.4800109863281,2386.510009765625,8.88896719349119,-209.87557869185278
1,267.45001220703125,2400.0,8.973639523120216,-231.74724499508423
2,268.1700134277344,2400.110107421875,8.94995706918831,-225.99829984096053
3,268.7349853515625,2404.97998046875,8.949262699542171,-226.2706803968654
4,268.5400085449219,2409.139892578125,8.971251269529619,-232.01722781790298
5,268.9049987792969,2414.31005859375,8.978301145585208,-234.21726418452457
6,268.0299987792969,2399.22998046875,8.951348697517775,-226.2575503819517
7,268.04998779296875,2419.090087890625,9.024772236733078,-245.95499602120984
8,265.95001220703125,2415.300048828125,9.08178205665173,-259.25363266165647
9,266.42999267578125,2436.2099609375,9.143902818411757,-276.25767527943214
10,266.69000244140625,2439.10009765625,9.145825022788914,-277.0319671311659
11,267.7799987792969,2445.929931640625,9.134102407911914,-274.99189136023466
12,268.45001220703125,2461.7099609375,9.170086977083113,-285.31964670695294
13,268.5400085449219,2462.77001953125,9.17096127640613,-285.647354771028
14,269.760009765625,2499.919921875,9.267199849403179,-312.86942492596387
15,270.760009765625,2474.3701171875,9.138609942174849,-279.18206101283255
16,269.7900085449219,2453.179931640625,9.092923584796706,-265.88531784836374
17,269.1199951171875,2445.85009765625,9.088325438588136,-264.00775781414546
18,269.18499755859375,2457.1298828125,9.128034270474728,-274.7585817536415
19,268.7099914550781,2468.0,9.184623119652738,-289.4940892410364
20,268.4800109863281,2465.489990234375,9.183141721340014,-288.8555591606028
21,268.510009765625,2459.60009765625,9.160180284538246,-282.72154973925313
22,268.32000732421875,2457.844970703125,9.160125609765807,-282.5125789060858
23,269.260009765625,2445.330078125,9.081668236785388,-262.3483607887793
24,268.68499755859375,2450.364990234375,9.119842985278733,-272.0624687883324
25,268.0,2445.1201171875,9.12358252681903,-272.39180394392685
26,267.135009765625,2425.02001953125,9.077881711045206,-259.33061554949614
27,267.19000244140625,2413.31005859375,9.032186970105588,-247.17314845585045
28,270.5,2425.31005859375,8.966026094616451,-232.2378472860983
29,269.43499755859375,2441.659912109375,9.062148326066623,-257.2542212441086
30,269.739990234375,2436.52001953125,9.03284684415602,-249.63243270342994
31,269.57501220703125,2433.534912109375,9.027301500186677,-247.98984374999284
32,269.8479919433594,2440.199951171875,9.04286866690514,-252.43349404072526
33,270.010009765625,2440.300048828125,9.037813268279804,-251.2151620726809
34,269.7099914550781,2429.909912109375,9.009343328365688,-243.26644212478007
35,270.0199890136719,2455.27001953125,9.09291948533089,-266.10392605379735
36,269.6199951171875,2443.1298828125,9.061382416206259,-257.21876335758003
37,268.9700012207031,2453.574951171875,9.122113767470283,-272.95319554589565
38,269.44000244140625,2448.77001953125,9.088368458071743,-264.3236011356799
39,268.43499755859375,2438.199951171875,9.083018136037447,-261.93181953224035
40,267.989990234375,2441.949951171875,9.112093884686619,-269.3030929889101
41,267.05999755859375,2434.570068359375,9.116191457409203,-269.49108065498336
42,262.8999938964844,2370.52001953125,9.016812759853586,-239.29330800611663
43,263.54998779296875,2388.989990234375,9.064656045861941,-252.473914880301
44,263.82501220703125,2397.820068359375,9.088676044399213,-259.06596554737285
45,264.30999755859375,2396.110107421875,9.065529603702151,-253.40940758796935
46,264.4924011230469,2413.0,9.12313544644115,-268.8149803573911
47,263.8900146484375,2417.659912109375,9.161619530508787,-278.3768480806189
48,264.3900146484375,2425.610107421875,9.174363527485095,-282.2582637803035
49,261.2900085449219,2416.340087890625,9.247732438552848,-298.2147275162302
50,261.6000061035156,2431.7099609375,9.295527156735874,-311.06197707024745
51,262.2449951171875,2459.969970703125,9.380426763164179,-334.0733505372364
52,262.07000732421875,2471.889892578125,9.432173936333117,-347.41724594128215
53,261.4800109863281,2469.485107421875,9.444259613217607,-349.8135909275225
54,262.42498779296875,2470.580078125,9.414423904152297,-343.21875689976156
55,262.19000244140625,2467.530029296875,9.411228522522762,-342.0809152871321
56,262.6000061035156,2452.179931640625,9.338080253790961,-323.39438854774113
57,261.6300048828125,2442.550048828125,9.335894214129512,-321.6579481176478
58,261.2099914550781,2452.0,9.387083496848877,-334.52578343327156
59,260.7300109863281,2444.89990234375,9.377132663381635,-331.3315552686209
60,260.80999755859375,2443.0400390625,9.367125731112532,-328.82079651830423
61,260.3999938964844,2434.10009765625,9.347542836824593,-323.2172841951952
62,260.9200134277344,2435.090087890625,9.3327071998065,-319.9755846955382
63,263.239990234375,2482.919921875,9.432153221341252,-348.9264700137838
64,263.5249938964844,2479.945068359375,9.410663602305313,-343.632382318222
65,262.1300048828125,2456.27490234375,9.370445414830893,-331.3140220204569
66,262.94000244140625,2466.64990234375,9.381037040544715,-335.0976189147837
67,262.5552978515625,2475.469970703125,9.428375625856347,-347.04824365838437
68,262.1099853515625,2471.77001953125,9.430277966006972,-346.97204932917344
69,261.44000244140625,2459.030029296875,9.405714528510194,-339.68408470635546
70,260.44000244140625,2432.530029296875,9.340078353916255,-321.3216439319868
71,258.2799987792969,2422.18505859375,9.378136402515372,-328.55383095685744
72,258.510009765625,2415.820068359375,9.34517031100517,-320.3171126986918
73,257.7065124511719,2412.169921875,9.36014343965032,-323.20547319831445
74,257.3999938964844,2426.969970703125,9.428787988546542,-340.49983491896415
75,257.4800109863281,2438.719970703125,9.471492413570768,-351.5986911112978
76,257.70001220703125,2450.949951171875,9.51086470730482,-362.038398616865
77,255.19000244140625,2428.0,9.51447931647514,-359.5138005696768
78,256.32000732421875,2409.489990234375,9.40031960590035,-331.80830914491213
79,255.8699951171875,2415.159912109375,9.439011834909524,-341.14023200688604
