,tgt,tsla,Ratio,Spread
0,223.5,281.02972412109375,1.2574036873427012,27.185121357131028
1,222.72000122070312,277.5433349609375,1.2461536163782052,29.59102870499878
2,223.6999969482422,279.3999938964844,1.2489941784001435,29.09189440645314
3,224.0399932861328,282.4483337402344,1.2607049732388864,26.51452947841607
4,223.36749267578125,280.2966613769531,1.2548677429253539,27.734630283479238
5,223.39500427246094,277.8066711425781,1.243567071015405,30.262730551649714
6,224.0399932861328,279.5199890136719,1.2476343393595926,29.44287420497857
7,219.82000732421875,279.0975646972656,1.2696640678644722,24.01962516780451
8,218.6699981689453,279.7361755371094,1.279261800336158,21.787981096090437
9,214.7100067138672,276.6199951171875,1.2883423523237298,19.418641720857284
10,212.59500122070312,272.7933349609375,1.283159685762038,20.31552169166382
11,212.44000244140625,272.44000244140625,1.2824326836305173,20.454144436766786
12,211.8300018310547,270.4599914550781,1.2767784974612986,21.58916106866285
13,211.0399932861328,268.1933288574219,1.2708175577592977,22.761475973736754
14,211.38999938964844,268.86334228515625,1.2718829796180142,22.576303342009158
15,208.16079711914062,271.2533264160156,1.303095156100714,15.713114362509362
16,211.03500366210938,279.4333190917969,1.324108864609024,11.51457393622751
17,212.47999572753906,279.2799987792969,1.3143825508045226,13.669548209013659
18,210.84500122070312,278.06329345703125,1.3188042962705433,12.621401489561595
19,209.73500061035156,276.6666564941406,1.3191248751472606,12.480426467732048
20,208.72999572753906,274.73333740234375,1.3162139751153,13.02157735880569
21,215.80999755859375,284.2467041015625,1.3171155521856106,13.315678840908607
22,215.32000732421875,284.3766784667969,1.3207164629090684,12.506952725679913
23,217.00999450683594,283.260009765625,1.3052855487570743,15.964651262135124
24,218.4199981689453,284.27996826171875,1.3015290295984323,16.897879556336978
25,216.72999572753906,284.20166015625,1.3113166878549316,14.63513668950974
26,216.92149353027344,286.30670166015625,1.3198632233287637,12.795364694274031
27,216.0,286.30999755859375,1.3255092479564525,11.51558346530884
28,211.75999450683594,278.2831115722656,1.314143930822978,13.669064337468956
29,210.44500732421875,272.71826171875,1.295912244183541,17.41234757841737
30,212.88999938964844,274.2366638183594,1.2881613255887578,19.280834699670482
31,213.00999450683594,271.3466491699219,1.2738681572108759,22.33707081553307
32,214.00999450683594,276.6700134277344,1.2927901524659726,18.39894181829685
33,214.2899932861328,278.0433654785156,1.2975097960232584,17.413453949515986
34,214.9199981689453,279.4266662597656,1.300142697935967,16.902858146273093
35,211.88999938964844,272.5666809082031,1.2863593453836168,19.565582349250395
36,212.27999877929688,268.01666259765625,1.2625620130905861,24.655841565941547
37,211.25259399414062,265.92059326171875,1.2587802508550234,25.3287135665958
38,211.0,268.5281677246094,1.2726453446663952,22.371236996411756
39,209.3300018310547,266.8833312988281,1.27494066289754,21.70273307347212
40,207.02000427246094,265.0533142089844,1.2803270637563375,20.33286009330668
41,207.0399932861328,265.1166687011719,1.2805094537207413,20.297195087681576
42,209.22999572753906,263.0333251953125,1.2571492164911027,25.41420719612505
43,209.89500427246094,259.9966735839844,1.2386987221786725,29.372052092463537
44,208.66000366210938,257.93499755859375,1.236149683847783,29.72296172556189
45,208.2899932861328,253.3490447998047,1.2163284505548628,33.796363064769125
46,208.4199981689453,254.3699951171875,1.220468272487917,32.95550009510531
47,208.72999572753906,254.8433380126953,1.2209234093280452,32.911576748454124
48,208.75999450683594,255.3400115966797,1.2231271235654226,32.45645853132599
49,214.41000366210938,261.0666809082031,1.2176049458943177,34.556381124266224
50,213.69000244140625,266.2933349609375,1.2461665586529023,28.3323559929559
51,214.33999633789062,264.2200012207031,1.2327144057807133,31.306084197759834
52,213.02000427246094,262.7277526855469,1.233347795587816,30.96983318020192
53,213.84500122070312,264.5753479003906,1.237229518530247,30.26505282793106
54,215.64500427246094,267.0,1.2381460025044382,30.333828424761567
55,215.5,267.1933288574219,1.2398762359973172,29.939634536192603
56,218.14999389648438,278.51165771484375,1.2766979853641525,22.292170664492847
57,217.01499938964844,278.9200134277344,1.2852568449747386,20.311580540172645
58,217.55999755859375,278.0652160644531,1.2781081962899175,21.92132858402646
59,215.80999755859375,274.5232849121094,1.2720600899760197,23.039098030361732
60,212.69000244140625,270.0299987792969,1.2695942248328629,23.210456914020245
61,215.40179443359375,278.7633361816406,1.294155124912762,18.233589398603034
62,215.60000610351562,280.2099914550781,1.2996752482490257,17.061503919399048
63,219.5850067138672,283.5367126464844,1.2912389460904778,19.254946086869825
64,218.57000732421875,282.8333435058594,1.2940171754046508,18.552302283490395
65,218.67999267578125,285.38665771484375,1.3050423782387945,16.15134366163726
66,219.42999267578125,287.8320617675781,1.3117261603925965,14.74486605433508
67,219.27000427246094,289.4033508300781,1.3198492506547808,12.951955414272494
68,219.8000030517578,289.8333435058594,1.3186230185702514,13.256135735635656
69,220.7100067138672,290.6433410644531,1.3168562014555547,13.706707337049398
70,219.75999450683594,298.8299865722656,1.3598015746354148,4.204071422079313
71,219.6699981689453,297.8333435058594,1.355821668814326,5.0760483879167175
72,221.7899932861328,299.23834228515625,1.3491967687609188,6.607741597197549
73,223.33999633789062,299.9548034667969,1.343041140795023,8.038399296852663
74,223.30499267578125,298.94000244140625,1.3387072042560204,9.004712015240091
75,225.1300048828125,300.6999816894531,1.3356726121246134,9.772804027355097
76,225.83999633789062,301.7966613769531,1.3363295530939518,9.659629538137143
77,224.13999938964844,303.60333251953125,1.354525445463853,5.498062679981889
78,224.0800018310547,310.1222839355469,1.3839801919020147,-1.103999469746338
79,223.5377960205078,308.8733215332031,1.381749874213068,-0.6061196746614537
