,cb,spgi,Ratio,Spread
1522,219.30999755859375,332.57000732421875,1.5164379692055077,47.94481737740424
1523,219.3300018310547,332.4800109863281,1.5158893366646233,48.069681207914904
1524,219.80999755859375,333.32501220703125,1.5164233470235053,48.061313637363504
1525,220.58999633789062,335.010009765625,1.518699919884266,47.73585573380533
1526,219.58999633789062,337.3699951171875,1.5363632257548963,43.63286809669936
1527,219.47000122070312,335.67999267578125,1.529502851454469,45.113718774593714
1528,217.89999389648438,332.7900085449219,1.5272602931004082,45.267176551019794
1529,219.52999877929688,333.75,1.5202933624371469,47.148287332130884
1530,219.20309448242188,333.81500244140625,1.5228571623480216,46.51348995411755
1531,219.83999633789062,334.19000244140625,1.5201510553510085,47.248611343866436
1532,220.77999877929688,335.1300048828125,1.5179364377922016,47.94703530624779
1533,223.64999389648438,341.75,1.5280572739839993,46.32944823781671
1534,223.77999877929688,342.3999938964844,1.5300741610700272,45.90605314920638
1535,224.4199981689453,343.1300048828125,1.5289635847180663,46.291562561781895
1536,224.91000366210938,343.7900085449219,1.5285669954521468,46.48563959418633
1537,223.24000549316406,339.6700134277344,1.5215463405735115,47.69482408604873
1538,224.1699981689453,341.4949951171875,1.523375107760051,47.49082175602101
1539,224.39999389648438,341.6400146484375,1.5224599997361672,47.74668530353686
1540,223.22500610351562,337.5400085449219,1.5121066158170255,49.79868499842227
1541,221.61000061035156,336.4599914550781,1.5182527436867028,48.06374382251577
1542,222.36500549316406,337.45001220703125,1.5175499915493902,48.3896983069013
1543,223.11000061035156,337.9649963378906,1.5147908897554374,49.1732423680185
1544,222.7899932861328,336.5899963378906,1.5107949480729264,49.990468870514555
1545,222.8300018310547,335.17999267578125,1.504195978645228,51.470207517864004
1546,223.4199981689453,335.9700012207031,1.503759752816084,51.7085639383478
1547,226.6999969482422,339.7200012207031,1.4985443572734785,53.675609307242134
1548,227.0449981689453,342.8299865722656,1.5099649379510405,51.16696187188044
1549,228.0399932861328,342.67498779296875,1.5026968859931418,53.05623941453977
1550,228.7100067138672,345.6400146484375,1.511258819037412,51.25904749495684
1551,228.9499969482422,346.6650085449219,1.5141516189812008,50.6523571254962
1552,229.9199981689453,348.4700012207031,1.5156141440321655,50.53807879438049
1553,228.8699951171875,347.80999755859375,1.5196836849693025,49.36792473744837
1554,226.1999969482422,352.54998779296875,1.5585764480520186,39.974121592204746
1555,227.28500366210938,355.94500732421875,1.5660734390262734,38.4702712430553
1556,226.8000030517578,355.1700134277344,1.5660053291387361,38.39990796720688
1557,224.88999938964844,353.8299865722656,1.573346914191651,36.410794074222544
1558,224.8000030517578,353.7900085449219,1.5737989490305544,36.293908278932385
1559,224.08999633789062,351.5199890136719,1.5686554275436637,37.32638448516068
1560,223.50999450683594,350.3299865722656,1.5674018844000774,37.50544240941921
1561,223.5,352.70001220703125,1.5780761172574105,35.117996326395634
1562,224.5,353.7099914550781,1.5755456189535775,35.851019363892284
1563,224.40499877929688,351.6400146484375,1.5669883316381767,37.75540882571793
1564,224.5800018310547,353.1300048828125,1.5724018256463566,36.57044931053387
1565,224.9499969482422,353.9800109863281,1.5735942022162992,36.36534554191602
1566,224.85000610351562,355.1499938964844,1.5794973727195796,35.02107836086791
1567,224.77000427246094,354.4100036621094,1.5767673485137361,35.62162522086695
1568,224.2550048828125,361.8699951171875,1.613654042219872,27.2639886525781
1569,224.49639892578125,362.9750061035156,1.6168411067632116,26.57972803486107
1570,224.44000244140625,362.6099853515625,1.6156210185669901,26.846449585651932
1571,224.00999450683594,363.67999267578125,1.6234989580551198,25.02693744867529
1572,224.0449981689453,363.5799865722656,1.622798944603536,25.187955015249976
1573,223.75999450683594,364.239990234375,1.6278155129434781,24.031189318695716
1574,224.58999633789062,364.05999755859375,1.620998279063479,25.65787708301057
1575,224.7725067138672,366.010009765625,1.6283575563427404,24.025980878441864
1576,226.00999450683594,366.17999267578125,1.62019380370679,26.012942019762285
1577,226.67210388183594,367.5,1.621284638499573,25.846992849448306
1578,226.11000061035156,365.9100036621094,1.6182831483542865,26.457241900430212
1579,225.94000244140625,367.79998779296875,1.627865733463252,24.27095057256097
1580,225.4199981689453,367.04998779296875,1.6282938105512543,24.11458193716917
1581,225.61000061035156,367.7699890136719,1.6301138602842487,23.72575540609595
1582,226.02999877929688,365.56500244140625,1.6173295775591094,26.662799746757322
1583,226.68280029296875,364.2200012207031,1.6067385825037406,29.14563549779681
1584,227.14309692382812,364.5400085449219,1.6048914251933857,29.627926253193927
1585,227.08999633789062,365.19000244140625,1.60812897234819,28.885377914056768
1586,227.1999969482422,365.0299987792969,1.6066461429682737,29.23711289142009
1587,227.3000030517578,365.8399963378906,1.60950282193611,28.60142619982239
1588,227.19000244140625,366.0799865722656,1.611338450804762,28.169704650193445
1589,226.58999633789062,368.7850036621094,1.6275431820572424,24.41887555058188
1590,225.57000732421875,368.364990234375,1.6330406449156718,23.06104579625694
1591,224.92999267578125,366.55999755859375,1.6296626038972086,23.7504914770303
1592,224.61000061035156,367.9700012207031,1.6382618771238477,21.78274091352123
1593,224.02540588378906,366.8550109863281,1.637559854156142,21.87878120338113
1594,224.22000122070312,367.1300048828125,1.6373651007228427,21.94296742389404
1595,224.64999389648438,367.3599853515625,1.6352548200862045,22.46246517179774
1596,224.67999267578125,373.8299865722656,1.6638330014177607,16.044751891972602
1597,223.72000122070312,368.885009765625,1.648869156771166,19.316461398309833
1598,223.33999633789062,367.4700012207031,1.6453389775504361,20.069120563971786
1599,223.25999450683594,367.4200134277344,1.6457046603415753,19.97966498256458
1600,223.08999633789062,366.1499938964844,1.6412658564121183,20.953377316804712
1601,221.8699951171875,365.3599853515625,1.6467300373743026,19.61692094567517
1602,220.57000732421875,363.989990234375,1.6502243194803061,18.721034368539485
1603,219.27000427246094,359.2200012207031,1.6382541807877327,21.225115091783984
1604,218.27000427246094,357.82000732421875,1.6393457658871031,20.88210670272489
1605,218.5399932861328,359.364990234375,1.6443900488450234,19.80771526047031
1606,219.63999938964844,361.3699951171875,1.645283173016703,19.72002353019733
1607,219.88999938964844,363.3299865722656,1.652326106602235,18.195782646505087
1608,219.41000366210938,361.7900085449219,1.6489221207164155,18.89912702369717
1609,219.24000549316406,361.1400146484375,1.6472359313989249,19.25281372317162
1610,219.0399932861328,363.6000061035156,1.6599708603375618,16.444200534101448
