,jnj,unh,Ratio,Spread
1091,170.2100067138672,537.239990234375,3.156336108590292,-36.702131129755706
1092,170.80999755859375,538.864990234375,3.154762589640139,-36.55230623178354
1093,170.64999389648438,538.9000244140625,3.1579258346821693,-37.06064510565826
1094,170.22500610351562,536.5999755859375,3.152298172100669,-36.01774698728942
1095,169.7949981689453,535.75,3.155275513280615,-36.43977212487757
1096,169.86000061035156,535.030029296875,3.149829432322923,-35.527518568687775
1097,170.27999877929688,536.835693359375,3.1526644186507067,-36.09079166156126
1098,170.63999938964844,537.6900024414062,3.1510197161546887,-35.880187750081255
1099,169.0050048828125,537.1900024414062,3.1785449360738873,-40.21664314650078
1100,169.17999267578125,536.77001953125,3.172774812444419,-39.27903118494847
1101,168.3800048828125,536.6799926757812,3.187314271960585,-41.555437526775926
1102,168.72000122070312,535.9600219726562,3.1766240996618142,-39.82972820111805
1103,167.80999755859375,531.1599731445312,3.1652462956449754,-37.72154904226047
1104,167.53500366210938,530.4949951171875,3.1664725789907697,-37.87002678438474
1105,167.17999267578125,532.8599853515625,3.1873430356284254,-41.28517027214141
1106,165.99000549316406,539.9400024414062,3.252846464082095,-51.885272540850245
1107,165.63999938964844,539.4299926757812,3.2566408757756404,-52.410611151657314
1108,166.10000610351562,542.4749755859375,3.265953977436101,-54.094854350230285
1109,166.05999755859375,541.3300170898438,3.259845989693196,-53.0682445960933
1110,166.17999267578125,541.8400268554688,3.2605611429566244,-53.2232984094879
1111,165.94000244140625,541.5150146484375,3.2633181070347854,-53.608198106917506
1112,165.3000030517578,543.3800048828125,3.2872352985539415,-57.36636198122144
1113,166.01280212402344,544.97998046875,3.282758760144359,-56.85781615916144
1114,165.38999938964844,542.8049926757812,3.281969857179616,-56.52513281001736
1115,166.0,545.6300048828125,3.2869277402579065,-57.54571036517731
1116,166.4665069580078,545.8599853515625,3.2790979718776643,-56.39572283703753
1117,166.50999450683594,546.0,3.279082445574067,-56.40709754856547
1118,166.16000366210938,545.0,3.279971039891594,-56.442400788177586
1119,166.0800018310547,544.489990234375,3.2784801555352754,-56.16904336964617
1120,167.0399932861328,544.5294189453125,3.259874526051707,-53.368734189100245
1121,167.01499938964844,545.9199829101562,3.2686883507781057,-54.833232265052025
1122,167.60000610351562,545.4119262695312,3.254247651594152,-52.594675083663695
1123,167.8800048828125,545.2100219726562,3.2476173821488534,-51.56451014037102
1124,167.91000366210938,547.0,3.2576975050321924,-53.2657491796572
1125,167.27000427246094,545.3699951171875,3.2604171769425627,-53.52891793677363
1126,167.57000732421875,546.1199951171875,3.259055745343142,-53.39148291937757
1127,167.5800018310547,542.5700073242188,3.2376775354806906,-49.81193050932958
1128,168.36000061035156,544.0900268554688,3.2317060161736277,-49.02464607744181
1129,167.85000610351562,545.0399780273438,3.2471847376115637,-51.48320518311615
1130,167.89999389648438,545.6849975585938,3.2500596628670855,-51.98035649215014
1131,168.11000061035156,546.489990234375,3.2507881045163964,-52.16413111470816
1132,167.71499633789062,545.1400146484375,3.2503951736680685,-51.98261238728909
1133,167.58999633789062,545.02001953125,3.252103535060617,-52.23237809928164
1134,166.88999938964844,543.239990234375,3.255078148607568,-52.52300041845077
1135,166.72000122070312,544.4099731445312,3.2654148821882742,-54.195852639873486
1136,166.5399932861328,544.2100219726562,3.26774374872015,-54.52838053316409
1137,166.05270385742188,542.6900024414062,3.2681792577576885,-54.44980534760062
1138,166.13450622558594,543.4500122070312,3.2711447161320417,-54.96783662137576
1139,166.68600463867188,544.9650268554688,3.269410818483524,-54.851471185700255
1140,166.8699951171875,545.4199829101562,3.2685323837105953,-54.76216746521046
