,sbux,nke,Ratio,Spread
958,87.86499786376953,114.62999725341797,1.3046150348873427,0.17799300633737736
959,87.875,115.08000183105469,1.3095875030560988,-0.2587919179618121
960,87.93000030517578,115.1500015258789,1.3095644390564263,-0.25609864489109335
961,87.85990142822266,115.26000213623047,1.3118612730335508,-0.45874774865626144
962,88.08499908447266,115.96499633789062,1.3165124316647983,-0.8662342065555431
963,88.30999755859375,116.05999755859375,1.3142339572774628,-0.663858770830654
964,88.76260375976562,115.48999786376953,1.3011109743506524,0.5043428420680873
965,88.58000183105469,115.25499725341797,1.3011401543346037,0.49800158897153657
966,88.875,115.80999755859375,1.3030660766086497,0.33289534630451434
967,88.76000213623047,115.86000061035156,1.3053176861411915,0.13090157390856283
968,88.7699966430664,116.0999984741211,1.307874314121531,-0.09588672016442623
969,88.98999786376953,116.37999725341797,1.3077873923716512,-0.0851136278815654
970,89.16000366210938,116.30999755859375,1.304508667354647,0.20957983911671696
971,89.3499984741211,116.41999816894531,1.3029658663359087,0.35069214033230245
972,89.58999633789062,117.56999969482422,1.3123116921604328,-0.4821082909327823
973,89.47000122070312,117.86000061035156,1.3173130546809366,-0.9307047119465433
974,89.59500122070312,118.0999984741211,1.3181538798487251,-1.005492201740392
975,89.81999969482422,118.31999969482422,1.3173012702831515,-0.928116766015503
976,89.37999725341797,118.04000091552734,1.3206534408459427,-1.2296617298781138
977,89.4000015258789,118.08000183105469,1.3208053670656112,-1.243223338730399
978,88.18000030517578,117.75789642333984,1.3354263553617607,-2.53357279440068
979,88.09510040283203,116.98999786376953,1.32799664599745,-1.8778849917640452
980,88.41000366210938,116.62000274658203,1.3190815282882162,-1.0916875927256025
981,88.37999725341797,116.68000030517578,1.3202082363796788,-1.1913441113319403
982,88.83999633789062,117.7249984741211,1.3251351117392032,-1.6283693140836955
983,88.5199966430664,117.29000091552734,1.3250113574729154,-1.616309909522027
984,88.3499984741211,117.02999877929688,1.324618005665009,-1.5809914618246348
985,88.23500061035156,115.72000122070312,1.311497709754955,-0.422984623869038
986,88.61000061035156,116.44000244140625,1.3140729222363141,-0.6473547226451297
