,ibm,v,Ratio,Spread
0,128.02999877929688,209.8300018310547,1.638912784751079,-11.714093690907614
1,128.1269989013672,212.52000427246094,1.6586668391106227,-14.252814801460257
2,127.43000030517578,211.1999969482422,1.6573804947221988,-14.01984606012601
3,128.31500244140625,212.40499877929688,1.655340332291148,-13.84459910262569
4,127.87999725341797,212.46389770507812,1.6614318288108925,-14.581931852638544
5,127.90499877929688,212.8000030517578,1.6637348429121936,-14.879044834900466
6,127.39990234375,211.8300018310547,1.6627171444723376,-14.696791705107582
7,125.65840148925781,207.52999877929688,1.6515409739398765,-13.112832317287765
8,126.01000213623047,208.4499969482422,1.6542337387065922,-13.484474332985567
9,125.9749984741211,207.9199981689453,1.6504862130374076,-13.00906724363335
10,126.30000305175781,207.75999450683594,1.644972204962622,-12.342186641691253
11,126.87999725341797,208.7899932861328,1.645570600613394,-12.467626820011045
12,126.94999694824219,208.32000732421875,1.640961105411852,-11.888469377006711
13,127.05999755859375,208.72999572753906,1.6427671945395967,-12.126900895928141
14,128.5449981689453,211.88999938964844,1.6483721841215766,-12.970898517451612
15,128.52999877929688,213.35000610351562,1.6599238164614472,-14.454298270209645
16,128.851806640625,214.41000366210938,1.6640046364278853,-15.012404485763792
17,128.89999389648438,215.63099670410156,1.6728549799410246,-16.158244713089342
18,128.84500122070312,215.4842987060547,1.6724304137879906,-16.097313258442878
19,128.78500366210938,215.0500946044922,1.6698380128847516,-15.756681312443757
20,128.97999572753906,215.4600067138672,1.6704916564659447,-15.862483916237775
21,128.7100067138672,216.44000244140625,1.681609751777653,-17.263554343812043
22,129.13999938964844,218.4407958984375,1.691503770565661,-18.593731487573702
23,129.125,218.49000549316406,1.6920813590951718,-18.66633412119111
24,129.55999755859375,218.3800048828125,1.6855511654671784,-17.877911585406988
25,129.47500610351562,217.5825958251953,1.6804988265552767,-17.2130551489719
26,129.4199981689453,217.8000030517578,1.6828929542051216,-17.516252716532872
27,129.75,217.9499969482422,1.6797687626068762,-17.1515759598206
28,130.39999389648438,218.27000427246094,1.6738498043621883,-16.457853201971968
29,130.52999877929688,217.64999389648438,1.6674327429090994,-15.63508729054271
30,130.76849365234375,217.24000549316406,1.6612564649609733,-14.85314242957855
31,130.6490020751953,217.39100646972656,1.6639316260877883,-15.19050239653188
32,130.77000427246094,217.19000244140625,1.6608549005541682,-14.800783415613008
33,130.9058074951172,217.58999633789062,1.662187495738161,-14.988978689382716
34,130.6300048828125,216.63999938964844,1.6584244912491204,-14.469123326035767
35,130.97500610351562,216.1699981689453,1.6504675556044344,-13.461058413245151
36,131.08999633789062,216.49000549316406,1.6514609164771878,-13.601727038500083
37,130.97999572753906,217.17999267578125,1.6581157410292868,-14.463271105516153
38,131.15939331054688,217.5399932861328,1.6585925551749243,-14.543483355501845
39,131.44000244140625,217.97000122070312,1.6583231677728438,-14.535853461788687
40,131.19000244140625,217.38999938964844,1.6570622405982645,-14.345751477313453
41,131.6300048828125,217.652099609375,1.653514332109508,-13.921624159444487
42,132.11000061035156,219.18460083007812,1.6591068035534002,-14.705524338042519
43,132.85000610351562,219.30999755859375,1.6508090890692864,-13.676808953547631
44,132.63499450683594,218.47000122070312,1.6471520358033664,-13.172144569889863
45,132.72000122070312,218.3800048828125,1.6454189487209496,-12.949571813219077
46,132.32000732421875,218.13999938964844,1.6485791060693353,-13.333396555542915
47,132.66769409179688,218.1999969482422,1.6447108577711682,-12.851142044791
48,132.64999389648438,218.07000732421875,1.6439503758620095,-12.748757634514643
49,133.7100067138672,217.69580078125,1.6281189877367088,-10.72135575206661
50,133.55270385742188,217.97500610351562,1.6321272412142345,-11.245890512710385
51,133.89999389648438,217.88479614257812,1.6272203590316878,-10.614047219976722
52,133.83999633789062,217.8000030517578,1.6273162657738192,-10.622826284719789
53,133.77000427246094,218.67999267578125,1.6347460992105285,-11.611975491034482
54,133.88999938964844,218.8000946044922,1.6341780237651453,-11.544933108618661
55,133.36000061035156,218.1699981689453,1.635947789220471,-11.741422444012382
56,134.16000366210938,218.97000122070312,1.6321555996092039,-11.293741227196332
57,134.25,218.8300018310547,1.6300186356130704,-11.013383604202826
58,133.69000244140625,218.2554931640625,1.632549099995115,-11.312246785932924
59,133.88999938964844,218.47000122070312,1.631712616450978,-11.214839724829599
60,134.02999877929688,218.74020385742188,1.6320242173367077,-11.266699399367777
61,134.05999755859375,218.4199981689453,1.6292704919189651,-10.899707633109525
62,133.9199981689453,217.92999267578125,1.6273147823736829,-10.628045102126034
63,134.71499633789062,217.14999389648438,1.6119214623428502,-8.608167666418236
64,134.3800048828125,216.8000030517578,1.6133352818436086,-8.780629289453255
65,134.60000610351562,216.5050048828125,1.6085066498162484,-8.14251735171015
66,134.47500610351562,217.30999755859375,1.6159880103765434,-9.142459950781156
67,134.39999389648438,217.8300018310547,1.6207590157989782,-9.779453215294378
68,134.16000366210938,217.91000366210938,1.624254604307628,-10.233743668602582
69,133.64999389648438,216.69000244140625,1.6213244469673427,-9.8091533653843
70,134.62100219726562,221.19000244140625,1.6430571666469067,-12.794769415376347
71,135.32000732421875,220.74000549316406,1.6312444098845194,-11.254604500105042
72,135.32000732421875,220.60000610351562,1.630209829762801,-11.114605110456605
73,135.8249969482422,221.52000427246094,1.6309222105624188,-11.247021771678074
74,135.85000610351562,221.5500030517578,1.6308427905622624,-11.238016287758168
75,136.22500610351562,221.48500061035156,1.625876239212997,-10.588164076482737
76,136.02999877929688,221.47999572753906,1.6281702397636666,-10.88729249684928
77,139.22000122070312,223.39999389648438,1.604654445752605,-7.83216481582502
