,csco,adbe,Ratio,Spread
0,63.63999938964844,567.7449951171875,8.921197368985768,-57.66236930376651
1,63.50389862060547,568.7100219726562,8.955513509026101,-59.735675825983364
2,63.48500061035156,567.6300048828125,8.941167195803057,-58.80954677552158
3,63.53499984741211,568.260009765625,8.944046763679518,-59.03240379152355
4,63.584999084472656,568.0402221679688,8.933557133708966,-58.40546832705665
5,63.619998931884766,569.3200073242188,8.948758517487018,-59.40024687020018
6,63.380001068115234,567.0999755859375,8.947617008975252,-59.13453731796612
7,63.060001373291016,560.8400268554688,8.893752214426875,-55.48037221115446
8,62.7400016784668,561.3499755859375,8.947241959966352,-58.596104565280186
9,62.84120178222656,560.5900268554688,8.920740071110814,-57.01207513300186
10,62.8650016784668,561.3200073242188,8.928974665350056,-57.54825110483942
11,62.93000030517578,560.8400268554688,8.912124966402416,-56.538981515574775
12,63.07849884033203,562.4600219726562,8.916826372111165,-56.9497409450227
13,63.15999984741211,564.3699951171875,8.935560425596039,-58.19604473925203
14,62.619998931884766,550.9000244140625,8.79750932307276,-49.12334554981986
15,62.25,547.1500244140625,8.789558625125501,-48.386277040287425
16,61.83000183105469,545.1400146484375,8.816755596061391,-49.79634663194064
17,61.630001068115234,544.114990234375,8.828735693724937,-50.399944748511516
18,61.49980163574219,542.0250244140625,8.81344345831273,-49.37020352895523
19,61.22999954223633,551.8900146484375,9.013392434663418,-61.43221422384083
20,61.25,554.0999755859375,9.046530213647959,-63.479309801938356
21,61.58000183105469,535.1099853515625,8.689671475159123,-41.802087732509605
22,61.150001525878906,531.2100219726562,8.686999324895293,-41.403651922278286
23,60.81999969482422,527.6900024414062,8.676257893607202,-40.57086422608204
24,60.619998931884766,525.030029296875,8.661003605209913,-39.53951361218422
25,60.74409866333008,519.97998046875,8.560172788976633,-33.47891054563074
26,60.59000015258789,514.2999877929688,8.48819914998799,-29.05375461568609
27,60.290000915527344,514.280029296875,8.530104851340699,-31.476714383846897
28,60.724998474121094,520.406982421875,8.569897002857143,-34.06144689786463
29,60.779998779296875,523.7249755859375,8.616732249167645,-36.93156808941818
30,60.775001525878906,518.2750244140625,8.527766538901249,-31.522309959850517
31,60.71500015258789,514.6799926757812,8.47698248179686,-28.415874299776576
32,60.89500045776367,517.530029296875,8.49872773473136,-29.800153749639364
33,60.900001525878906,515.885009765625,8.471018010507017,-28.114410112691004
34,60.93000030517578,514.0499877929688,8.436730431942934,-26.03510563262664
35,60.790000915527344,509.5,8.381312589680526,-22.625144292083903
36,60.869998931884766,510.760009765625,8.390997514837807,-23.233723683490197
37,61.18000030517578,510.6382141113281,8.346489237727717,-20.587561553542045
38,61.189998626708984,510.42999267578125,8.34172257119454,-20.29792296998947
39,61.209999084472656,511.243408203125,8.352285833195083,-20.948473137930748
40,61.415000915527344,512.0599975585938,8.33770235162744,-20.095715857067702
41,61.150001525878906,510.69000244140625,8.351430739135473,-20.883632391028286
42,60.619998931884766,499.9541015625,8.2473459315674,-14.463585877809225
43,60.994998931884766,508.7149963378906,8.34027387894523,-20.170825057033866
44,60.915000915527344,505.2950134277344,8.295083408575206,-17.40227252109632
45,61.42499923706055,514.72998046875,8.37981256592657,-22.68428161921831
46,61.5099983215332,521.1099853515625,8.471955772581026,-28.37213202211369
47,61.34000015258789,521.8400268554688,8.507336575763812,-30.486482485854125
48,61.84000015258789,525.989990234375,8.505659588236002,-30.564905069872438
49,61.790000915527344,531.6300048828125,8.603819339792533,-36.61206758512053
50,61.97999954223633,532.6027221679688,8.593138530196763,-36.03761055104012
51,62.099998474121094,531.5,8.558776377772244,-33.95772729004777
52,62.185001373291016,531.7999877929688,8.551901198821575,-33.56552953970832
53,62.23500061035156,530.6099853515625,8.525909538808714,-31.96837923149154
54,62.310001373291016,530.3800048828125,8.51195623805841,-31.127661430830116
55,62.380001068115234,530.0399780273438,8.496953654242034,-30.217621349148303
56,62.43000030517578,535.35498046875,8.575283963667804,-35.12547592374402
57,62.14500045776367,532.4500122070312,8.567865609219947,-34.54128467257571
58,62.20500183105469,534.7899780273438,8.597218266785097,-36.392654414680905
59,62.13999938964844,534.3300170898438,8.598809500131004,-36.46201366108663
60,62.04499816894531,534.7999877929688,8.619550384008976,-37.70558705552547
61,61.9900016784668,533.4600219726562,8.605581666857125,-36.81346214433084
62,62.119998931884766,532.5700073242188,8.573245596932276,-34.86486925486405
63,61.72999954223633,524.1400146484375,8.490847538234878,-29.610673428952836
64,61.8849983215332,521.10498046875,8.4205380076326,-25.313471543135208
65,61.630001068115234,517.3300170898438,8.394126369040231,-23.614971603980266
66,61.88999938964844,521.77001953125,8.430603080899688,-25.93778649993685
67,61.71419906616211,521.219970703125,8.445705827670862,-26.81929404947003
68,61.720001220703125,520.114990234375,8.42700874833926,-25.667066162896035
69,61.5099983215332,516.9600219726562,8.40448766183238,-24.22216864320744
70,61.25,515.7000122070312,8.419592036033164,-25.079346423032106
71,61.224998474121094,514.0800170898438,8.396570516978255,-23.66294077094544
72,61.39500045776367,516.9400024414062,8.419903877955536,-25.138586099282676
73,61.26499938964844,514.530029296875,8.398433598675787,-23.7872222591718
74,61.290000915527344,516.75,8.431228459471036,-25.803603497195965
75,61.30500030517578,520.6649780273438,8.493026269235427,-29.596440270835657
76,61.34000015258789,520.5800170898438,8.486795171093277,-29.226472720229125
77,59.96500015258789,517.6500244140625,8.632536030965431,-37.49321723038979
78,60.060001373291016,511.0400085449219,8.508824456540621,-30.109598669935323
79,59.685001373291016,513.77001953125,8.60802559621221,-35.89326525242937
