,intc,lrcx,Ratio,Spread
1023,38.869998931884766,454.3599853515625,11.68922042287103,26.76408868512204
1024,39.23849868774414,454.9599914550781,11.594734933046293,30.845733197427087
1025,39.17499923706055,455.9150085449219,11.63790727310633,29.083979501465826
1026,39.064998626708984,454.6099853515625,11.637271248762897,28.991486368139824
1027,39.040000915527344,453.7300109863281,11.622182385909385,29.553874227313436
1028,39.16999816894531,457.5,11.679857579434719,27.43545135945869
1029,39.29499816894531,453.7950134277344,11.54841670883107,32.72851585490458
1030,39.130001068115234,448.4200134277344,11.459749583117844,36.007289829168606
1031,39.41999816894531,449.2200012207031,11.395738764254794,38.89160598511604
1032,39.419898986816406,450.7099914550781,11.433565357582818,37.40035567914675
1033,38.97999954223633,448.0,11.493073505928978,34.52159036336986
1034,38.95000076293945,446.1199951171875,11.453658186873936,36.020472053192584
1035,38.95000076293945,447.010009765625,11.476508369954916,35.130457404755084
1036,39.474998474121094,459.197509765625,11.632616276519032,29.61285560353685
1037,39.45000076293945,457.3599853515625,11.593408783434564,31.132793511538587
1038,39.58760070800781,455.9800109863281,11.518253261913197,34.26092335672394
1039,39.70000076293945,456.510009765625,11.498992468327204,35.15892494383656
1040,39.625,456.57000732421875,11.522271478213723,34.14607093847622
1041,40.36000061035156,469.4599914550781,11.631813289285994,30.593992750203434
1042,40.15999984741211,467.5799865722656,11.64292799673395,29.933063263069137
1043,39.16999816894531,456.989990234375,11.666837161015875,27.94546112508369
1044,39.80870056152344,467.4100036621094,11.741403187469983,25.639921050435085
1045,39.8650016784668,471.82000732421875,11.835444311020154,21.94520187527082
1046,39.82500076293945,473.5,11.88951640750832,19.757012632641768
1047,39.68000030517578,477.1700134277344,12.025453874945995,14.244822998303285
1048,39.87009811401367,482.82000732421875,12.109827418621666,11.009950169502027
1049,39.689998626708984,485.0799865722656,12.221718401517805,6.46187476333791
1050,35.67499923706055,490.6099853515625,13.752207311665424,-50.07717915422159
1051,35.69499969482422,488.2250061035156,13.677686238341902,-47.438101622750814
1052,36.22999954223633,492.5249938964844,13.594396911937771,-44.94111784307983
1053,36.36920166015625,493.75,13.57604724496663,-44.397613463966984
1054,36.35499954223633,496.5150146484375,13.657406708851662,-47.34306067185269
1055,35.9900016784668,499.4700012207031,13.878021059374982,-54.935207639801085
1056,36.29010009765625,500.510009765625,13.791915933512396,-52.162578790354466
1057,37.1786003112793,494.75,13.307386395875211,-35.11450843276395
1058,37.17319869995117,501.9949951171875,13.5042184335309,-42.42812898754982
1059,37.105899810791016,504.5299987792969,13.597029080334313,-45.818139690697585
1060,36.72999954223633,500.260009765625,13.61992964879755,-46.32382201949951
1061,36.89500045776367,502.2799987792969,13.61376860136626,-46.24753654314332
1062,36.85499954223633,503.45001220703125,13.660290827844692,-47.925746537725495
1063,36.959999084472656,502.8800048828125,13.606061075203828,-46.02175957375038
1064,36.189998626708984,492.7200012207031,13.614811271561235,-45.64432173414638
1065,36.400001525878906,497.1499938964844,13.657966292749498,-47.40630666612281
1066,36.525001525878906,506.6199951171875,13.870498944626577,-55.288229963645726
1067,36.27009963989258,505.7749938964844,13.944681677692307,-57.68166120463774
1068,36.275001525878906,505.989990234375,13.948724161276665,-57.8343809271937
1069,36.192501068115234,507.5199890136719,14.022794060529444,-60.41251695150458
1070,36.01499938964844,502.6499938964844,13.956684781756733,-57.797613809521515
1071,35.58000183105469,508.2099914550781,14.283585309192025,-68.88409152363562
1072,36.03499984741211,514.030029296875,14.264743484764871,-68.9235509264883
1073,36.08000183105469,516.1500244140625,14.305709485020124,-70.47181278989899
1074,36.35499954223633,521.72998046875,14.350983002010967,-72.5580264921652
1075,36.400001525878906,526.5999755859375,14.46703168986261,-76.85628835557594
1076,36.43389892578125,524.8499755859375,14.405539650178495,-74.67563465607094
1077,36.5099983215332,524.6900024414062,14.371131924482992,-73.54884734865146
1078,35.63999938964844,527.4000244140625,14.797980736420683,-87.31187809664038
1079,35.415000915527344,525.3400268554688,14.833827849066603,-88.11040141405425
1080,35.46500015258789,528.9299926757812,14.914140431413056,-91.06514575795308
1081,35.48500061035156,530.0399780273438,14.937014764281061,-91.92103282609168
1082,35.63999938964844,528.8699951171875,14.839225706350508,-88.78184879976538
1083,35.625,530.0900268554688,14.879720052083334,-90.19244213454152
1084,35.66999816894531,531.8800048828125,14.911130703277495,-91.41073537240061
1085,35.5,524.9199829101562,14.786478391835388,-86.61047611240929
1086,35.209999084472656,509.0400085449219,14.457257079833457,-74.41485416038319
1087,35.37120056152344,517.0150146484375,14.61683534742225,-80.34185620879168
1088,35.380001068115234,517.9000244140625,14.63821392817307,-81.11505885256679
1089,35.209999084472656,513.1900024414062,14.575121152664817,-78.56484805686756
1090,35.359901428222656,518.7899780273438,14.671703174298708,-82.26037082086623
1091,35.38999938964844,519.8499755859375,14.689177297301493,-82.93798511487586
1092,35.88999938964844,514.5850219726562,14.33783869389185,-71.32071980887366
1093,35.439998626708984,507.1099853515625,14.308973053102331,-69.56277340408718
1094,35.22999954223633,498.9800109863281,14.163497515465874,-64.10075831836554
1095,35.41999816894531,506.6600036621094,14.30434866894845,-69.36688999805796
1096,35.3849983215332,505.25,14.278649822417398,-68.40154621586737
1097,35.29499816894531,507.9599914550781,14.391840708523176,-72.25495571420697
1098,35.369998931884766,509.5400085449219,14.405994456663388,-72.88211635728413
1099,34.849998474121094,470.42999267578125,13.498709132659306,-40.37851046428835
1100,34.70500183105469,473.20989990234375,13.635207461044034,-45.00054543316292
1101,34.421600341796875,457.9700012207031,13.304727167626982,-33.36115593941616
1102,34.540000915527344,459.1000061035156,13.29183537737339,-32.9869261243628
1103,34.435001373291016,461.6549987792969,13.406562519767244,-36.87589843990042
1104,34.5796012878418,468.8299865722656,13.557992837155888,-42.21379877693442
1105,34.52000045776367,469.3699951171875,13.597044869436683,-43.51101342145858
1106,34.650001525878906,476.8699951171875,13.762481215506716,-49.35939881134936
1107,35.15999984741211,484.875,13.790529070087251,-50.88506709187498
1108,35.06999969482422,484.57000732421875,13.817223026544072,-51.72349245935521
1109,35.1150016784668,487.7300109863281,13.88950555811631,-54.31176286768777
1110,35.15999984741211,489.8699951171875,13.932593778246092,-55.88006220906248
1111,35.275001525878906,491.92999267578125,13.945569706492718,-56.4790067540419
1112,35.36000061035156,494.95001220703125,13.997454854741596,-58.41914492895943
