,cat,noc,Ratio,Spread
0,226.75010681152344,398.0,1.7552362183927035,123.61020326468869
1,227.41000366210938,399.70001220703125,1.7576184238619248,123.4349253544843
2,227.44000244140625,399.95001220703125,1.7584857892800434,123.25423947170779
3,227.25039672851562,399.9800109863281,1.7600849844243118,122.78614444591128
4,227.69000244140625,402.2699890136719,1.76674419034798,121.51190381287424
5,228.75,402.5350036621094,1.7597158630037568,123.69608199011176
6,228.9199981689453,403.42999267578125,1.762318696062743,123.19388472617854
7,229.17999267578125,396.864990234375,1.7316738062550519,130.35962126899378
8,228.75,399.9200134277344,1.7482842117059427,126.31107222448676
9,228.3249969482422,399.1600036621094,1.7482098280837506,126.08908498755622
10,228.60000610351562,399.989990234375,1.7497374433719386,125.89452483172894
11,228.375,401.0,1.7558839627805145,124.36462393051053
12,229.875,402.4200134277344,1.750603647320215,126.41045738961847
13,229.8800048828125,401.6300048828125,1.747128920967068,127.21203003955017
14,222.5,401.57000732421875,1.804809021681882,110.22004963282617
15,221.39500427246094,407.239990234375,1.8394271883985374,101.99690272115973
16,222.9398956298828,407.1600036621094,1.8263218546493916,105.64646056117883
17,223.19000244140625,407.32000732421875,1.8249921719999618,106.06434484180042
18,222.6199951171875,405.30499267578125,1.820613608685186,106.76232075015739
19,222.7899932861328,404.510009765625,1.8156560974716052,107.95009541005228
20,221.7100067138672,401.6600036621094,1.811645805326598,108.30472278068905
21,219.36000061035156,400.8599853515625,1.8274069303255007,103.67490019928258
22,221.3000030517578,402.7149963378906,1.819769501962923,106.302390160964
23,221.32000732421875,403.1400146484375,1.8215253990022908,105.92359301403863
24,220.77999877929688,404.1600036621094,1.8306006245888635,103.65587937750965
25,219.44500732421875,402.885009765625,1.8359269808785534,101.84628928829827
26,218.69000244140625,401.4599914550781,1.8357491745085217,101.52682005041422
27,216.6300048828125,397.3299865722656,1.8341410590245983,100.89706751632346
28,214.5030059814453,403.8500061035156,1.8827242268970765,89.4624796379932
29,216.89999389648438,406.375,1.8735592966127175,92.47588114359993
30,215.73989868164062,402.9637145996094,1.8678219330873425,93.20669161811932
31,215.1112060546875,401.42999267578125,1.8661510017926548,93.28777861934336
32,214.85000610351562,401.7300109863281,1.8698161488195302,92.3842409503882
33,213.67999267578125,398.3999938964844,1.86447027121056,93.0108664428474
34,214.08999633789062,398.94000244140625,1.8634219686368412,93.41819784186933
35,210.4600067138672,401.55999755859375,1.9080109510047591,82.41087723288749
36,210.1999969482422,400.8299865722656,1.906898156002174,82.54011886138895
37,208.0850067138672,397.93499755859375,1.9123674686748806,80.54828632872054
38,208.4499969482422,396.4800109863281,1.9020389387905507,82.84660641267712
39,209.76499938964844,397.0299987792969,1.892737110264019,85.33501669820029
40,212.27999877929688,399.2749938964844,1.8808884312817542,88.90109011769496
41,214.42999267578125,403.010009765625,1.8794479481934099,90.13377401712788
42,210.47000122070312,396.0899963378906,1.8819308882055006,87.90397140719253
43,211.05999755859375,397.44000244140625,1.8830664599580047,87.91718995096127
44,212.1999969482422,398.6499938964844,1.8786522131464465,89.3412407196266
45,213.39999389648438,400.37420654296875,1.8761678443963847,90.38969853133253
46,215.49000549316406,403.5899963378906,1.8728942691065718,92.00301552695501
47,214.80999755859375,402.42999267578125,1.8734230121948137,91.591816933692
48,214.27999877929688,402.7900085449219,1.8797368435669335,90.00720465171386
49,216.08999633789062,404.9150085449219,1.873825792063848,92.06432092081005
50,216.89500427246094,406.9549865722656,1.876276440470955,91.88436572274222
51,217.24330139160156,407.0299987792969,1.8736135759858799,92.6141165064241
52,216.5,404.7349853515625,1.8694456598224596,93.19168405811328
53,216.95599365234375,405.8800048828125,1.8707941553032446,93.10026731379352
54,213.61500549316406,401.0199890136719,1.8773025241735886,90.2407142426209
55,214.13999938964844,403.0899963378906,1.8823666642700854,89.38373922622989
56,215.42999267578125,385.510009765625,1.7894908920403274,109.9443386083561
57,215.00999450683594,382.55999755859375,1.7792661147499857,111.92391791784164
58,214.02499389648438,382.9700012207031,1.7893704573865374,109.23800672311577
59,211.2949981689453,379.54998779296875,1.7963037037416838,106.35018868859416
60,210.67999267578125,373.20001220703125,1.7714069925061875,111.2791543586159
61,212.2050018310547,374.1000061035156,1.7629179466813527,113.90279261760517
62,212.24000549316406,374.1300048828125,1.7627685412723129,113.95367206054155
63,201.58999633789062,375.3900146484375,1.8621460462712436,88.08612824448565
64,199.07000732421875,375.7300109863281,1.8874265191259527,81.9235345213207
65,199.2899932861328,377.1700134277344,1.8925687497324983,80.99182385408037
66,200.42999267578125,378.8590087890625,1.890231116267668,81.93687071649569
67,197.55999755859375,376.6199951171875,1.9063575611023524,77.54457529359942
68,199.07000732421875,378.5,1.9013411667964102,79.15354550764883
69,201.25999450683594,379.95001220703125,1.8878566162045978,82.76364014001646
70,199.94000244140625,371.3699951171875,1.8574071750650296,88.2937303027762
71,198.13999938964844,368.05999755859375,1.8575754451012811,87.44470454587568
72,198.8300018310547,368.6099853515625,1.8538951966855053,88.48901196188118
73,199.7899932861328,369.6300048828125,1.8500926838384757,89.68711469461633
74,200.83999633789062,370.635009765625,1.8454243005565159,91.10820968387699
75,200.94000244140625,367.2699890136719,1.8277594533262094,94.70430099752
76,201.44000244140625,369.75,1.8355341318442986,93.37957230680601
77,203.7449951171875,365.75,1.795136119979941,102.70540676650646
78,203.6300048828125,365.8349914550781,1.7965672183999275,102.35472294754445
79,203.05999755859375,368.5299987792969,1.8148823166067267,98.3426768832451
80,204.125,369.29998779296875,1.8091854882692897,100.03344480025808
