,txn,avgo,Ratio,Spread
1427,180.5,551.219970703125,3.0538502532029086,21.971017065989347
1428,176.61000061035156,543.60498046875,3.0779965947006964,17.164210127251042
1429,176.91000366210938,545.7000122070312,3.0846193030965914,16.027167500784888
1430,177.38999938964844,546.9099731445312,3.0830936074542095,16.349959906978913
1431,177.75,547.3699951171875,3.0794373846255274,17.039515123430736
1432,178.02000427246094,550.969970703125,3.0949890881918045,14.301734610661786
1433,177.5196075439453,550.4000244140625,3.1005027108220142,13.273781762708698
1434,177.4600067138672,550.75,3.1035161679443517,12.733484958585425
1435,174.24000549316406,539.3699951171875,3.0955577256243174,13.831174073639861
1436,175.60000610351562,541.3709106445312,3.0829777438925308,16.17310029122095
1437,175.07000732421875,539.3099975585938,3.0805390700636988,16.541587060603522
1438,174.92999267578125,537.4288940429688,3.0722512807683597,17.975586762078
1439,175.24000549316406,537.6799926757812,3.0682491201859476,18.71444107086288
1440,177.2100067138672,540.77001953125,3.051577219363274,21.915149288381233
1441,177.66000366210938,540.9199829101562,3.044691949567496,23.202145214522464
1442,176.75,535.5999755859375,3.0302686030321784,25.616270098863854
1443,177.61000061035156,535.5590209960938,3.015365233689887,28.40343415572406
1444,177.72500610351562,532.7999877929688,2.997889826953447,31.52971032389414
1445,177.806396484375,531.3737182617188,2.9884960764525363,33.21588087352674
1446,177.0399932861328,527.2550048828125,2.978168915939014,34.88726608402166
1447,176.8800048828125,527.77001953125,2.9837743383199875,33.8613661379197
1448,177.42999267578125,530.7689819335938,2.991427626914637,32.618660260994915
1449,176.42999267578125,526.7050170898438,2.985348517571781,33.48936054892815
1450,175.74000549316406,525.77001953125,2.9917491925405764,32.22104649330251
1451,175.79100036621094,528.3400268554688,3.005500996949909,29.813879289712734
1452,175.39999389648438,526.4849853515625,3.0016248784038018,30.420333692746087
1453,174.57000732421875,524.989990234375,3.0073321201123715,29.264962106913888
1454,173.3000030517578,522.239990234375,3.0135024872354026,27.95950247792857
1455,174.35000610351562,525.8300170898438,3.0159449307827746,27.72241315113749
1456,174.64999389648438,523.2904052734375,2.9962234386540745,31.21996535400851
1457,173.8800048828125,521.239990234375,2.997699422574021,30.81160176734429
1458,173.80499267578125,518.9949951171875,2.9860764476733386,32.817063062565325
1459,174.08999633789062,519.7899780273438,2.985754431394698,32.9321722449009
1460,173.9499969482422,518.4506225585938,2.9804577847325615,33.824472624850586
1461,173.99000549316406,519.3300170898438,2.9848267181659915,33.072835962029416
1462,173.72000122070312,518.27001953125,2.98336412554368,33.2706384474545
1463,175.63999938964844,529.0700073242188,3.01224099956015,28.601712754611956
1464,175.6649932861328,530.719970703125,3.0212050834662265,27.031561499461052
1465,175.25,530.7000122070312,3.028245433421006,25.726336644044952
1466,176.14999389648438,530.1599731445312,3.009707587364908,29.140294316639913
1467,175.375,528.239990234375,3.0120598160192444,28.585516686178355
1468,176.10000610351562,531.6300048828125,3.018909633485806,27.510638330848085
1469,176.5,531.489990234375,3.0112747322060907,28.927939311472162
1470,175.46499633789062,547.030029296875,3.1176020329631244,10.082859739617763
1471,176.06500244140625,550.4000244140625,3.1261182903015237,8.628842846060454
1472,176.01499938964844,547.8099975585938,3.112291562981483,11.0591967286683
1473,175.61000061035156,547.1599731445312,3.1157677310108625,10.415952895653025
1474,175.86000061035156,547.7999877929688,3.1149777430441103,10.574254386169716
1475,176.02999877929688,547.7899780273438,3.1119126389028304,11.127113279241573
1476,174.22000122070312,544.6400146484375,3.126162385675131,8.49727560817539
1477,173.75,544.75,3.135251798561151,6.886452017351051
1478,174.00999450683594,544.6699829101562,3.130107465687892,7.796700350581066
1479,174.8350067138672,545.6599731445312,3.120999526356593,9.441192355035103
1480,174.99000549316406,547.4500122070312,3.128464455236658,8.146105400658687
1481,175.27000427246094,549.39501953125,3.1345638508526754,7.095208254040674
1482,176.7550048828125,555.4000244140625,3.142202534985017,5.832203185630053
1483,177.52999877929688,556.8599853515625,3.136709227626617,6.847002788747975
1484,179.25,571.8499755859375,3.1902369628225244,-2.650568511594113
1485,179.27000427246094,573.6580810546875,3.19996690680512,-4.3947950461297545
1486,176.35499572753906,566.989990234375,3.21504921306766,-7.035097692219349
1487,177.47500610351562,569.3599853515625,3.2081136259799456,-5.828603373653802
1488,177.0399932861328,570.1201782226562,3.2202903289836073,-7.977907255822085
1489,177.44000244140625,569.239990234375,3.2080702344576886,-5.820384210003933
1490,177.5500030517578,570.9400024414062,3.215657519729644,-7.169135366881417
1491,179.24000549316406,582.0,3.247042971231088,-12.832508030088686
1492,179.14500427246094,584.4000244140625,3.2621619943431455,-15.535896474981794
1493,178.377197265625,580.4099731445312,3.2538350307199373,-13.997656106087586
1494,178.63999938964844,580.7294921875,3.25083684601239,-13.477978441218877
1495,176.3249969482422,574.77001953125,3.2597194355827264,-14.91092102774078
