,crm,adbe,Ratio,Spread
0,252.92999267578125,556.6400146484375,2.200767132279039,5.484528872100575
1,247.2100067138672,549.77001953125,2.223898728207958,-0.4083251801745087
2,252.5500030517578,557.52001953125,2.2075629095003073,3.7566634718561067
3,252.8000030517578,563.97998046875,2.230933440112664,-2.1454792623106664
4,253.13999938964844,569.6199951171875,2.2502172572118635,-7.026869325380269
5,258.29998779296875,577.6799926757812,2.236469299173178,-3.5735250425341087
6,255.4499969482422,569.3599853515625,2.228851016455181,-1.6126248084004624
7,254.5399932861328,569.2899780273438,2.2365443271910324,-3.5730839154793808
8,255.3300018310547,570.530029296875,2.2344809666134733,-3.050410596426084
9,254.1300048828125,567.0599975585938,2.231377588884411,-2.2578994248395725
10,255.4600067138672,564.3699951171875,2.2092303307159966,3.3996999438814077
11,248.22999572753906,554.0,2.231801190570372,-2.362431892820589
12,227.6699981689453,514.4299926757812,2.259542306026823,-8.66738816327561
13,229.14999389648438,514.1199951171875,2.243595936334324,-5.055116373975616
14,228.30999755859375,510.70001220703125,2.236870998502659,-3.50939445585366
15,229.6300048828125,525.8300170898438,2.289901171052065,-15.694102882737049
16,234.83999633789062,529.8900146484375,2.256387425104646,-8.129188149920061
17,237.8300018310547,532.3699951171875,2.23844759289605,-3.937650650058097
18,228.6300048828125,516.9000244140625,2.2608582135971473,-8.995383020288308
19,231.22999572753906,520.5999755859375,2.2514378982187346,-6.8940453054113755
20,226.05999755859375,513.3400268554688,2.270813201802381,-11.169772934289348
21,226.27000427246094,516.5800170898438,2.283024737418614,-13.941180897395192
22,222.94000244140625,510.8500061035156,2.291423703728445,-15.641312465046987
23,218.6300048828125,499.9100036621094,2.2865571627739993,-14.31809040166062
24,223.02999877929688,519.6599731445312,2.3300003407109804,-24.25047312402777
25,215.38999938964844,502.7200012207031,2.3339988051685916,-24.357424132199448
26,211.0,500.80999755859375,2.3735070974340937,-32.24270675875912
27,212.74000549316406,493.04998779296875,2.317617632142121,-20.600270041187834
28,222.1300048828125,518.1599731445312,2.33268789337079,-24.75860503741857
29,232.6300048828125,534.2999877929688,2.2967801942063435,-17.47025514586435
30,232.1199951171875,535.97998046875,2.309064241527993,-20.28821874621881
31,225.00999450683594,533.0900268554688,2.369183769031527,-33.2626161975928
32,212.77000427246094,510.8299865722656,2.4008552724289385,-38.31333335980643
33,219.22999572753906,513.5399780273438,2.3424713225172695,-26.609321506808193
34,216.97000122070312,507.1000061035156,2.3371894881803987,-25.21201388436399
35,217.42999267578125,511.30999755859375,2.351607481866722,-28.39563891136104
36,222.0399932861328,521.75,2.3498019085581783,-28.549472321443353
37,217.6699981689453,495.0199890136719,2.2741764743777892,-11.570112634491672
38,207.89999389648438,473.9700012207031,2.279798052599741,-12.319669760807848
39,206.39999389648438,474.010009765625,2.296560192745717,-15.706587525728573
40,214.25,479.5,2.23803967327888,-3.6810725568345584
41,211.74000549316406,477.70001220703125,2.2560687626998934,-7.481567268582901
42,200.02999877929688,457.7099914550781,2.2882067402304616,-13.619766141223216
43,196.83999633789062,442.55999755859375,2.248323540907338,-5.587537966713037
44,195.1300048828125,438.3999938964844,2.2467072358234725,-5.242991749350474
45,190.5399932861328,429.45001220703125,2.253857601234029,-6.534578148449818
46,204.2899932861328,463.82000732421875,2.2704000321473545,-10.224572082314843
47,208.08999633789062,465.5400085449219,2.237205135940275,-3.4657298030500465
48,210.52999877929688,467.67999267578125,2.221441102871331,-0.1614028219346233
49,208.88999938964844,466.67999267578125,2.2340944709625368,-2.820688873939141
50,210.38999938964844,471.17999267578125,2.239555083619455,-3.9737796539402916
51,204.75,459.0799865722656,2.242148896567842,-4.458150855759393
52,203.00999450683594,452.1300048828125,2.2271317527058403,-1.390596118252554
53,196.22999572753906,437.9700012207031,2.2319217793227426,-2.35861940681614
54,192.0800018310547,431.5299987792969,2.246615965564453,-5.178385522131443
55,203.16000366210938,450.8699951171875,2.2192852283418105,0.2041249972850414
56,200.14999389648438,438.95001220703125,2.1931052989891766,5.407954949536779
57,197.89999389648438,416.3800048828125,2.1039920046718574,22.957598443757284
58,193.1199951171875,411.5,2.130799556774517,17.172122002561956
59,196.13999938964844,421.6600036621094,2.149790990997439,13.75057176974277
60,205.57000732421875,442.3599853515625,2.151870261180104,14.091510414206617
61,210.41000366210938,444.3599853515625,2.1118767055636094,22.890862659571006
62,218.8000030517578,453.3299865722656,2.0718920486716312,32.641238980867136
63,213.72000122070312,453.5899963378906,2.1223563248508497,21.046359237930254
64,218.2100067138672,466.45001220703125,2.1376197142905293,18.204770557400387
65,211.11000061035156,422.8999938964844,2.0032210348814137,45.9127382746777
66,213.97999572753906,432.1400146484375,2.019534644718293,43.07645960210217
67,211.02999877929688,431.6199951171875,2.045301604577044,37.01423114332541
68,215.27999877929688,450.010009765625,2.090347511693231,28.107125951551232
69,221.2899932861328,466.3299865722656,2.107325232593282,25.19708649629157
70,214.94000244140625,460.05999755859375,2.1404112418953214,17.298513573214528
71,212.32000732421875,455.6199951171875,2.1459117341751157,15.892592138576298
72,212.25,458.19000244140625,2.1587279266968493,13.16637937509406
73,218.85000610351562,468.80999755859375,2.1421520881148504,17.27279844450984
74,210.13999938964844,458.5799865722656,2.182259388522942,8.068408246242164
75,200.82000732421875,444.3299865722656,2.2125782808826724,1.5229633301738863
76,200.16000366210938,452.7200012207031,2.261790532263084,-8.339699546228168
77,197.1699981689453,445.3399963378906,2.2586600419618637,-7.631212632027634
78,195.4499969482422,434.44000244140625,2.222768018545694,-0.5690106981969416
