,cb,blk,Ratio,Spread
0,204.1300048828125,765.9400024414062,3.752216646842874,-93.5181108521863
1,203.8699951171875,762.9000244140625,3.742090757276647,-91.33884396662633
2,203.66000366210938,762.3900146484375,3.7434449618949848,-91.52396957266957
3,205.0500030517578,759.219970703125,3.702608921744254,-83.75260629280343
4,204.7949981689453,756.5800170898438,3.6943285912954975,-81.95679614205098
5,204.56500244140625,755.280029296875,3.6921272958858666,-81.41816392655336
6,203.63999938964844,755.030029296875,3.707670553721555,-84.23020442690985
7,204.80999755859375,760.1849975585938,3.711659619258155,-85.5121240842533
8,204.8800048828125,756.1599731445312,3.690745583382041,-81.25535420548978
9,204.8699951171875,756.0499877929688,3.690389055559362,-81.17850421243737
10,206.07000732421875,755.5700073242188,3.6665695174914426,-76.72611957499932
11,205.10000610351562,748.8699951171875,3.651243163489848,-73.2371054479678
12,205.1300048828125,748.0,3.6464680066054718,-72.26780527768473
13,204.85499572753906,742.9949951171875,3.626931295858582,-68.1731640632038
14,203.02499389648438,743.1500244140625,3.6603868821834307,-74.38605415498911
15,204.26499938964844,748.489990234375,3.664308581846579,-75.62122590622529
16,203.08999633789062,745.47998046875,3.6706878423911093,-76.5008324242307
17,202.94000244140625,744.8300170898438,3.6701981281629994,-76.34739431080176
18,203.0,741.5700073242188,3.6530542232720133,-72.88877443898583
19,203.61000061035156,747.239990234375,3.669957212290216,-76.53947041750531
20,202.67999267578125,738.7000122070312,3.6446617273600306,-71.07810056977304
21,201.92999267578125,735.989990234375,3.6447779771679603,-70.85080594693831
22,202.57940673828125,736.4600219726562,3.6354140523479384,-69.17108027944961
23,201.36000061035156,732.8699951171875,3.6396006798557385,-69.61765734978202
24,195.5,716.3699951171875,3.664296650215793,-72.51603573016872
25,195.25,717.3900146484375,3.674212623039373,-74.36363104469253
26,194.39999389648438,714.7061157226562,3.676471904125823,-74.49350998652905
27,194.11000061035156,714.8900146484375,3.6829118149532043,-75.63737459597236
28,195.38999938964844,720.6599731445312,3.6883155504155813,-77.17014912260164
29,197.36000061035156,725.280029296875,3.674908933187518,-75.26890406185045
30,198.97000122070312,731.6099853515625,3.6769863841938673,-76.26927005180598
31,202.156005859375,739.0,3.6555926046247063,-73.11264356279209
32,203.80999755859375,743.969970703125,3.650311464673069,-72.60740036187975
33,205.39999389648438,745.7100219726562,3.630526018167617,-69.0840817724817
34,205.86000061035156,747.6400146484375,3.631788654579664,-69.4913127821036
35,207.11000061035156,746.27001953125,3.6032543929892236,-63.983438748547094
36,206.8800048828125,747.5800170898438,3.6135924180459664,-66.05479188461187
37,207.0399932861328,750.9600219726562,3.6271254169469405,-68.90518665465426
38,201.38999938964844,738.8099975585938,3.6685535518034715,-75.45835473809281
39,202.9949951171875,747.489990234375,3.682307486462189,-78.82532502839707
40,202.69500732421875,743.64501953125,3.66878804440289,-75.97340485622682
41,202.093994140625,739.1810302734375,3.657610080975915,-73.4989514230963
42,201.5399932861328,736.260009765625,3.65317075663654,-72.41184167964674
43,202.0399932861328,740.2000122070312,3.6636311463282727,-74.69669255450539
44,203.69000244140625,743.6599731445312,3.6509399785512473,-72.69462301566786
45,200.8300018310547,730.0800170898438,3.6353135011372104,-68.58213594208134
46,200.52000427246094,723.530029296875,3.608268571118534,-63.05833403857742
47,198.8800048828125,720.3400268554688,3.6219831514984118,-65.29722671499862
48,198.4199981689453,717.1099853515625,3.614101360594596,-63.5899468772517
49,199.02499389648438,719.30810546875,3.6141596660109534,-63.78534774205742
50,199.77000427246094,716.0800170898438,3.584522209416392,-58.09104918136757
51,199.47000122070312,714.7000122070312,3.582994975852299,-57.704145340727116
52,202.5399932861328,734.3800048828125,3.6258518279169554,-67.22153366373904
53,203.93499755859375,738.0900268554688,3.6192415999779723,-66.31366862258655
54,205.23500061035156,741.1500244140625,3.6112262635999945,-65.07026200591316
55,204.89999389648438,741.5700073242188,3.6191802314003994,-66.5992186905918
56,205.1300048828125,738.9199829101562,3.6022033116622283,-63.18778818784097
57,204.22000122070312,737.5599975585938,3.611595304817883,-64.8401908100873
58,204.3000030517578,738.4099731445312,3.61434146898892,-65.42533608403109
59,204.39999389648438,742.8963012695312,3.6345221303957627,-69.5806642024519
60,203.82000732421875,735.3800048828125,3.607987334202355,-63.98429918305727
61,204.47999572753906,735.3635864257812,3.596261745846386,-61.7831190467083
62,206.44000244140625,742.9400024414062,3.59881802778158,-62.87131869653104
63,206.6999969482422,743.3800048828125,3.5964200089899148,-62.450660507370806
64,206.27850341796875,741.4099731445312,3.594218306123059,-61.875900122933
65,206.17999267578125,737.7100219726562,3.5779903394055688,-58.50204936956482
66,202.11000061035156,712.1199951171875,3.5234278015271774,-46.38492999996061
67,203.6999969482422,706.5499877929688,3.4685812389702435,-35.551552816812666
68,204.11000061035156,710.6649780273438,3.4817744152772394,-38.309306643926455
69,205.47999572753906,705.6887817382812,3.4343429842874125,-28.798011226113097
70,204.6999969482422,700.8699951171875,3.423888644680344,-26.561257007936213
71,203.77999877929688,696.614990234375,3.418465965292507,-25.35172494622521
72,205.57000732421875,696.3900146484375,3.387605145871851,-19.20127846576566
73,202.27000427246094,683.3499755859375,3.378404910030328,-17.085249844723315
74,202.92999267578125,685.0900268554688,3.3759919754692382,-16.640539434936734
75,200.75,681.1199951171875,3.392876688005915,-19.886944281418785
76,200.0399932861328,680.8709716796875,3.4036742378099594,-21.98825829335204
77,200.1699981689453,678.2150268554688,3.3881951993777264,-18.901957898241342
78,199.86500549316406,678.489990234375,3.3947413083156333,-20.18653948735733
