,ibm,acn,Ratio,Spread
0,121.38019561767578,390.9070739746094,3.2205177457934844,-108.26227166935259
1,121.05625915527344,380.5878601074219,3.143892457632107,-98.7036393654811
2,122.87600708007812,387.6021728515625,3.154417058807605,-101.44530335861488
3,123.61914825439453,398.2568359375,3.2216435848427905,-110.35511971771486
4,124.45758056640625,397.8819274902344,3.1969280270392075,-108.01162720345265
5,125.4007797241211,409.7401123046875,3.267444693773887,-117.65524226995917
6,126.36306762695312,409.6809387207031,3.242093963167752,-115.33667981672495
7,127.0490493774414,409.8289794921875,3.2257540020992552,-113.8740804388316
8,127.58258056640625,408.26031494140625,3.1999690955373667,-111.05271965629147
9,127.34439849853516,408.9706115722656,3.211532006073828,-112.32225215764147
10,129.61192321777344,401.72943115234375,3.099478976770984,-99.75707244777921
11,131.49838256835938,398.85858154296875,3.0331824145108577,-92.45694003596812
12,131.68893432617188,391.83441162109375,2.9754543434195027,-84.98536708704633
13,128.9450225830078,372.9125671386719,2.8920276228468684,-72.50604737549965
14,128.45912170410156,365.7601318359375,2.847288125466447,-66.49447546108031
15,128.649658203125,367.9798583984375,2.8603251927605897,-68.26683482316925
16,126.59172058105469,370.0614318847656,2.9232672578126553,-75.18031084431273
17,127.27770233154297,373.07818603515625,2.93121402414488,-76.58642484532562
18,128.3924102783203,357.4306640625,2.783892469092886,-58.321641739072064
19,127.868408203125,349.5079650878906,2.7333410183122067,-51.629265262205664
20,126.65843200683594,344.48333740234375,2.7197821096012897,-49.4455823104616
21,125.36267852783203,339.99285888671875,2.7120739830972598,-47.99744796141836
22,124.63859558105469,338.95428466796875,2.7194969831599294,-48.658973001474024
23,123.2380599975586,331.97125244140625,2.693739681134081,-44.96430644907896
24,122.73310852050781,335.3045349121094,2.73198111702746,-49.483181862811094
25,129.66909790039062,331.2986755371094,2.554954734023112,-29.19207442844937
26,127.91604614257812,326.2938537597656,2.5508438041938155,-28.303303177318934
27,126.25827026367188,329.7259826660156,2.6115198788755087,-35.62778109625886
28,128.14468383789062,339.112548828125,2.6463255335439366,-40.58517193583937
29,127.2586669921875,349.7255554199219,2.7481472475378967,-53.27848795816949
30,129.12603759765625,349.56732177734375,2.7071791892705668,-48.735790634458525
31,130.7647705078125,355.5513916015625,2.7190151462111136,-50.87222308738343
32,131.2697296142578,341.7831115722656,2.603670416451768,-35.918332201739716
33,130.6694793701172,343.71185302734375,2.6303912335472828,-39.25642185332386
34,130.7552490234375,340.21044921875,2.601887509370796,-35.553636525269
35,130.545654296875,341.308349609375,2.614475000701308,-37.143651584336865
36,131.27923583984375,351.6543273925781,2.678674393120208,-45.76722802798993
37,128.7433319091797,338.6575927734375,2.6304864706495175,-38.72462948139794
38,127.94303131103516,325.591552734375,2.544816621882653,-27.53764274663264
39,125.49388885498047,322.5747985839844,2.5704422862913168,-30.27131441800692
40,125.2914047241211,325.8190612792969,2.6004901293645584,-33.990996569510244
41,124.55860137939453,330.08209228515625,2.6500144400285555,-39.97460175649725
42,120.49921417236328,319.3899230957031,2.650556066190146,-38.81360743118735
43,119.9013900756836,317.67877197265625,2.6495003249931677,-38.506108069564746
44,119.48677825927734,317.6095275878906,2.658114414121216,-39.41034503096468
45,117.70296478271484,309.7462158203125,2.631592300093022,-35.73531028723973
46,117.60653686523438,312.723388671875,2.659064683030549,-38.93888956332354
47,119.73747253417969,318.9942932128906,2.6641141362143923,-40.206496944172116
48,118.1272201538086,312.5750427246094,2.646088194724453,-37.56801341158713
49,117.00872039794922,307.9559326171875,2.631905823513176,-35.57506735674242
50,119.4289321899414,314.8598327636719,2.636378195719899,-36.79646898281369
51,121.42487335205078,315.47308349609375,2.59809275305096,-32.723380801407714
52,122.0901870727539,310.7353210449219,2.545129371124264,-26.423505378959828
53,121.55986022949219,301.6949157714844,2.481862970242942,-18.62827274377703
54,121.1838150024414,298.33197021484375,2.461813652333304,-16.14825671148419
55,121.70449829101562,306.0469970703125,2.514672845850803,-22.640753362482155
56,119.9013900756836,306.1458740234375,2.5533138008674756,-26.973210120345993
57,119.52534484863281,308.18341064453125,2.578393821283808,-29.89367626578753
58,119.50606536865234,304.325927734375,2.546531230825735,-26.08146030988122
59,121.14524841308594,312.7827453613281,2.58188207510037,-30.689583679786335
60,122.49516296386719,321.3681335449219,2.623516927274238,-36.105461053260356
61,123.38224792480469,316.01708984375,2.561284910584111,-28.67160005705382
62,124.15361785888672,320.4185791015625,2.5808235364172067,-31.261963311920862
63,123.51724243164062,320.96258544921875,2.5985245390080034,-33.30013741618349
64,124.4428939819336,323.9002380371094,2.602802198445599,-34.06442088722169
65,123.71009063720703,317.00616455078125,2.562492379707614,-28.89092158202119
66,124.6260986328125,321.7439880371094,2.581674236510186,-31.4780183852808
67,126.65098571777344,324.1376037597656,2.559297915628288,-29.117332066121673
68,126.76667785644531,327.1345520019531,2.580603653370256,-31.842642756173642
69,127.21985626220703,336.9761047363281,2.6487697332545483,-40.620162322565264
70,127.40306091308594,334.7703857421875,2.6276479022004584,-37.984290826483814
71,125.36856079101562,333.5538330078125,2.6605859627265995,-41.54461091443666
72,125.49388885498047,336.9266662597656,2.684805366491709,-44.623182093788174
73,125.60961151123047,340.7148742675781,2.712490470819708,-48.13968089619364
74,124.27897644042969,339.0828857421875,2.728401017244612,-49.631936226672806
75,124.7610855102539,336.55078125,2.6975621434645136,-45.96787126515018
76,123.95114135742188,338.0443115234375,2.7272383926555612,-49.36309727666885
77,123.16048431396484,335.22540283203125,2.721858432916384,-48.40059945577589
