,amzn,tgt,Ratio,Spread
0,142.427001953125,215.8800048828125,1.5157238579933183,-7.575801201483353
1,142.57675170898438,215.35000610351562,1.510414590893962,-6.8252398477489695
2,142.1999969482422,215.95140075683594,1.5186456075342794,-7.981546924692333
3,138.95774841308594,211.58749389648438,1.5226750311719843,-8.393064770554412
4,138.87249755859375,211.6999969482422,1.5244198863703788,-8.631131619273953
5,141.45199584960938,214.6699981689453,1.5176173151857166,-7.801855969316614
6,143.06100463867188,215.6300048828125,1.507259126464459,-6.391994907629817
7,141.52099609375,214.60000610351562,1.516382812634775,-7.630235214096183
8,140.00100708007812,212.66000366210938,1.518989099417489,-7.9289856043608555
9,140.18800354003906,212.7100067138672,1.517319608971499,-7.703566366559722
10,140.02426147460938,212.32000732421875,1.516308710278174,-7.55473846522275
11,139.70950317382812,212.1699981689453,1.5186511536367073,-7.868328737858144
12,138.8000030517578,211.5399932861328,1.5240633186964025,-8.57790325685408
13,140.77549743652344,214.59649658203125,1.5243881249916675,-8.724751543365182
14,141.2469940185547,214.2550048828125,1.5168818732855103,-7.6888046220026585
15,141.2624969482422,214.30740356445312,1.5170863335579732,-7.718369436144963
16,140.53298950195312,213.5800018310547,1.5197855150451087,-8.065440509072483
17,141.76600646972656,216.0760040283203,1.5241735971060333,-8.745363640455475
18,143.94100952148438,217.72000122070312,1.5125640840264263,-7.185854625084284
19,147.23699951171875,218.2530059814453,1.4823244612783237,-2.8642802688558735
20,147.17840576171875,218.1999969482422,1.4825544265067465,-2.8975724671424476
21,148.22450256347656,219.94500732421875,1.4838640273393946,-3.1018136954001765
22,147.81649780273438,220.06500244140625,1.4887715898606237,-3.822748559671931
23,149.06149291992188,220.4199981689453,1.4787185734638948,-2.3440229122868406
24,148.45700073242188,219.27000427246094,1.4769933596305913,-2.08437005400466
25,149.5655059814453,220.44000244140625,1.4738692654759142,-1.621679273983
26,149.63160705566406,216.99000549316406,1.4501615652129043,1.925676251033542
27,149.4312286376953,218.0399932861328,1.4591327078945688,0.5805562257931796
28,149.90150451660156,217.39999389648438,1.4502856031869071,1.9132128952627225
29,150.22674560546875,217.14999389648438,1.4454815819998659,2.6422521528677176
30,149.69900512695312,217.75999450683594,1.4546522491726868,1.2549561278538646
31,150.7864990234375,219.13999938964844,1.4533131335291922,1.4766931117788487
32,151.19351196289062,219.24000549316406,1.4500622589345962,1.9761659272102519
33,151.82449340820312,216.43499755859375,1.4255604790768213,5.71053024838543
34,150.05250549316406,216.56500244140625,1.4432614885678954,2.970609815659122
35,149.8249969482422,216.02239990234375,1.4418314987649878,3.178120854327977
36,149.74649047851562,216.6699981689453,1.446912027631334,2.414892422097614
37,149.09950256347656,216.6999969482422,1.4533918170249152,1.4319617374894504
38,150.0,217.97000122070312,1.453133341471354,1.4882770422070222
39,150.58999633789062,217.61000061035156,1.445049511270874,2.7172681256786912
40,142.43174743652344,216.32000732421875,1.518762573776781,-8.008814142110106
41,140.85250854492188,216.82000732421875,1.539340758386768,-10.83483459926921
42,140.71249389648438,216.2100067138672,1.536537380063229,-10.4310579733316
43,140.6927032470703,215.5030975341797,1.5317290275938114,-9.75329793355092
44,140.39849853515625,216.02999877929688,1.538691660047933,-10.71352575271842
45,139.57974243164062,215.0800018310547,1.5409112961817537,-10.969453668870779
46,138.89999389648438,213.22000122070312,1.535061271346102,-10.110637240916015
47,155.5644989013672,212.57000732421875,1.3664429148387824,15.084078645334989
48,155.7060089111328,212.0800018310547,1.3620540614594816,15.782510602258332
49,157.24131774902344,213.1300048828125,1.3554325792600792,16.99382455832137
50,159.81649780273438,213.35800170898438,1.3350186285044092,20.55874438184339
51,160.57749938964844,214.36500549316406,1.3349629076798477,20.672600315915396
52,160.36294555664062,214.875,1.339929241472467,19.846594971585496
53,157.60250854492188,214.08999633789062,1.3584174409055676,16.565821762251836
54,162.04949951171875,211.8000030517578,1.3070080666089394,25.40567398143134
55,159.8300018310547,211.67999267578125,1.324407121633732,22.256643151991405
56,159.70401000976562,211.16140747070312,1.3222047928401484,22.589658235087605
57,159.05874633789062,211.81500244140625,1.331677806585026,20.985670952604018
58,160.30174255371094,212.22500610351562,1.3239095391143811,22.406444534865365
59,159.41200256347656,211.4499969482422,1.3264371160762787,21.870978479679117
60,157.92599487304688,211.32000732421875,1.3380951469965037,19.812265491439838
61,156.03399658203125,212.05999755859375,1.3590627824950194,16.28559950255036
62,159.02450561523438,213.80999755859375,1.3445097454093955,18.940243553264715
63,159.97000122070312,214.05999755859375,1.3381258731333332,20.08283977931385
64,159.8780059814453,213.83999633789062,1.3375197859467167,20.16734357172232
65,159.76300048828125,212.49000549316406,1.3300326411230012,21.34794577537128
66,161.0489959716797,212.8800048828125,1.3218337910051128,22.85205614841076
67,161.40899658203125,212.8699951171875,1.3188236072640644,23.392301579279724
68,162.05699157714844,215.72999572753906,1.331198324910525,21.486716176655683
69,161.6999969482422,217.0,1.341991367318693,19.690903671920445
70,161.57049560546875,216.17999267578125,1.3379917655489577,20.320171789979504
71,161.61099243164062,216.60000610351562,1.3402554049356181,19.959805098800764
72,161.61898803710938,216.6699981689453,1.3406221682268897,19.90158955558477
73,160.85450744628906,216.4949951171875,1.345905679326253,18.950608753471194
74,161.21450805664062,216.64999389648438,1.3438616443897669,19.325845639418283
75,159.7587127685547,216.11000061035156,1.3527274779900986,17.72163538577528
76,159.84950256347656,216.57000732421875,1.3548369175451038,17.395350632159087
77,160.22850036621094,217.0500030517578,1.3546279379491055,17.47357104726104
78,158.4530029296875,214.39999389648438,1.3530825540215417,17.508495568442903
