,crm,ibm,Ratio,Spread
0,255.21499633789062,134.71499633789062,0.52784906165755,62.60600875857458
1,255.82000732421875,134.3800048828125,0.5252912244369661,63.41060813465038
2,255.86000061035156,134.60000610351562,0.5260689665536958,63.22164959644247
3,256.135009765625,134.47500610351562,0.5250161086005629,63.56011097248638
4,255.02499389648438,134.39999389648438,0.5270071448410184,62.77353180950761
5,255.39999389648438,134.16000366210938,0.5252936839007345,63.304596048080306
6,254.11000061035156,133.64999389648438,0.525953302016717,62.813316450551106
7,251.4600067138672,134.62100219726562,0.5353575065733971,59.785389924305356
8,251.91639709472656,135.32000732421875,0.537162363723927,59.44063379904305
9,252.4600067138672,135.32000732421875,0.5360057186308624,59.86258214187945
10,253.3000030517578,135.8249969482422,0.5362218527904578,60.0095954447393
11,254.8800048828125,135.85000610351562,0.5329959333843237,61.21097951507864
12,256.29998779296875,136.22500610351562,0.5315060967289393,61.938166479215944
13,255.4600067138672,136.02999877929688,0.532490390684362,61.481182720382954
14,249.7899932861328,139.22000122070312,0.5573481923322186,53.89013091293564
15,247.25999450683594,139.3800048828125,0.5636981637923603,51.76634891667897
16,246.1300048828125,139.05999755859375,0.5649859618895431,51.20926129538743
17,244.5399932861328,138.80999755859375,0.5676372019695531,50.22509851627718
18,245.4600067138672,138.69000244140625,0.5650207718077561,51.059205613001474
19,247.67999267578125,138.7100067138672,0.5600371883708901,52.76234854906591
20,248.1699981689453,138.05999755859375,0.5563121996100729,53.79269866693705
21,233.57000732421875,139.91000366210938,0.5990067186490265,40.61021843962309
22,236.97000122070312,140.12989807128906,0.5913402428553749,43.029390264303295
23,233.6199951171875,141.8350067138672,0.6071184388250693,38.724015780026384
24,232.11000061035156,141.32969665527344,0.6088910270287184,38.057272112163396
25,230.0,140.6750030517578,0.6116304480511209,37.07418884497336
26,227.42999267578125,139.1199951171875,0.6117046985773492,36.63436391906959
27,227.66000366210938,138.22000122070312,0.6071334402060707,37.712891732353945
28,231.05999755859375,134.1269989013672,0.5804855895376454,44.444960285549776
29,232.14999389648438,132.85000610351562,0.572259356434674,46.56800534641642
30,231.3350067138672,134.76010131835938,0.5825322472056336,44.0253192446015
31,229.87989807128906,135.32000732421875,0.5886552432794888,42.335961774374404
32,230.6300048828125,135.50999450683594,0.5875644609888949,42.728205506973474
33,230.24000549316406,135.56500244140625,0.5887986414482224,42.37048108179079
34,229.14999389648438,135.33999633789062,0.5906174992045986,41.74942307845979
35,228.35000610351562,134.41000366210938,0.5886139700875621,42.05846735368451
36,228.61000061035156,134.17999267578125,0.5869384205307837,42.49028538581036
37,228.38499450683594,134.77499389648438,0.5901219306789892,41.72063502505598
38,227.9219970703125,134.55999755859375,0.5903774066927066,41.57625398219421
39,228.0449981689453,134.5850067138672,0.5901686412528152,41.6467179530535
40,229.08999633789062,134.97999572753906,0.5892007415655708,42.06285374315278
41,228.3000030517578,134.80999755859375,0.5904949441811046,41.61966122120746
42,221.24000549316406,133.91000366210938,0.6052702962269948,37.03970376034278
43,222.64999389648438,134.5749969482422,0.6044239866937051,37.46913972868138
44,221.27000427246094,135.59500122070312,0.6128033560922164,35.37799117457832
45,225.0,135.60899353027344,0.6027066379123264,38.259211643821665
46,227.7899932861328,135.6909942626953,0.5956846141711344,40.34279629134483
47,227.57000732421875,135.00999450683594,0.5932679622165119,40.85304352773324
48,229.74000549316406,135.0,0.5876207746674618,42.54738485093345
49,231.1300048828125,129.5,0.5602907336313131,49.12629868607301
50,234.64999389648438,130.61000061035156,0.5566162540279888,50.748504200898516
51,234.97999572753906,131.07000732421875,0.5577921938350673,50.544644031985094
52,235.99000549316406,131.49819946289062,0.5572193584558383,50.90041879133788
53,235.67999267578125,131.8300018310547,0.5593601745075143,50.3279852975519
54,235.5500030517578,132.59500122070312,0.5629165761104566,49.46208830692036
55,234.8699951171875,132.8300018310547,0.5655469178375878,48.6992673434979
56,239.1199951171875,131.8800048828125,0.5515222799255285,52.948103005980734
57,237.4199981689453,132.07000732421875,0.5562716213578575,51.43856744764452
58,237.75,132.83999633789062,0.5587381549438092,50.92472497892641
59,238.7100067138672,133.35000610351562,0.5586276333331821,51.15986987533342
60,238.75,133.16419982910156,0.5577558108025197,51.376718832242695
61,237.5449981689453,133.27999877929688,0.5610726380544805,50.3256006606323
62,237.94000244140625,133.61000061035156,0.5615281131353842,50.3022000969387
63,234.00729370117188,134.6699981689453,0.5754948747064241,46.18964445737607
64,232.25999450683594,135.19000244140625,0.582063229306704,44.31339119017705
65,230.6750030517578,134.69000244140625,0.5838950933542856,43.58312503164709
66,231.24000549316406,134.94000244140625,0.5835495555953676,43.77167842631801
67,231.0399932861328,135.47999572753906,0.5863919653068596,43.07643619621451
68,229.6999969482422,134.80999755859375,0.5868959484094821,42.70633276601294
69,228.66000366210938,134.77000427246094,0.589390370480403,41.93908602512335
70,231.49000549316406,134.2261962890625,0.5798358162509363,44.67953391479356
71,230.10000610351562,134.61000061035156,0.585006506039788,43.21681575836494
72,230.75,133.9600067138672,0.5805417409051665,44.371333191259374
73,228.7100067138672,134.0,0.5858947840775665,42.74790253357694
74,228.72999572753906,133.67999267578125,0.5844445204948964,43.08342527712754
75,230.47000122070312,133.92999267578125,0.5811168133223853,44.18401292038423
76,231.11000061035156,134.2100067138672,0.5807191655896514,44.400764709042456
77,229.00999450683594,132.6699981689453,0.5793196862636715,44.31075409292456
78,227.3800048828125,133.6699981689453,0.5878705044352356,42.04556047515067
79,227.8000030517578,133.07000732421875,0.5841527899101225,42.97155278331886
