,acn,ma,Ratio,Spread
0,325.57000732421875,373.82000732421875,1.148201612293943,7.359704644493714
1,324.010009765625,372.8599853515625,1.1507668717434794,6.487642916752289
2,322.9100036621094,373.70001220703125,1.157288433213324,4.355752980160727
3,325.30499267578125,372.13250732421875,1.1439495725634579,8.735967607554581
4,323.1300048828125,371.67498779296875,1.1502335969318658,6.639150010447789
5,322.1400146484375,371.0899963378906,1.1519525034568399,6.061482612658036
6,320.4599914550781,369.4100036621094,1.1527492152289252,5.768431746231155
7,322.7716064453125,373.4100036621094,1.1568861579073766,4.483225831563626
8,321.6000061035156,371.19500732421875,1.1542133093266784,5.322277779181373
9,321.25,369.9599914550781,1.1516264325449903,6.146241417016764
10,326.9100036621094,373.1600036621094,1.1414762457003411,9.593419390776202
11,322.50390625,369.8999938964844,1.1469628327842443,7.67884461514927
12,321.67999267578125,368.2550048828125,1.144786785835244,8.356217608175992
13,320.010009765625,366.8599853515625,1.1464015941884143,7.789985051058689
14,319.0899963378906,366.3299865722656,1.14804597692355,7.2395067515204765
15,322.5,370.1400146484375,1.1477209756540698,7.4342363066866675
16,321.1000061035156,368.2799987792969,1.1469323942042264,7.650079090891548
17,320.69000244140625,364.239990234375,1.135800890147568,11.208573403745614
18,318.7799987792969,363.1328125,1.1391329879244092,10.072615206417705
19,320.4599914550781,367.9100036621094,1.1480684437129893,7.268431746231155
20,317.260009765625,362.8999938964844,1.1438567191767277,8.520336723472436
21,315.281005859375,361.5,1.1465961896900319,7.5961598033483675
22,315.0,362.3299865722656,1.15025392562624,6.436155884682986
23,313.1499938964844,361.4599914550781,1.1542711112891262,5.133477070930152
24,307.29998779296875,351.2900085449219,1.143150089487116,8.433128184452467
25,309.8399963378906,356.5199890136719,1.150658382479695,6.186170495697748
26,307.8699951171875,355.1499938964844,1.1535713110376353,5.242567680419764
27,308.260009765625,358.5299987792969,1.163076582823354,2.3206016428492795
28,311.9800109863281,364.5596923828125,1.1685354174783606,0.6597312880401172
29,312.5050048828125,367.2699890136719,1.1752451425582637,-1.4340049160039745
30,316.3599853515625,369.5899963378906,1.1682577236409182,0.7733325900569492
31,318.7200012207031,367.3399963378906,1.1525476748587227,5.794969367764505
32,321.7200012207031,369.3399963378906,1.1480168933746824,7.318212767034705
33,320.2900085449219,371.9100036621094,1.1611664233664274,3.068801357498952
34,320.9200134277344,369.8500061035156,1.152467875571741,5.868685764385074
35,321.44000244140625,369.5799865722656,1.1497635134557795,6.749387915672568
36,321.42498779296875,367.4200134277344,1.143097230711855,8.891727639870563
37,322.55999755859375,369.19000244140625,1.1445622682159837,8.454710514480492
38,314.1600036621094,359.1099853515625,1.1430798993044273,8.669653254424698
39,319.1700134277344,363.8201904296875,1.1398946490067516,9.84327612197222
40,314.69000244140625,362.07501220703125,1.1505767879437094,6.327064632548964
41,313.760009765625,360.2825012207031,1.1482741267436531,7.027378766771786
42,312.6099853515625,356.76300048828125,1.141239938599735,9.196274190578546
43,313.3900146484375,357.44000244140625,1.140559640492644,9.435349927937633
44,316.239990234375,360.6099853515625,1.1403048206657973,9.612419574859867
45,314.3599853515625,354.44000244140625,1.1274971973453316,13.574497553694524
46,314.94000244140625,352.0799865722656,1.1179271729311973,16.61569388392041
47,313.57000732421875,351.1000061035156,1.1196861877816406,15.986732268115983
48,311.3999938964844,346.32000732421875,1.1121387736421808,18.218235885548605
49,312.29998779296875,346.8349914550781,1.110582789023365,18.760217606413217
50,311.8800048828125,344.42498779296875,1.1043509760184367,20.67698726318451
51,311.510009765625,344.4700012207031,1.1058071664530995,20.197446217319108
52,315.67999267578125,342.70001220703125,1.085593069431552,26.864723485416842
53,318.4100036621094,346.6199951171875,1.0885964358237126,26.150904971099177
54,318.92999267578125,344.4200134277344,1.0799235610865419,28.961569280589796
55,319.260009765625,343.9601135253906,1.077366732457029,29.809046027412986
56,318.67999267578125,344.80999755859375,1.0819944944249973,28.277981533124542
57,318.8299865722656,345.0979919433594,1.082388754124104,28.166142150265383
58,318.1199951171875,344.239990234375,1.0821073667738663,28.190319623369017
59,319.5350036621094,345.29998779296875,1.080632743942208,28.792128570044266
60,317.7300109863281,343.114990234375,1.079894811224298,28.857316618412195
61,318.125,345.7149963378906,1.0867269040090863,26.721191326631125
62,321.95001220703125,349.05999755859375,1.0842055732991533,27.868339776111608
63,321.8999938964844,347.7799987792969,1.0803976557114658,29.08959632791618
64,319.5199890136719,344.375,1.0777885948952777,29.69948294267976
65,318.95001220703125,340.989990234375,1.0691016685493573,32.41510370106016
66,313.0,329.85009765625,1.0538341778154952,36.567215867851814
67,312.0,325.7749938964844,1.044150621463091,39.46790516119404
68,314.4100036621094,329.0,1.046404364263073,39.07324222259308
69,312.55999755859375,331.04998779296875,1.0591566111428217,34.850580498683996
70,312.45001220703125,331.135009765625,1.0598015581007978,34.63639013805806
71,311.8699951171875,330.8699951171875,1.0609228213597803,34.22022432541024
72,313.8999938964844,330.7699890136719,1.0537432158178084,36.70429036215398
73,305.67999267578125,318.2099914550781,1.0409905753713715,39.610599573135914
74,308.54998779296875,321.135009765625,1.0407876275175891,40.056145046778624
75,308.3699951171875,319.6700134277344,1.036644350907917,41.30975538238147
76,308.75,318.07000732421875,1.0301862585399797,43.35604471758364
77,307.9100036621094,316.8599853515625,1.0290668753304766,43.579562839278424
78,306.4949951171875,315.0,1.0277492455612878,43.77774168557198
79,304.7900085449219,313.0899963378906,1.0272318237484004,43.68538445215495
80,300.69000244140625,306.375,1.0189065067426095,45.58527430965256
