,amd,asml,Ratio,Spread
0,139.69149780273438,749.3099975585938,5.364034385376362,115.40012261382961
1,140.97999572753906,751.2205810546875,5.328561525186257,121.5230322521493
2,138.60000610351562,748.7899780273438,5.402524856081882,109.11493826920051
3,138.60940551757812,750.747802734375,5.416283259646236,107.2157167829312
4,138.10499572753906,749.780029296875,5.4290579811904935,105.03860926470603
5,138.13999938964844,750.260009765625,5.43115689214232,104.77686871223491
6,137.75999450683594,751.7899780273438,5.457244541266575,100.87765595399858
7,136.69500732421875,752.780029296875,5.507004564631983,93.247650474925
8,134.84500122070312,746.4099731445312,5.535318079183886,88.08333699802122
9,134.52000427246094,749.1099853515625,5.5687627234555555,83.35704232506774
10,134.2686004638672,746.0,5.556027227681985,84.8995817914462
11,134.8000030517578,748.405029296875,5.551965967014981,85.80772743978972
12,136.0,751.9354248046875,5.528936947093291,89.75904149428166
13,135.83999633789062,753.3699951171875,5.54601012534808,87.32688453744802
14,135.5,767.8499755859375,5.666789487719096,70.72710380081324
15,136.99000549316406,769.7542114257812,5.619053803630899,78.11271520801577
16,139.8527069091797,770.6699829101562,5.510583241056815,95.04523957939321
17,142.02999877929688,776.7000122070312,5.4685631125996155,102.59013264248395
18,143.23989868164062,780.6749877929688,5.450122451762315,106.15860929786791
19,143.38999938964844,781.8099975585938,5.452332804842971,105.95944349755942
20,144.26980590820312,783.6900024414062,5.432113791988168,109.56483326720061
21,140.6699981689453,779.719970703125,5.542901690854348,91.09087793975212
22,143.3592071533203,787.3599853515625,5.492217772308785,100.21747307553622
23,143.18499755859375,788.4000244140625,5.506163619491181,98.09127659186927
24,142.94000244140625,785.8099975585938,5.497481349776189,99.15381430358255
25,141.889892578125,784.280029296875,5.52738475621192,94.13658507693245
26,143.11000061035156,788.09912109375,5.50694652877211,97.9245909023688
27,143.8699951171875,792.1199951171875,5.505804003621297,98.64211073686775
28,145.74000549316406,798.8699951171875,5.481473617445818,103.55120248043161
29,148.4600067138672,798.47998046875,5.378418054417119,120.89980954214516
30,147.60000610351562,799.6085205078125,5.417401676440493,114.409360208663
31,148.49000549316406,801.47998046875,5.397534856348613,118.08684514607037
32,147.48500061035156,804.4699096679688,5.4545879671746444,108.8309378100611
33,146.59140014648438,803.4600219726562,5.480949231467759,104.26942872374983
34,146.0800018310547,801.0599975585938,5.483707472053844,103.48100030691026
35,152.07000732421875,806.9600219726562,5.306503472786638,134.92730534985972
36,152.64999389648438,809.1400146484375,5.300622646582841,136.36339777336505
37,153.66000366210938,809.969970703125,5.271182815303117,141.83062416782187
38,153.77000427246094,810.1699829101562,5.268712755412544,142.3164408868826
39,154.34500122070312,813.2999877929688,5.269363966183807,142.77141192610148
40,154.27980041503906,810.4600219726562,5.253182981779728,145.20486546992757
41,154.35000610351562,811.1900024414062,5.25552296964198,144.91260159001777
42,152.908203125,806.7188720703125,5.27583776137133,140.39441649066728
43,152.5,807.2750244140625,5.293606717469262,137.293209988114
44,152.10000610351562,807.2000122070312,5.307034712790677,134.87435071940993
45,152.06460571289062,806.6649780273438,5.30475171553325,135.1886714702538
46,152.91000366210938,807.375,5.2800665794507795,139.74951450261918
47,154.39999389648438,808.0399169921875,5.233419358383707,148.37434962237947
48,153.14999389648438,804.77001953125,5.254783229539024,143.85077980277097
49,148.8800048828125,796.8900146484375,5.352565747668341,125.10836895250921
50,148.4199981689453,798.6799926757812,5.381215486653288,120.45035310648123
51,148.35009765625,798.5167236328125,5.382650475115281,120.17780826258243
52,148.19009399414062,802.989990234375,5.418648228039621,114.70695501668641
53,147.94000244140625,802.280029296875,5.423009436643949,113.8576516874854
54,147.68490600585938,801.6900024414062,5.428381438043502,112.85720996389935
55,148.25650024414062,801.1500244140625,5.403810444026217,116.9609487862779
56,148.4344940185547,800.5900268554688,5.393557825955152,118.6306972705012
57,147.96620178222656,803.5999755859375,5.430969815449196,112.7010523627869
58,148.17999267578125,806.6799926757812,5.443919776948579,110.95397313998083
59,146.97999572753906,806.280029296875,5.485644664131702,103.87222695658264
60,146.639892578125,806.3099975585938,5.498571932798013,101.72179248128853
61,146.07000732421875,804.2000122070312,5.505579324179941,100.27867216886389
62,145.08999633789062,800.219970703125,5.515335246404893,98.14856682755104
63,145.7899932861328,800.1199951171875,5.488168131998213,102.61286506357456
64,145.97000122070312,800.5499877929688,5.484345969022474,103.30518114644318
65,145.40989685058594,798.1654052734375,5.489072082167708,102.19763960021513
66,145.27999877929688,799.0599975585938,5.5001376946078535,100.49316222034102
67,144.1699981689453,798.27001953125,5.5370051305390104,94.36253749715596
68,144.6199951171875,798.5499877929688,5.52171217504117,96.88819842941408
69,143.92999267578125,796.1500244140625,5.531508823233816,94.98615264784317
70,150.32000732421875,797.3599853515625,5.304416887312752,133.61648777818905
71,150.7449951171875,793.6201171875,5.264653175188658,140.0060587095583
72,149.89999389648438,792.6699829101562,5.287992095967303,135.68780149444504
73,150.13999938964844,792.8250122070312,5.280571569402134,137.02915216407044
74,149.99000549316406,795.9879760742188,5.306940108822762,132.93101027725677
75,150.35499572753906,795.77001953125,5.292607775888464,135.42459837968184
76,150.27000427246094,797.489990234375,5.307047098956701,133.174725177135
77,146.60000610351562,778.540283203125,5.31064291125193,129.24282368891377
78,142.0399932861328,769.1099853515625,5.414742478917378,110.24247298756157
79,142.53500366210938,770.2218017578125,5.403737902751838,112.2169343162748
80,141.97000122070312,773.7000122070312,5.449742942554857,105.21606143463353
81,141.55999755859375,771.1749877929688,5.447690033151972,105.18480574825324
82,143.81500244140625,777.8300170898438,5.408545728090855,112.58922186871476
