,aapl,acn,Ratio,Spread
0,172.18499755859375,374.6300048828125,2.175741267791508,-42.425526401684095
1,171.77999877929688,373.760009765625,2.175806336137144,-42.341478710851874
2,172.1999969482422,374.1300048828125,2.1726481504832083,-41.89641833446578
3,172.1699981689453,372.6099853515625,2.1641981141565174,-40.434614937652356
4,172.1300048828125,371.17999267578125,2.1563933198542786,-39.08223390396577
5,173.02000427246094,370.45001220703125,2.1410819735252695,-36.62510568685374
6,172.25,370.75,2.1523947750362846,-38.41937669043838
7,168.72999572753906,364.17999267578125,2.158359520519694,-38.680348717573025
8,169.9250030517578,365.1600036621094,2.1489480482803613,-37.34130844015161
9,168.9167022705078,363.6300048828125,2.1527178780727407,-37.768035074672724
10,170.6199951171875,368.7900085449219,2.161470045123519,-39.6226000599016
11,170.7949981689453,370.510009765625,2.169325880369913,-41.00298742208358
12,170.58999633789062,370.69500732421875,2.1730172652678683,-41.58581497363505
13,172.16000366210938,372.8699951171875,2.1658340333739914,-40.7140202109355
14,172.1999969482422,368.81500244140625,2.141782862820028,-36.58141589305953
15,174.07339477539062,370.01568603515625,2.12563032112169,-34.14655223073353
16,174.0,371.7449951171875,2.1364654891792383,-36.0182924453384
17,174.44500732421875,374.5199890136719,2.146922945851922,-37.92969766191075
18,174.4600067138672,374.7300109863281,2.1479422020252747,-38.110611567348684
19,174.8302001953125,375.0199890136719,2.1450526773676186,-37.68218591332689
20,175.08999633789062,375.1099853515625,2.142383877989643,-37.26801749795382
21,176.75999450683594,383.0150146484375,2.166864825477379,-41.932220328192756
22,175.63999938964844,379.8399963378906,2.162605315747211,-40.93068333384204
23,175.7790069580078,378.943115234375,2.1557927865919817,-39.76404181083663
24,175.68499755859375,377.7799987792969,2.1503258902531006,-38.78336157359345
25,175.6999969482422,377.7900085449219,2.150199289167953,-38.76426327200019
26,175.4600067138672,377.1099853515625,2.149264623969482,-38.549969154133095
27,175.61000061035156,377.239990234375,2.148169175577909,-38.388893364762936
28,175.5800018310547,374.1000061035156,2.1306527064709764,-35.30712536834008
29,175.05999755859375,373.05999755859375,2.131040801789844,-35.27624583942159
30,173.61000061035156,369.4200134277344,2.1278728882494318,-34.450150115022296
31,173.56719970703125,366.8999938964844,2.1138786275044175,-32.013190734888525
32,173.5500030517578,366.6000061035156,2.1123595485860323,-31.74657505967659
33,173.23989868164062,363.8699951171875,2.1003821745812945,-29.61835781706859
34,172.32000732421875,361.4700012207031,2.09766704884477,-29.003520523148243
35,172.69500732421875,354.8500061035156,2.0547786042089675,-21.655794114041985
36,171.7100067138672,353.010009765625,2.055849956105768,-21.727306487383064
37,172.1199951171875,353.5,2.0537997329091273,-21.421666347304754
38,171.38999938964844,350.82000732421875,2.0469106048984997,-20.158315628582645
39,171.92999267578125,349.7950134277344,2.034520027505404,-18.085401700778537
40,172.4949951171875,352.635009765625,2.0443202397035125,-19.828944821010996
41,173.07000732421875,353.30999755859375,2.0414282233011316,-19.388054277201352
42,172.30999755859375,348.114990234375,2.020283182442731,-15.667934655940345
43,170.5699005126953,347.4649963378906,2.037082716783488,-18.394802282857743
44,170.0,348.1300048828125,2.047823558134191,-20.165769324763378
45,169.7550048828125,348.17999267578125,2.0510735039366965,-20.69119875278452
46,170.16000366210938,350.4800109863281,2.059708529874531,-22.205269636976116
47,170.33999633789062,349.0299987792969,2.0490196447283724,-20.40596062332563
48,169.8300018310547,348.4100036621094,2.0515221097901444,-20.775669403021286
49,169.8699951171875,349.69000244140625,2.05857427734761,-21.978056540223495
50,167.77999877929688,350.2099914550781,2.0873166885389924,-26.553927514104974
51,169.0399932861328,352.2300109863281,2.08370814585937,-26.1287805646343
52,168.810302734375,351.8699951171875,2.084410663434797,-26.21450603408633
53,167.64999389648438,347.5899963378906,2.0733075394712532,-24.18622205378384
54,167.50999450683594,346.8450012207031,2.0705928756182286,-23.712912101120853
55,166.2100067138672,343.9800109863281,2.069550551059747,-23.370699989561192
56,169.22999572753906,354.7049865722656,2.0959935917231953,-28.235034224832393
57,169.35000610351562,354.239990234375,2.0917624887349864,-27.537143737733548
58,169.10000610351562,352.57000732421875,2.084979270245507,-26.352315022189803
59,167.60000610351562,350.0799865722656,2.088782660043843,-26.773219437911653
60,166.64010620117188,347.9049987792969,2.0877627043714058,-26.46102950106368
61,165.84500122070312,345.8870849609375,2.0856045247974526,-25.986109748431122
62,164.52000427246094,342.6000061035156,2.082421573100236,-25.270342200163075
63,164.30999755859375,339.0,2.0631733006940793,-22.07787864916529
64,165.9499969482422,343.5,2.069900610526275,-23.3952683169658
65,163.72999572753906,339.9150085449219,2.076070466101825,-24.11844847896359
66,163.75,337.94000244140625,2.063755740100191,-22.10462174866959
67,163.3699951171875,337.17999267578125,2.0639040384001817,-22.082055834523462
68,162.86000061035156,335.8999938964844,2.0625076300971976,-21.791760952109744
69,162.3300018310547,335.5899963378906,2.067331932190555,-22.510287917177525
70,158.89999389648438,327.24029541015625,2.05941037117558,-20.816917937486924
71,158.35000610351562,324.8900146484375,2.051720884911443,-19.533952714745997
72,155.64999389648438,320.6499938964844,2.0600707129467275,-20.533620953777504
73,157.02999877929688,325.9649963378906,2.0758135316298967,-23.170562765254918
74,157.1999969482422,329.0249938964844,2.0930343529511344,-25.900659024887577
75,158.5,332.3399963378906,2.096782311280067,-26.692853732016463
76,162.1300048828125,339.0299987792969,2.091099664274652,-26.33840779198133
77,158.80999755859375,333.1499938964844,2.097789805541474,-26.90126482712461
78,158.5800018310547,332.70001220703125,2.0979947557415066,-26.897616705505616
