,meta,msft,Ratio,Spread
0,226.4207000732422,310.6628112792969,1.3720601127847596,64.56729934211143
1,228.7899932861328,312.09649658203125,1.364117774992512,67.06006667414022
2,228.41000366210938,311.8999938964844,1.365526854760193,66.62684094434707
3,228.86270141601562,312.1000061035156,1.3636997386314829,67.1770509043763
4,230.1999969482422,313.6000061035156,1.3622937022628414,67.89325088224302
5,230.875,315.3799133300781,1.3660201985060232,67.23197578471706
6,229.8800048828125,315.4200134277344,1.3721072156255094,65.5429446141984
7,229.6199951171875,313.2200012207031,1.3640798183139495,67.31206206166684
8,227.9149932861328,311.9700012207031,1.368799817522512,65.73648990563424
9,230.11500549316406,314.7300109863281,1.3677074657162143,66.62239601053585
10,229.58999633789062,314.5299987792969,1.3699638651346069,65.95234976731598
11,228.80999755859375,313.94000244140625,1.3720554424682094,65.2497124010203
12,227.41000366210938,313.17498779296875,1.3771381326667178,63.69462175662375
13,227.8300018310547,314.05999755859375,1.378483935541914,63.50564357884895
14,226.77639770507812,311.9800109863281,1.37571640674907,63.83957074659247
15,224.61000061035156,312.1300048828125,1.3896531945800967,60.09936879386066
16,224.45469665527344,311.3699951171875,1.3872286913889,60.60200491730075
17,225.0399932861328,311.760009765625,1.3853537996209848,61.18195864840038
18,224.79690551757812,311.1300048828125,1.3840493229497925,61.4091123331732
19,224.7949981689453,311.25,1.384594864366507,61.285956309592166
20,222.3000030517578,308.05999755859375,1.3857849452519735,60.34118974127756
21,225.05999755859375,308.5592956542969,1.3710090598128808,64.4158243459836
22,224.39999389648438,307.8299865722656,1.3717914213236007,64.05135866685686
23,224.41050720214844,306.69500732421875,1.3666695519205285,65.2037608309447
24,223.2299041748047,306.55999755859375,1.373292698806768,63.38224540074236
25,224.5500030517578,307.6099853515625,1.3698952623957867,64.5199588535965
26,223.55160522460938,307.0,1.3732847039570455,63.475374075290574
27,224.8699951171875,309.4200134277344,1.3759951089360987,63.2402297212505
28,231.63499450683594,312.8800048828125,1.3507458385074838,70.9913663499139
29,232.31500244140625,313.29998779296875,1.3485998945418443,71.69830978717073
30,233.48989868164062,313.82000732421875,1.3440410445854312,73.12535801981869
31,233.45010375976562,313.3500061035156,1.3422568722692532,73.52941008952769
32,232.8350067138672,313.8999938964844,1.3481649444674726,71.96006791552969
33,233.59539794921875,314.1260070800781,1.3447439882714038,72.99419431839698
