,amat,acn,Ratio,Spread
0,144.8072967529297,390.90704345703125,2.6994982450642464,8.22844146480129
1,143.67774963378906,380.587890625,2.648899301353591,15.412549362952529
2,150.0288848876953,387.6021728515625,2.5835169883566325,26.0257694023373
3,150.9206085205078,398.2568359375,2.638849921436561,17.846074921159595
4,154.06149291992188,397.88189697265625,2.5826174304273906,26.938502123038926
5,161.22506713867188,409.7401428222656,2.5414171015344813,34.96267346736842
6,158.17335510253906,409.68096923828125,2.5900757366668823,26.55185567479317
7,159.50103759765625,409.82891845703125,2.5694435887673084,30.088873828882935
8,156.52862548828125,408.26031494140625,2.6082150384178213,23.4075819953086
9,155.914306640625,408.9706115722656,2.6230473673908787,20.99225052482519
10,158.460693359375,401.7294006347656,2.535199058631395,35.300928278928794
11,156.9051055908203,398.85858154296875,2.5420369849730617,33.85423155365778
12,152.3275909423828,391.83441162109375,2.572314110641343,28.173562637765894
13,154.90367126464844,372.9125671386719,2.407383660401189,54.24528818909904
14,149.4244842529297,365.7601318359375,2.4477924997674285,46.190303463230364
15,148.2156982421875,367.9798583984375,2.4827320099194274,40.61560534185857
16,151.04942321777344,370.06146240234375,2.449936282569002,46.39897215517591
17,158.08419799804688,373.07818603515625,2.3599967027682656,62.90718436803435
18,155.73594665527344,357.4306335449219,2.295106821651819,72.03719248062488
19,165.4657440185547,349.50799560546875,2.112267996488,106.96477020040466
20,150.9602508544922,344.4833679199219,2.281947505850153,71.72956977712182
21,141.75558471679688,339.99285888671875,2.398444192276203,50.67263465855423
22,137.87159729003906,338.95428466796875,2.458477970302426,40.93124680296877
23,133.81918334960938,331.97125244140625,2.480744868798927,36.66685111913604
24,138.01031494140625,335.3045349121094,2.4295614067286673,44.96600579198817
25,131.76820373535156,331.2987060546875,2.5142537931235736,31.646927364315115
26,134.3343963623047,326.2938232421875,2.4289670559293044,43.77424806201857
27,128.9542999267578,329.7259826660156,2.556921194975973,25.409693354955447
28,131.23316955566406,339.112548828125,2.5840460150151787,22.348103428021727
29,136.91049194335938,349.7255554199219,2.5544101876765244,27.49243930378766
30,137.33657836914062,349.5673522949219,2.545333198525858,28.83324036375195
31,139.46681213378906,355.5513610839844,2.549361784672526,28.76167069181299
32,135.255859375,341.7830810546875,2.5269373366449583,30.84250015836251
33,134.3245086669922,343.71185302734375,2.558817124575902,26.328775093154558
34,134.87936401367188,340.2104187011719,2.5223311304069234,31.370204001374315
35,137.47528076171875,341.308349609375,2.4826888711793447,37.47720993186671
36,142.8751983642578,351.6543273925781,2.4612692155012206,42.11864085109063
37,138.48590087890625,338.6575927734375,2.445430116886511,42.932931186531974
38,131.27279663085938,325.5915832519531,2.48026698301797,35.97905349198557
39,130.64859008789062,322.5748291015625,2.4690264845916685,37.26332961904434
