,intc,txn,Ratio,Spread
0,48.16999816894531,165.5500030517578,3.436786575559518,68.58850177970189
1,47.66999816894531,165.22000122070312,3.4659116334587132,66.43664529063471
2,47.56999969482422,164.64999389648438,3.461214945401794,66.51028852485962
3,45.040000915527344,164.5399932861328,3.653196934758684,54.062092094618976
4,44.89500045776367,164.89999389648438,3.6730146389377816,52.9823502992229
5,44.745399475097656,164.66000366210938,3.67993146991007,52.47976364654181
6,44.589900970458984,164.5850067138672,3.6910825799524765,51.782910079776
7,45.125,166.80999755859375,3.696620444511773,52.21399919216043
8,44.974998474121094,166.75,3.707615467645853,51.52943168068711
9,45.04999923706055,166.74000549316406,3.7012210503212346,51.9117087225566
10,45.2599983215332,170.58999633789062,3.7691118573623448,49.1040938278629
11,44.650001525878906,168.66000366210938,3.7773795721900463,48.00623525855957
12,44.30500030517578,167.83729553222656,3.7882246783918774,47.11645508833388
13,44.029998779296875,166.22000122070312,3.7751534369530937,47.36871974975978
14,44.185001373291016,165.94000244140625,3.755573096840816,48.418107484146304
15,45.040000915527344,168.0800018310547,3.7317939257214765,50.5220835496971
16,44.689998626708984,166.6999969482422,3.7301410174717238,50.16477624737851
17,45.029998779296875,167.2899932861328,3.7150787879445057,51.262444324573806
18,45.03499984741211,167.22000122070312,3.713112063667793,51.35726027502608
19,45.69810104370117,169.86000061035156,3.7170034800333203,52.00870732756317
20,45.130001068115234,167.52000427246094,3.71194328180097,51.528816363315826
21,45.02299880981445,167.043701171875,3.710186029089239,51.47399057383052
22,44.810001373291016,166.22000122070312,3.7094397707333813,51.24043160500176
23,44.650001525878906,165.64999389648438,3.7099661418930636,51.01624502418457
24,44.790000915527344,162.52999877929688,3.6287116645928137,54.83115744139397
25,45.224998474121094,162.8300018310547,3.6004423952436437,56.69035900969337
26,44.98500061035156,163.5399932861328,3.635433834994778,54.78908616459947
27,45.04999923706055,163.9499969482422,3.639289672026634,54.70171726747847
28,45.77989959716797,166.1199951171875,3.62866665455649,56.15473766171826
29,46.154998779296875,167.82000732421875,3.6360093546247803,56.31661150676206
30,46.720001220703125,169.6199951171875,3.6305648691212675,57.321135733979844
31,46.7400016784668,169.5050048828125,3.6265511081678836,57.535402573368856
32,47.180599212646484,170.15499877929688,3.6064611645222135,59.07240998894255
33,47.47999954223633,170.17999267578125,3.5842458786124434,60.53355449053774
34,47.380001068115234,169.91000366210938,3.586112280112457,60.30717941421577
35,47.3650016784668,170.05999755859375,3.5904146845181444,60.082732797739936
36,47.540000915527344,170.0449981689453,3.576882517757921,60.96637881241577
37,47.72999954223633,170.8699951171875,3.579928698008565,61.08448120919243
38,47.290000915527344,168.14999389648438,3.5557198274714663,61.62045392481579
39,47.775001525878906,170.17999267578125,3.562113809323431,61.99786074564932
40,47.39500045776367,168.5850067138672,3.557020890085288,61.70662908244941
41,47.189998626708984,168.94500732421875,3.580101975858034,60.32905747201127
42,46.974998474121094,167.3000030517578,3.5614690470703203,60.90686190941673
43,47.205501556396484,168.50999450683594,3.569710922476203,60.84102243945645
44,47.709999084472656,170.0399932861328,3.5640326252169805,61.81520643523308
45,47.06999969482422,168.8800048828125,3.5878480131237906,59.798419218409634
46,46.78499984741211,168.13999938964844,3.593886928246918,59.123766226507286
47,46.43000030517578,166.6300048828125,3.588843501778686,58.87164359826585
48,46.23500061035156,164.42999267578125,3.5563964638288983,60.10373257525569
49,46.670501708984375,165.77000427246094,3.551922482130702,60.9254250287041
50,46.59000015258789,166.19000244140625,3.567074520221375,60.10583994470804
51,46.849998474121094,167.3699951171875,3.572465326965571,60.2164052639566
52,48.060001373291016,170.0800018310547,3.538909633189802,63.51251007544229
53,48.23500061035156,169.92999267578125,3.5229603094337496,64.53116585574313
54,48.42499923706055,170.32000732421875,3.517191739961241,65.08425055232445
55,48.65999984741211,170.9600067138672,3.5133581432380416,65.6107276027455
56,48.70000076293945,170.7050018310547,3.5052361223156416,66.06428569558605
57,48.915000915527344,170.3800048828125,3.48318515166843,67.45648247888371
58,48.86000061035156,170.08999633789062,3.4811705733350946,67.47348509378608
59,48.099998474121094,170.52999877929688,3.5453223324122543,63.26104740215186
60,47.970001220703125,170.72999572753906,3.5590992575137683,62.41578092393294
61,48.0099983215332,170.4600067138672,3.5505105743237095,62.88430421255657
62,48.54499816894531,172.4600067138672,3.5525803526385022,63.5398918576839
63,48.230201721191406,172.5399932861328,3.5774263247653413,61.8973449194126
64,48.03499984741211,171.60000610351562,3.572395266964086,61.86840531294473
65,47.93000030517578,171.00999450683594,3.5679114003337324,61.93722893460799
66,47.939998626708984,169.11000061035156,3.527534531803985,63.88685166606123
67,47.80500030517578,168.80999755859375,3.5312205100083833,63.5167613028197
68,47.834999084472656,170.92999267578125,3.573324886531993,61.545671625615114
69,47.816001892089844,171.02999877929688,3.57683603838886,61.351368842151004
70,47.67490005493164,169.44000244140625,3.554071476734619,62.24097564297051
71,47.78969955444336,169.42990112304688,3.545322584211428,62.820909147347834
72,48.099998474121094,169.97000122070312,3.5336799711573983,63.82104496074561
73,47.900001525878906,169.4199981689453,3.5369518324005242,63.37831983251573
74,48.150001525878906,168.8699951171875,3.5071648964834594,65.16925204433446
75,48.0099983215332,166.85499572753906,3.4754218196400584,66.4893151988847
76,47.79999923706055,166.58999633789062,3.485146422528166,65.71193863850027
77,47.935001373291016,166.72000122070312,3.4780431093008817,66.25204610576338
78,47.97999954223633,166.05499267578125,3.4609210975420006,67.1404128106596
79,47.65999984741211,164.88999938964844,3.4597146436751784,66.71701828672053
