,wfc,ms,Ratio,Spread
0,58.099998474121094,100.30000305175781,1.7263340049214193,8.025481742243239
1,58.11000061035156,99.44000244140625,1.7112373325924948,8.904457594015037
2,57.79999923706055,99.5,1.7214533099198035,8.256350579275244
3,57.29999923706055,97.52999877929688,1.7020942421970633,9.277792363123945
4,57.75429916381836,98.13999938964844,1.6992674278892597,9.529652718149174
5,57.78499984741211,98.91000366210938,1.7116899528128846,8.817891291969696
6,58.060001373291016,98.87000274658203,1.702893565415322,9.379602792540647
7,57.435001373291016,95.18499755859375,1.6572646519141132,11.878908684460905
8,56.803199768066406,93.66000366210938,1.6488508401733226,12.205299831234138
9,56.880001068115234,93.43000030517578,1.6425808465314724,12.581004384015737
10,56.78499984741211,93.08000183105469,1.6391653091691725,12.75077424931555
11,56.9900016784668,94.81500244140625,1.6637129259329593,11.404686481802708
12,56.75,94.38999938964844,1.6632599011391795,11.374377819619363
13,56.70000076293945,94.13999938964844,1.6603174272121124,11.529523323320754
14,56.5,95.32499694824219,1.6871680875795076,9.965100542598401
15,56.4900016784668,95.41500091552734,1.6890599766418173,9.85612857082719
16,56.4010009765625,96.43000030517578,1.7097214346470089,8.672284269822777
17,56.20500183105469,96.43450164794922,1.7157636955127136,8.295949248875667
18,56.09000015258789,95.77989959716797,1.7076109705225033,8.732379444929359
19,55.89059829711914,96.55999755859375,1.727660832064682,7.573992460041248
20,55.56999969482422,95.73999786376953,1.722872024285556,7.7857784955670954
21,55.91999816894531,99.21499633789062,1.77423103695645,4.974768732470432
22,56.0,99.375,1.7745535714285714,4.966538053986165
23,55.935001373291016,100.0,1.7877893545158656,4.218227932491397
24,55.869998931884766,100.83000183105469,1.8047253223323663,3.2649087430077603
25,55.875,101.8583984375,1.8229690995525727,2.245999757272566
26,55.3650016784668,100.66000366210938,1.8181161493806879,2.4768670913227115
27,54.97999954223633,99.80999755859375,1.815387384314517,2.596478375777304
28,54.209999084472656,97.05999755859375,1.7904445526248791,3.8856959745893906
29,54.83000183105469,99.5,1.814699921159679,2.6219124454752265
30,54.292701721191406,98.91670227050781,1.8219152691732574,2.185887995699952
31,54.11000061035156,98.6449966430664,1.8230455651518702,2.110987897519516
32,53.93000030517578,98.66000366210938,1.8294085500429853,1.7544989022542214
33,53.29499816894531,97.84500122070312,1.8359133986745653,1.3648268061722266
34,53.65999984741211,98.81999969482422,1.8415952287705806,1.0822799052058887
35,51.97999954223633,95.55000305175781,1.8382070775918091,1.1651162614867108
36,52.36000061035156,95.55000305175781,1.8248663471724176,1.8860234598376397
37,51.51499938964844,94.1698989868164,1.8280093196650442,1.663059760676143
38,51.90999984741211,95.19000244140625,1.8337507748259374,1.3923191296334014
39,52.34000015258789,95.96499633789062,1.8334924734069904,1.4330869277985503
40,52.92499923706055,96.69499969482422,1.8270193875999885,1.8128963751204257
41,53.33000183105469,98.0999984741211,1.8394898763531695,1.1762356607908746
42,52.63999938964844,96.51000213623047,1.8333967183747535,1.4572153441845277
43,53.33000183105469,97.12999725341797,1.821301217298253,2.1462368814939996
44,53.349998474121094,97.2699966430664,1.8232427258690538,2.0441735008176583
45,53.21500015258789,98.04900360107422,1.8425068743762094,1.0090586791101916
46,53.494998931884766,99.38500213623047,1.8578372580729927,0.20425111277348584
47,53.38999938964844,98.76000213623047,1.8497846650168464,0.6300544994661497
48,53.599998474121094,99.05000305175781,1.8479478707369867,0.7384468105534641
49,53.810001373291016,100.38999938964844,1.8656382982268003,-0.20314906378832198
50,54.2400016784668,101.0199966430664,1.8624630073190283,-0.01738462255675266
51,54.1599006652832,101.12999725341797,1.8672485734125959,-0.27934637682212404
52,53.900001525878906,100.75700378417969,1.8693321137626204,-0.399412470208409
53,54.470001220703125,101.52999877929688,1.8639617496594996,-0.09105028626630052
54,53.82500076293945,99.92500305175781,1.8564793615490285,0.290302899298462
55,54.119998931884766,100.11000061035156,1.8497783182950474,0.6649519347204151
56,54.68000030517578,100.12000274658203,1.8310168651755674,1.7173389730632014
57,54.77000045776367,100.36000061035156,1.8323899903514695,1.6480820974048331
58,54.18000030517578,100.29000091552734,1.8510520551980636,0.5987813672634648
59,53.2599983215332,99.94000244140625,1.8764552307730764,-0.7965732856333485
60,53.619998931884766,100.44000244140625,1.8731817314841512,-0.6136093331886965
61,53.90999984741211,100.94000244140625,1.872379942999606,-0.5634431229489305
62,53.7599983215332,101.19000244140625,1.8822545684655514,-1.0980138487789244
63,53.25,99.33999633789062,1.8655398373312793,-0.21553518660376447
64,53.42499923706055,100.38500213623047,1.8789893040671135,-0.9285466294314002
65,53.45000076293945,100.4000015258789,1.878391021380361,-0.8961151524634428
66,53.31999969482422,100.8499984741211,1.8914103347962063,-1.5927395806293472
67,53.150001525878906,99.73999786376953,1.8765756350017375,-0.8052457050798889
68,53.83000183105469,100.69000244140625,1.870518280074029,-0.4652088696398575
69,54.189998626708984,101.80000305175781,1.878575486835,-0.8922527644809488
70,53.36000061035156,101.86499786376953,1.909014181008241,-2.5318524784652308
71,53.29999923706055,101.12000274658203,1.8971858197752334,-1.9006870989965758
72,53.630001068115234,101.94999694824219,1.9009881580788324,-2.104628598604398
73,53.90999984741211,102.33999633789062,1.8983490377955055,-1.9634370194333055
74,54.03499984741211,102.66999816894531,1.9000647443115053,-2.05629899127438
75,53.75,102.19999694824219,1.9013952920603199,-2.126976360100917
76,53.810001373291016,102.5199966430664,1.9052219666724066,-2.3331463172062907
77,55.0099983215332,102.83000183105469,1.8692965818688771,-0.3666146462913158
78,54.974998474121094,103.08999633789062,1.8752159927101983,-0.6930080242296892
