,abbv,dhr,Ratio,Spread
0,133.41000366210938,289.82000732421875,2.1724008647676274,-51.116087060688095
1,133.4199981689453,289.9200134277344,2.1729876885518937,-51.19807543218305
2,133.36500549316406,291.1300048828125,2.1829564945186095,-52.50720567535654
3,134.9550018310547,289.1925048828125,2.1428809674267737,-47.70331832876547
4,134.90499877929688,290.29998779296875,2.1518845885606983,-48.90094491500067
5,135.72000122070312,291.8599853515625,2.150456695597504,-48.99168582826973
6,135.86000061035156,293.30999755859375,2.1589135598476186,-50.189312247072614
7,135.50999450683594,287.7898864746094,2.123753952776461,-45.30017938765308
8,137.64999389648438,286.18499755859375,2.0790774445933558,-39.83737770415353
9,136.77499389648438,287.0,2.0983367779728117,-42.22979819898409
10,136.4600067138672,286.1000061035156,2.0965850214518706,-41.89765169502268
11,136.75999450683594,288.18499755859375,2.107231713468582,-43.44183610960274
12,136.9499969482422,288.67999267578125,2.1079225929802883,-43.59430176248289
13,136.8000030517578,288.55999755859375,2.1093566602437726,-43.744710165544454
14,135.67999267578125,291.2290954589844,2.1464409727298612,-48.43292187974989
15,136.41000366210938,290.1499938964844,2.127043370038992,-46.03778316407038
16,136.47000122070312,290.5849914550781,2.129295734270097,-46.364619314564514
17,136.38499450683594,289.17999267578125,2.1203211813839746,-45.112867535400646
18,135.92999267578125,287.8699951171875,2.117781289106753,-44.62313066554608
19,135.83999633789062,288.1600036621094,2.1213192832053345,-45.07538132261737
20,135.2100067138672,287.1400146484375,2.1236594955289525,-45.19111460197927
21,134.25,288.4679870605469,2.148737333784334,-48.249752067645964
22,134.3300018310547,288.3299865722656,2.1464303032981045,-47.96752719923594
23,134.50999450683594,289.05999755859375,2.1489852751715297,-48.373053961265235
24,134.5500030517578,287.4800109863281,2.136603526316846,-46.720941444941325
25,134.08030700683594,286.8599853515625,2.13946396570331,-46.94766669118342
26,133.8300018310547,284.7200012207031,2.1274751350607475,-45.25892359248734
27,132.97999572753906,282.8900146484375,2.1273125563039352,-44.961296989600434
28,133.54640197753906,280.2300109863281,2.098371853054188,-41.280196819694076
29,133.3074951171875,281.635009765625,2.1126719808068275,-43.11588816425435
30,132.72500610351562,281.5,2.120926630664089,-44.03096832558631
31,132.0800018310547,281.3599853515625,2.1302239661644906,-45.05374383019531
32,132.02999877929688,281.1000061035156,2.129061642827144,-44.883908258227386
33,131.92999267578125,280.760009765625,2.1280984260765816,-44.724199272494666
34,131.9199981689453,280.3900146484375,2.1254549616454046,-44.37222188732783
35,132.36000061035156,269.3299865722656,2.034829142719133,-32.5189734744417
36,130.72999572753906,269.13641357421875,2.058719669318581,-35.26391376704418
37,129.26499938964844,268.5,2.0771283894927364,-37.26854210321306
38,128.94000244140625,270.95001220703125,2.10136503084183,-40.30444694277576
39,128.88999938964844,271.95001220703125,2.109938812125345,-41.394590618854714
40,130.13999938964844,274.0,2.105424936876052,-41.19112404978875
41,132.17999267578125,277.04998779296875,2.096005470907636,-40.56348642743148
42,131.86500549316406,273.4100036621094,2.0734083515150883,-37.491349689095095
43,132.3800048828125,272.1000061035156,2.055446412351988,-35.252930033662544
44,133.11000061035156,273.5899963378906,2.055367704029703,-35.42691062284586
45,132.94000244140625,273.6600036621094,2.058522631536177,-35.8033844393428
46,134.0196075439453,273.9800109863281,2.044327811484521,-34.177119101488266
47,133.2899932861328,271.0299987792969,2.0333859436655417,-32.54242883995325
48,133.08999633789062,271.19000244140625,2.037643774163954,-33.06297969839061
49,134.2100067138672,270.2049865722656,2.0132998513913853,-30.05885001543518
50,134.47799682617188,271.0799865722656,2.0157943527569597,-30.45072722539106
51,134.57000732421875,271.45001220703125,2.0171657682460276,-30.654879693615296
52,135.1367950439453,270.7250061035156,2.003340437483945,-28.90808938260724
53,134.72500610351562,272.7250061035156,2.024308730733833,-31.65044744984638
54,133.64999389648438,266.6400146484375,1.9950619291083365,-27.503448752508373
55,134.19000244140625,266.7699890136719,1.9880019685531816,-26.659915428870587
56,136.94000244140625,270.3999938964844,1.9745873307705164,-25.332320715206688
57,137.16000366210938,271.0,1.9757946395773107,-25.5357166503652
58,137.8800048828125,269.0899963378906,1.9516245054284458,-22.327721075084778
59,136.41749572753906,267.6199951171875,1.9617717924663687,-23.494277962754975
60,135.85000610351562,269.6600036621094,1.9849833753900061,-26.55733608260891
61,136.7100067138672,270.9700012207031,1.982078764635283,-26.316955939803247
62,135.94000244140625,270.0299987792969,1.986391010222962,-26.765089087646967
63,135.97000122070312,275.989990234375,2.0297858921571597,-32.67099983867529
64,136.55999755859375,278.79998779296875,2.0415933858913853,-34.417373540305725
65,136.3800048828125,277.8599853515625,2.037395332184654,-33.80185532319833
66,136.4600067138672,277.92999267578125,2.0367139015209923,-33.727638267288306
67,136.57130432128906,277.0799865722656,2.0288301993545046,-32.67698890062962
68,137.1199951171875,279.07000732421875,2.03522474665869,-33.67784991864223
69,137.92999267578125,281.1499938964844,2.0383528516336296,-34.297602465587396
70,136.42999267578125,285.0350036621094,2.0892400422499486,-40.88675746565405
71,136.22000122070312,286.0199890136719,2.099691575763998,-42.25030774556523
72,135.9199981689453,285.4549865722656,2.1001691466876853,-42.22613985264487
73,136.27499389648438,285.2799987792969,2.0934141372700994,-41.41117872309484
74,136.64999389648438,285.114990234375,2.086461785357681,-40.57013386956256
75,136.5500030517578,284.92999267578125,2.0866348319873826,-40.56539615513889
76,136.8300018310547,285.7799987792969,2.0885770295622166,-40.910630682197755
77,136.88800048828125,286.82501220703125,2.0953261877149405,-41.85108624823666
78,136.44000244140625,285.7200012207031,2.0941072713876907,-41.55370978423934
79,136.24960327148438,286.32501220703125,2.1014740985081173,-42.50196544255805
80,136.32310485839844,285.9049987792969,2.097260028490931,-41.949446037505304
