,unp,de,Ratio,Spread
0,246.2100067138672,375.3399963378906,1.5244709236131566,37.50944591439661
1,245.89999389648438,375.1499938964844,1.525620183847625,37.17749323470984
2,246.22000122070312,376.760009765625,1.5301762972046706,36.10625980389982
3,245.75,373.86749267578125,1.5213326253337995,38.20745624404593
4,245.75999450683594,375.4700012207031,1.5277913802616856,36.62177501636164
5,246.02000427246094,378.25,1.5374766012161258,34.27954339084856
6,246.32000732421875,379.4200134277344,1.5403540197541596,33.61463207640894
7,240.8000030517578,382.6300048828125,1.5889950167507665,21.110849084613495
8,240.3800048828125,384.6499938964844,1.600174665459404,18.3837273885532
9,237.97000122070312,384.1300048828125,1.6141950788433816,14.846097869190078
10,237.0399932861328,380.6199951171875,1.605720578374039,16.790293652657386
11,237.5229949951172,380.5,1.6019501606900082,17.723497777231717
12,238.4199981689453,382.8999938964844,1.6059894171509892,16.833749180179996
13,238.1199951171875,383.8599853515625,1.6120443189268967,15.368655611807117
14,237.25999450683594,375.54998779296875,1.5828626674866941,22.23070748058824
15,239.52000427246094,377.375,1.57554689908374,24.21077559522495
16,240.89999389648438,379.07000732421875,1.5735575630072725,24.839196887265008
17,240.15499877929688,377.5791931152344,1.572231246630143,25.075695162191938
18,239.13999938964844,376.6099853515625,1.574851494157295,24.335992520785044
19,240.1999969482422,377.622802734375,1.572118266161945,25.10784700646143
20,239.38499450683594,375.8900146484375,1.5702321501931211,25.46845086599642
21,244.7949981689453,373.510009765625,1.5258073594618424,36.957044033670215
22,243.89999389648438,379.343994140625,1.555325968157365,29.61617982268506
23,244.0449981689453,379.42999267578125,1.5547542277966,29.77431868555742
24,242.91000366210938,377.2200012207031,1.552920816490623,30.073369166463113
25,245.25,374.29998779296875,1.5261977076165902,36.93313283488742
26,244.25,371.7008056640625,1.521804731480297,37.84865837985153
27,241.97999572753906,366.9800109863281,1.5165716896678296,38.74754541868042
28,245.57000732421875,365.4700012207031,1.4882517828742172,46.301901845483584
29,250.07000732421875,370.2799987792969,1.4807053542379611,49.068358914629286
30,248.33999633789062,368.1000061035156,1.4822421338956608,48.33560720298702
31,248.8350067138672,365.8800048828125,1.4703719131590443,51.38903590232273
32,247.99000549316406,364.6300048828125,1.4703415331504708,51.21634403364679
33,246.4600067138672,363.1400146484375,1.4734236985963909,50.13034174983527
34,246.4600067138672,364.1000061035156,1.47731881922013,49.17035029475714
35,241.34500122070312,351.92999267578125,1.458202949701665,52.72845104702587
36,242.5399932861328,353.4100036621094,1.4571205304074506,53.260396319416984
37,240.50999450683594,350.0899963378906,1.455615169156474,53.16258283347814
38,240.8300018310547,351.1600036621094,1.4581239919952025,52.63135794758999
39,240.25,355.9599914550781,1.4816232734862773,46.85484625306758
40,242.5399932861328,360.3999938964844,1.485940479396765,46.270406085041984
41,245.1300048828125,363.9800109863281,1.4848447914825171,47.051079072434376
42,242.72999572753906,353.7200012207031,1.4572570652444157,53.270297622261964
43,244.16549682617188,356.239990234375,1.4590103633192368,53.167199484559305
44,243.34500122070312,359.3699951171875,1.476792181119245,48.655761773503784
45,243.02999877929688,364.0450134277344,1.4979427036015214,43.45038752852547
46,244.36160278320312,366.25,1.4988033955765787,43.48736480464025
47,244.3800048828125,366.45001220703125,1.4995089814436944,43.318335413774705
48,244.0500030517578,368.1199951171875,1.5083793915754105,41.09274274805027
49,246.85000610351562,376.9800109863281,1.52716225102398,36.94697045205963
50,246.82000732421875,376.9100036621094,1.5270642268760917,36.96647013400495
51,247.60000610351562,375.3900146484375,1.5161147229192553,39.7997092279068
52,247.0800018310547,374.79998779296875,1.516917536892544,39.514227466368695
53,246.71499633789062,376.3399963378906,1.5254038138098058,37.3596750197061
54,243.6699981689453,370.79998779296875,1.5217301702275206,37.772952349391616
55,244.8699951171875,372.5400085449219,1.52137875596655,38.05331436005689
56,247.24000549316406,376.3500061035156,1.522205135664913,38.23360037498712
57,246.8350067138672,379.79998779296875,1.5386795935036697,34.10173982428232
58,245.19000244140625,377.6650085449219,1.5402953007236646,33.46709679838743
59,242.84500122070312,373.29998779296875,1.5371944487904248,33.88394080575152
60,243.52000427246094,371.1243896484375,1.5239996022388664,37.19601228255583
61,244.8300018310547,374.0899963378906,1.527958148675063,36.43599160757712
62,244.57000732421875,375.7799987792969,1.536492568694808,34.30824770294775
63,241.24000549316406,368.0400085449219,1.5256176428637618,36.441658429928324
64,243.00999450683594,371.55999755859375,1.5289906010353072,35.90172307263025
65,243.52499389648438,374.0400085449219,1.5359409420780676,34.28879419940988
66,243.74000549316406,374.010986328125,1.5344669643843696,34.67982210658043
67,242.88999938964844,369.760009765625,1.5223352575025102,37.49968029650539
68,243.97999572753906,369.95001220703125,1.5163128891114799,39.144857365861455
69,246.07000732421875,373.79998779296875,1.5190798417803701,38.81374356518903
70,244.83999633789062,374.8800048828125,1.5311224084706347,35.66281037989283
71,243.85000610351562,373.94000244140625,1.5334836706244195,34.936009245155205
72,244.35000610351562,375.81500244140625,1.5380192062782156,33.902837537126274
73,244.14999389648438,374.385009765625,1.5334221549248048,34.99607834367059
74,244.3000030517578,375.6099853515625,1.5374948041731507,34.023666659660805
75,243.2899932861328,375.489990234375,1.5433844407762471,32.44315218510796
76,244.5399932861328,376.3399963378906,1.5389711567446576,33.69771681151995
77,245.10000610351562,373.8299865722656,1.5252141055205937,37.150595844223446
78,244.4550018310547,374.1099853515625,1.5303838438540671,35.784631374926946
79,244.63499450683594,376.4599914550781,1.5388640215353921,33.73767112505179
80,244.60000610351562,376.6099853515625,1.5396973669419278,33.52876877295556
