,ko,adm,Ratio,Spread
0,62.04499816894531,76.55999755859375,1.2339431028771224,9.089779330665248
1,62.20000076293945,76.68000030517578,1.232797417437717,9.187254477294271
2,62.11000061035156,76.63999938964844,1.2339397623009398,9.10097980562578
3,62.473899841308594,76.90380096435547,1.230974873662451,9.34775057716379
4,62.529998779296875,76.87999725341797,1.2294898249521835,9.450264447271461
5,62.459999084472656,76.2699966430664,1.2211014691165256,9.962051306720493
6,62.404998779296875,76.18000030517578,1.2207355467563734,9.974878932866542
7,62.52000045776367,76.63999938964844,1.2258477099888019,9.676234069018346
8,62.51499938964844,76.31500244140625,1.2207470716866533,9.994214220125212
9,62.54999923706055,76.38999938964844,1.2212629947465732,9.968324147334283
10,62.2151985168457,77.05000305175781,1.2384434171803753,8.838575086766493
11,62.57500076293945,76.91000366210938,1.2290851414205646,9.48339850830197
12,62.5,76.9800033569336,1.2316800537109376,9.3081682654399
13,62.13999938964844,76.72000122070312,1.234631509080502,9.06306805288703
14,62.04140090942383,76.5000991821289,1.2330491907140166,9.14463053726082
15,62.29499816894531,76.87000274658203,1.2339674934753029,9.130539067971167
16,62.279998779296875,76.70999908447266,1.231695577842121,9.269497690922574
17,61.67499923706055,76.37999725341797,1.2384272103488114,8.750649045035058
18,61.60499954223633,76.12000274658203,1.235614046135886,8.91242980096845
19,61.89780044555664,76.37000274658203,1.233808022205162,9.073246948885352
20,61.625,75.88999938964844,1.2314807203188387,9.170494994195348
21,61.69499969482422,75.45999908447266,1.223113695724732,9.69870905027366
22,61.53499984741211,75.40049743652344,1.2253270110261396,9.533721360124513
23,61.61000061035156,75.25,1.2213926189664195,9.789449344685817
24,59.974998474121094,74.6500015258789,1.2446853426447355,8.095442210123945
25,59.61000061035156,74.38999938964844,1.247944952658334,7.843330552683764
26,59.78499984741211,74.45999908447266,1.2454628966214805,8.018865235115893
27,59.24589920043945,74.52999877929688,1.257977341640956,7.19247514764599
28,59.810001373291016,74.80000305175781,1.2506270077626314,7.713939901259348
29,60.0,75.06729888916016,1.2511216481526692,7.713223480271321
30,60.5099983215332,75.8499984741211,1.2535118257825,7.646081987921431
31,61.779998779296875,77.16999816894531,1.2491097392964952,8.107968755861517
32,62.244998931884766,77.44000244140625,1.2441160538238503,8.490387458537707
33,62.55500030517578,78.12000274658203,1.2488210753012883,8.245337587536024
34,62.66999816894531,78.51499938964844,1.252832323019833,8.011689812846068
35,62.85499954223633,78.98999786376953,1.2567019081861748,7.7962593102519655
36,62.79999923706055,78.7300033569336,1.2536624890669135,7.979085105343341
37,62.84000015258789,78.9000015258789,1.2555697220606965,7.865210608984622
38,61.65999984741211,78.05999755859375,1.265974663505776,7.049603700701308
39,62.15999984741211,78.51000213623047,1.2630309254979681,7.30112897365299
40,61.709999084472656,78.11000061035156,1.2657592249098808,7.069752563552722
41,61.58000183105469,77.88999938964844,1.2648586728422058,7.1073598767214285
42,61.625,77.5199966430664,1.2579309800091911,7.540497740777379
43,61.81999969482422,78.12000274658203,1.2636687662928363,7.214087850811392
44,62.2400016784668,78.41999816894531,1.2599613761912272,7.503380286111334
45,62.150001525878906,78.25499725341797,1.2591310592459606,7.542105614442843
46,62.189998626708984,78.36000061035156,1.2600096854914222,7.493220577847833
47,61.709999084472656,77.88999938964844,1.2621941426871122,7.289753784255847
48,61.56999969482422,77.6500015258789,1.261166183380807,7.333324146220317
49,61.869998931884766,78.08000183105469,1.2620010211575432,7.324240680947977
50,61.970001220703125,78.29000091552734,1.26335322532432,7.254550777941798
51,61.970001220703125,77.98999786376953,1.2585121240519581,7.554553829699611
52,62.459999084472656,79.80000305175781,1.277617742898684,6.432044898029087
53,62.70000076293945,80.05999755859375,1.2768739487147724,6.508787074464703
54,62.619998931884766,80.18000030517578,1.2804216172598788,6.276536982709484
55,62.654998779296875,80.31909942626953,1.2819264382909765,6.186544737067006
56,62.68000030517578,80.19999694824219,1.2795149418915956,6.340725848522961
57,62.67499923706055,80.4209976196289,1.2831431766827197,6.112708380000921
58,62.41999816894531,80.27999877929688,1.286126259760724,5.895925497903431
59,62.665000915527344,81.61000061035156,1.3023218609756688,4.909677147255618
60,62.470001220703125,81.20999908447266,1.299983952258335,5.036082459584886
61,62.61000061035156,81.02999877929688,1.294202172007324,5.412510266565743
62,62.875,81.53500366210938,1.2967793822999503,5.279315348205412
63,62.91999816894531,82.37000274658203,1.3091227772354963,4.507451381206675
64,62.584999084472656,82.02999877929688,1.3106974511348763,4.3774316331371175
65,62.45000076293945,81.94000244140625,1.3120896948016214,4.2780172663580025
66,61.619998931884766,81.87000274658203,1.3286271367365938,3.183474840126433
67,62.040000915527344,81.54000091552734,1.3143133415899024,4.102764528844329
68,62.3650016784668,82.33999633789062,1.3202917360991708,3.758764579813114
69,62.505001068115234,82.77999877929688,1.324374007914772,3.51518964021194
70,62.5099983215332,82.99949645996094,1.32777953429203,3.302703404435203
71,62.439998626708984,82.73999786376953,1.3251121025549981,3.463988249724064
72,62.56999969482422,82.76000213623047,1.3226786405606514,3.6263832370455553
73,61.709999084472656,87.20500183105469,1.4131421669879272,-2.025248657150403
74,61.14500045776367,87.55000305175781,1.4318423811646477,-3.1629766822091376
75,60.9900016784668,85.19000244140625,1.396786360008964,-1.0204486128206194
76,61.04999923706055,84.33000183105469,1.3813268285818743,-0.07626784583716906
77,60.76110076904297,83.19999694824219,1.369297064983911,0.648395238768156
78,61.07500076293945,83.79499816894531,1.3720015902118898,0.49381444970083144
79,61.08000183105469,83.9800033569336,1.374918153886432,0.3158260588478716
