,dow,apd,Ratio,Spread
0,54.09000015258789,294.9599914550781,5.4531334927527455,-46.84604137236781
1,54.2400016784668,295.8999938964844,5.455383199480178,-47.08501780139355
2,54.25870132446289,296.42999267578125,5.463271059569829,-47.527624547917696
3,54.34000015258789,295.9700012207031,5.446632322223279,-46.68768633591333
4,54.068599700927734,295.5799865722656,5.466758677073598,-47.56605062742864
5,54.150001525878906,296.1199951171875,5.468513144467195,-47.72563106395856
6,54.22999954223633,297.19000244140625,5.4801771150660565,-48.421770921984546
7,55.09000015258789,299.54998779296875,5.437465728140812,-46.76257850194057
8,55.25,299.4649963378906,5.420180929192591,-45.92983428664482
9,55.279998779296875,299.82000732421875,5.423661612606719,-46.14464720162968
10,55.27000045776367,299.7449951171875,5.423285555176486,-46.11636174243549
11,55.2599983215332,300.4599914550781,5.437205946095689,-46.878102655995264
12,55.189998626708984,300.1300048828125,5.438123072131511,-46.87525680208532
13,55.13999938964844,299.4200134277344,5.430178033044107,-46.398934741856664
14,55.59000015258789,299.4599914550781,5.386939928639977,-44.33585255989098
15,55.619998931884766,300.3699951171875,5.400395557091555,-45.10565815065709
16,55.6150016784668,300.5199890136719,5.403577810733542,-45.27900650714392
17,55.70000076293945,300.19000244140625,5.3894075104060075,-44.55178018085101
18,55.810001373291016,300.6868896484375,5.38768826822386,-44.53458402251417
19,55.654998779296875,301.67999267578125,5.42053722563378,-46.252085350072974
20,55.880001068115234,302.2300109863281,5.408554137605029,-45.750564642049056
21,56.56999969482422,303.07000732421875,5.357433426890183,-43.36588054421989
22,56.42190170288086,303.80999755859375,5.384611088765933,-44.798000702775965
23,56.415000915527344,303.5899963378906,5.381370050715221,-44.610250030274784
24,56.769901275634766,303.510009765625,5.3463191399962735,-42.8716511020298
25,56.71500015258789,303.760009765625,5.355902476388595,-43.378229261080236
26,56.73500061035156,303.5299987792969,5.349960262870191,-43.0547469512459
27,56.63999938964844,304.0,5.367231696255266,-43.96873250164546
28,56.79999923706055,305.1449890136719,5.372271005499813,-44.36596875509977
29,56.7400016784668,304.3500061035156,5.363940731412041,-43.85138198763005
30,56.65999984741211,304.6000061035156,5.375926701796981,-44.47526728165488
31,56.81999969482422,304.989990234375,5.367652092088216,-44.11749865229669
32,56.920101165771484,305.3699951171875,5.364888481625181,-44.02968339394451
33,57.02000045776367,305.57000732421875,5.358996928640208,-43.76282033491046
34,57.06999969482422,305.45001220703125,5.35219929630967,-43.40915582287343
35,57.30540084838867,305.17510986328125,5.325416197169176,-42.034115790349034
36,57.08000183105469,304.45001220703125,5.333742159086504,-42.362411247204335
37,56.94729995727539,303.30999755859375,5.326152386261535,-41.84257339274174
38,56.874298095703125,302.34259033203125,5.315979281595272,-41.21633738836849
39,56.780799865722656,303.2900085449219,5.34141838900039,-42.600715765122715
40,56.848201751708984,304.0849914550781,5.349069664212143,-43.08069871055821
41,56.779998779296875,303.8999938964844,5.352236710637134,-43.21444496141848
42,56.59000015258789,303.7099914550781,5.3668491011868165,-43.91239335157306
43,56.65999984741211,303.70001220703125,5.360042587802838,-43.575273385170505
44,56.334999084472656,304.1099853515625,5.398242483248445,-45.50412433797149
45,56.61000061035156,305.4200134277344,5.395160044776365,-45.5289440007231
46,56.689998626708984,304.6029968261719,5.373134665814948,-44.338059932967866
47,56.78879928588867,304.0350036621094,5.353784680875589,-43.308325918474196
48,56.720001220703125,304.3500061035156,5.36583215009569,-43.94485331113626
49,57.81999969482422,300.2200012207031,5.192321044712449,-34.67405043030689
50,57.39500045776367,297.8634033203125,5.189709921502776,-34.303669127885
51,57.09000015258789,296.8599853515625,5.199859599897126,-34.72565764389847
52,57.084999084472656,297.0799865722656,5.20416906957738,-34.9690311524362
53,57.025001525878906,296.92999267578125,5.207014199570506,-35.099433398638354
54,57.1510009765625,296.7900085449219,5.193085046168042,-34.370595974738734
55,56.869998931884766,295.8299865722656,5.201863761710138,-34.72382559533784
56,57.849998474121094,300.1499938964844,5.188418354596068,-34.46384503474488
57,57.78010177612305,299.2900085449219,5.179811030872915,-33.93051905007238
58,58.15999984741211,299.36358642578125,5.14724187089388,-32.22865879144368
59,58.4900016784668,299.54998779296875,5.121387915829872,-30.872810062526895
60,58.630001068115234,299.1499938964844,5.102336490646445,-29.818534729331105
61,58.60499954223633,299.5050048828125,5.110570893648088,-30.290389327000042
62,58.41999816894531,299.54998779296875,5.127524772025796,-31.199968608714613
63,59.34000015258789,304.92999267578125,5.138692145124352,-32.28038174940198
64,59.37799835205078,307.19000244140625,5.17346510436549,-34.362808479847644
65,59.58679962158203,307.69000244140625,5.163727610736833,-33.88698426404838
66,59.28950119018555,308.0199890136719,5.1951860418866165,-35.606382928142324
67,58.84000015258789,307.5199890136719,5.226376414279234,-37.20710769145157
68,58.63999938964844,306.17999267578125,5.221350543360176,-36.801806760790924
69,58.34000015258789,304.25,5.2151182585573554,-36.273848281938655
70,57.52000045776367,299.1700134277344,5.20114761903404,-35.02609683426712
71,57.65999984741211,298.7998962402344,5.182100191310442,-34.001698210055764
72,58.005001068115234,299.9700012207031,5.171450662822134,-33.55945405874857
73,57.97999954223633,299.0299987792969,5.1574681121110455,-32.736295228683076
74,58.29999923706055,298.8900146484375,5.12675846586353,-31.10080557738857
75,58.30500030517578,298.7049865722656,5.123145270711015,-30.89240521338209
76,58.25,298.05999755859375,5.116909829332082,-30.50445788239429
77,59.06999969482422,295.239990234375,4.998137663106239,-23.852215433581392
78,59.02000045776367,296.0400085449219,5.0159269103492505,-24.885903138977795
