,nem,ecl,Ratio,Spread
0,57.58000183105469,226.74000549316406,3.9378256040776316,-55.3825367901966
1,57.83000183105469,226.80499267578125,3.921926084982191,-54.690377175546836
2,57.75429916381836,226.88499450683594,3.9284520423887987,-54.99965113477173
3,57.790000915527344,226.6649932861328,3.9222181985678284,-54.67152404621549
4,57.84000015258789,225.97999572753906,3.9069847014415715,-53.83509943879701
5,58.505001068115234,226.52000427246094,3.8718058309020793,-52.36109473023438
6,58.5099983215332,226.85000610351562,3.877115238610918,-52.675961943606886
7,59.40999984741211,229.6999969482422,3.8663524244773733,-52.80021969691506
8,59.439998626708984,229.17999267578125,3.8556527249447257,-52.18936150578795
9,59.619998931884766,228.7449951171875,3.8367158539960107,-51.20921732891053
10,59.560001373291016,228.2949981689453,3.8330254013614167,-50.940928218000714
11,59.3650016784668,228.69000244140625,3.8522697881832615,-51.92650606807842
12,59.54499816894531,229.11000061035156,3.847678355120683,-51.801369171883316
13,59.540000915527344,228.24000549316406,3.833389351420747,-50.94650867237802
14,59.91960144042969,229.91000366210938,3.836974848550673,-51.46685355464066
15,60.04159927368164,230.6999969482422,3.8423359760399682,-51.887365765892575
16,60.119998931884766,230.72000122070312,3.8376581057845014,-51.66992983789222
17,60.01499938964844,231.46499633789062,3.8567857817526594,-52.732925223554666
18,60.119998931884766,231.8800048828125,3.856952910886272,-52.829933500001594
19,60.08000183105469,231.17999267578125,3.8478692681445104,-52.25105600014418
20,60.209999084472656,231.75,3.849028459124577,-52.427355308047275
21,60.709999084472656,233.67999267578125,3.8491186987276342,-52.843054389294586
22,60.68000030517578,233.6300048828125,3.850197819838915,-52.883920514992035
23,60.400001525878906,233.7449951171875,3.8699501525184137,-53.84691146530019
24,60.470001220703125,233.97000122070312,3.8691912766259176,-53.859917389832525
25,60.150001525878906,233.9149932861328,3.8888609701114194,-54.774056431512456
26,60.21500015258789,234.0050048828125,3.886158005311498,-54.667214020034315
27,60.29999923706055,234.17999267578125,3.8835820172258573,-54.58477467468668
28,60.625,234.42999267578125,3.8668864771262887,-53.850481527610974
29,60.869998931884766,234.625,3.8545261067369485,-53.3034882253882
30,60.93000030517578,235.35000610351562,3.862629327502621,-53.846774938428204
31,60.86000061035156,235.57000732421875,3.8706869037420137,-54.27877633811462
32,60.70500183105469,235.34970092773438,3.876940842250946,-54.52789725892989
33,60.72999954223633,236.00999450683594,3.8862176236753694,-55.112483090190715
34,60.6150016784668,235.69000244140625,3.888311406665094,-55.14077208174361
35,61.10900115966797,235.36000061035156,3.851478442519357,-53.3146497505169
36,61.10900115966797,234.91000366210938,3.8441146018460914,-52.86465280227471
37,61.33000183105469,234.73500061035156,3.827408994002224,-52.02032994837969
38,61.189998626708984,234.19500732421875,3.8273412743956876,-51.90434857335671
39,61.38999938964844,234.47000122070312,3.8193517437994857,-51.573622721398856
40,61.51499938964844,234.69000244140625,3.8151671099731685,-51.4150505434685
41,61.59000015258789,234.08999633789062,3.8007792784208108,-50.58789809014416
42,61.45000076293945,234.4600067138672,3.815459785238444,-51.38190882408727
43,61.45000076293945,234.06500244140625,3.8090317255548523,-50.98690455162633
44,61.5,234.07000732421875,3.806016379255589,-50.8404823856141
45,61.790000915527344,234.6300048828125,3.797216400814971,-50.52218688662381
46,61.845001220703125,234.83999633789062,3.7972348888769365,-50.56560512205174
47,62.10499954223633,234.85000610351562,3.781499200298665,-49.78818730190212
48,62.0099983215332,234.5,3.7816482236312043,-49.7259006783538
49,61.68000030517578,231.16000366210938,3.7477302613228414,-47.38533210522106
50,61.220001220703125,229.27000427246094,3.7450179630987552,-46.88848004978944
51,61.07500076293945,229.61500549316406,3.759557963566909,-47.672627799284605
52,61.02000045776367,229.1750030517578,3.755735846157299,-47.399198577528544
53,61.130001068115234,230.3000030517578,3.7673809754254997,-48.191052138228166
54,61.02000045776367,229.88999938964844,3.767453255736565,-48.11419491541917
55,60.970001220703125,229.8699951171875,3.77021470419673,-48.24561769178296
56,61.22999954223633,233.83999633789062,3.81904292154352,-51.42819132671149
57,61.025001525878906,233.82000732421875,3.8315444732117308,-52.02905667916402
58,61.15999984741211,233.7449951171875,3.8218606229620202,-51.545190284991655
59,61.0,233.7050018310547,3.831229538214011,-51.98977048698398
60,61.06999969482422,233.48500061035156,3.823235660342402,-51.557769087297565
61,60.724998474121094,233.80999755859375,3.8503088255858176,-52.92763231277399
62,60.43000030517578,233.4600067138672,3.863313015635903,-53.47106914331368
63,61.119998931884766,235.72000122070312,3.856675480040526,-53.64134264882437
64,61.334999084472656,236.4949951171875,3.855791940120167,-53.76518983753345
65,61.68989944458008,237.2100067138672,3.845200087041281,-53.40535475019623
66,61.25680160522461,235.97000122070312,3.852143680981496,-53.47702382491709
67,61.01499938964844,236.02499389648438,3.868311009710957,-54.26433559308057
68,60.5099983215332,234.52000427246094,3.8757231991031835,-54.2887857344165
69,60.34000015258789,233.22999572753906,3.865263426213899,-53.5136314661274
70,58.40999984741211,232.3022003173828,3.9770964034281726,-58.43101025512353
71,58.439998626708984,229.1300048828125,3.9207736185348336,-55.16796090188705
72,58.9900016784668,231.32000732421875,3.9213426130255193,-55.69223114679135
73,58.599998474121094,230.36749267578125,3.931185984202987,-55.92087520673066
74,58.720001220703125,230.8699951171875,3.9317096443756343,-56.059938867185615
75,58.959999084472656,230.92999267578125,3.916723138766085,-55.39308197016333
76,58.689998626708984,230.47000122070312,3.92690418492904,-55.75081044251069
77,59.15999984741211,228.39999389648438,3.8607166072613754,-52.25736344242423
