,txn,nvda,Ratio,Spread
0,183.1199951171875,235.22999572753906,1.2845675076443936,-43.06606296677065
1,181.36199951171875,236.49009704589844,1.3039671909363657,-46.181113540458334
2,181.18499755859375,237.88929748535156,1.3129635493602063,-47.76707761010456
3,179.0,229.19000244140625,1.280391075091655,-41.37328297901549
4,178.3800048828125,227.75999450683594,1.2768246903932077,-40.597462960135395
5,177.80999755859375,226.19900512695312,1.2721388461434162,-39.637916870726166
6,175.77000427246094,222.99000549316406,1.2686465271259106,-38.58141637585154
7,174.9949951171875,221.47000122070312,1.2655790588319002,-37.87916309831632
8,173.27000427246094,217.0,1.2523806466742806,-35.22928615603566
9,174.18499755859375,219.77499389648438,1.2617331973297798,-37.0388247866123
10,174.69000244140625,218.97079467773438,1.253482120427473,-35.70176961054582
11,174.77000427246094,219.3000030517578,1.2547919991457803,-35.94656404378457
12,171.3300018310547,215.96609497070312,1.2605270102294357,-36.24237491490705
13,174.10000610351562,223.22999572753906,1.2821940718072804,-40.58350536078557
14,174.22999572753906,222.22000122070312,1.2754405479536994,-39.436352287948345
15,175.35000610351562,221.99000549316406,1.2659823083331694,-38.02457748973648
16,172.75999450683594,216.9600067138672,1.2558463395024146,-35.72742972986617
17,174.6300048828125,222.9499969482422,1.2766992539332251,-39.744278311563924
18,177.2899932861328,228.44000244140625,1.288510412839382,-42.427596750123364
19,177.8249969482422,236.8000030517578,1.331646321471221,-50.22308818790329
20,177.1300048828125,237.41000366210938,1.3403150065917828,-51.566409752082926
21,176.66000366210938,238.82000732421875,1.3518623478634155,-53.47233525360678
22,177.1300048828125,238.77000427246094,1.3479929864532487,-52.92641036243449
23,177.36500549316406,241.55360412597656,1.3619011453490268,-55.46204929624286
24,177.26499938964844,240.49009704589844,1.356669945414741,-54.50406366722384
25,179.5,245.0500030517578,1.365181075497258,-56.70570853469743
26,178.3300018310547,242.3699951171875,1.3591094747299037,-55.260224296016496
27,179.36000061035156,243.77499389648438,1.3591380077326738,-55.57841975071897
28,179.3000030517578,243.143798828125,1.3560724745662032,-55.01053111286986
29,179.22000122070312,243.89950561523438,1.3608944534872573,-55.85065184076395
30,179.1300048828125,241.06640625,1.3457622937469718,-53.11251212129499
31,180.360107421875,244.30999755859375,1.3545678201839582,-55.05816060129845
32,181.27999877929688,246.39999389648438,1.3592232764546144,-56.177533472825125
33,183.91000366210938,253.5500030517578,1.3786634658416694,-60.552492688436125
34,185.60000610351562,248.25,1.3375538353244572,-53.46928337584486
35,185.39500427246094,247.82000732421875,1.3367135123016396,-53.255598404515716
36,186.33999633789062,249.8249969482422,1.3406944395084892,-54.26347954737627
37,186.07000732421875,249.45989990234375,1.3406776486425935,-54.1832614387741
38,187.22000122070312,251.36000061035156,1.3425915979673422,-54.869945961166955
39,187.89999389648438,252.4499969482422,1.34353382197191,-55.24244795285707
40,185.49000549316406,250.22500610351562,1.3489945479177705,-55.56035663540032
41,181.52999877929688,246.22000122070312,1.3563598461764768,-55.733753269709034
42,175.99000549316406,243.1199951171875,1.3814420565299144,-58.47927168779531
43,177.07000732421875,244.82000732421875,1.382617028280506,-59.03971984470257
44,177.52000427246094,243.7176971435547,1.3729027223855421,-57.462595334898445
45,177.3350067138672,243.52000427246094,1.3732201486048623,-57.46010265798238
46,175.58999633789062,239.47000122070312,1.3638020742359787,-55.25134749523439
47,169.97000122070312,242.54989624023438,1.4270159116212955,-64.26118097715224
48,168.80999755859375,240.00599670410156,1.4217522668987408,-62.941259431928096
49,169.22999572753906,240.6699981689453,1.4221473984814426,-63.16209978288688
50,171.2949981689453,243.47300720214844,1.4213667054190058,-63.786221264254344
51,171.32000732421875,243.48500061035156,1.4212292213457731,-63.77182625953622
52,171.8699951171875,245.3199005126953,1.4273573484739257,-65.02640648199375
53,171.41000366210938,243.1300048828125,1.4184119928150787,-63.321870886231714
54,169.77999877929688,246.75,1.4533514063736046,-68.66176583374241
