,csco,nvda,Ratio,Spread
0,54.11000061035156,234.02639770507812,4.325011921369439,-36.564614400196064
1,54.72999954223633,237.50999450683594,4.339667394361009,-37.74306916975388
2,55.564998626708984,238.34010314941406,4.2893927659497635,-35.468670066463574
3,56.076900482177734,241.35000610351562,4.30391130801213,-36.57533347817591
4,56.09000015258789,240.6013946533203,4.289559529306213,-35.7780177491222
5,56.029998779296875,239.30499267578125,4.271015489727346,-34.70469952294118
6,55.900001525878906,238.14999389648438,4.2602859999249345,-34.0330275971493
7,55.95000076293945,240.00999450683594,4.289722810259824,-35.707132172848304
8,56.04499816894531,241.60000610351562,4.31082191090849,-36.94394555857562
9,55.244998931884766,242.11500549316406,4.3825687424065976,-40.4333240515399
10,55.88999938964844,245.00999450683594,4.383789536276413,-40.93021592420635
11,55.459999084472656,241.92999267578125,4.362242998008186,-39.44894552048862
12,55.189998626708984,240.44000244140625,4.35658649074592,-38.96281089278739
13,54.80500030517578,238.05650329589844,4.343700428251187,-38.010726815358396
14,55.2400016784668,240.3592987060547,4.351181958775167,-38.696196939824944
15,55.810001373291016,243.88999938964844,4.370005256913806,-40.107651625871284
16,55.2599983215332,242.02499389648438,4.379750294023703,-40.28754506276027
17,54.939998626708984,238.2987060546875,4.337435602680175,-37.75100886228972
18,54.6349983215332,235.11000061035156,4.303285583111074,-35.6962876671802
19,54.36709976196289,231.86000061035156,4.26471159259021,-33.44232846382167
20,54.689998626708984,233.26499938964844,4.265222257214113,-33.64679655347177
21,54.60499954223633,233.2924041748047,4.272363448961404,-33.99022601583317
22,54.619998931884766,234.8800048828125,4.300256489856865,-35.522059331741076
23,55.720001220703125,238.41000366210938,4.278714975575532,-34.962274433890144
24,55.90999984741211,239.6999969482422,4.287247318948743,-35.54585711515992
25,56.02000045776367,240.5063934326172,4.293223696310878,-35.943273813524314
26,56.029998779296875,242.4803924560547,4.327688697820414,-37.88009930321462
27,56.064998626708984,242.4499969482422,4.3244448923029255,-37.7195751528495
28,56.275001525878906,242.8300018310547,4.315059888881311,-37.31879399738796
29,56.13999938964844,242.13999938964844,4.313145743181042,-37.130726450797766
30,56.34000015258789,238.15499877929688,4.227103268269295,-32.40212751887768
31,56.099998474121094,237.88999938964844,4.240463562568313,-33.02944895170313
32,55.904998779296875,237.5800018310547,4.249709453871537,-33.44445585632516
33,56.41809844970703,240.8300018310547,4.268665702119304,-34.7867628650246
34,56.38999938964844,238.4550018310547,4.228675375279895,-32.51623453598293
35,56.125,236.86590576171875,4.2203279423023385,-31.912400214968017
36,56.08000183105469,237.14999389648438,4.228780066928617,-32.363790526033455
37,55.709999084472656,231.3300018310547,4.152396439287151,-27.919460319540946
38,55.880001068115234,228.7700958251953,4.0939529608514995,-24.72749077631292
39,56.47999954223633,229.9575958251953,4.071487211207051,-23.684209994565634
40,56.70500183105469,228.80999755859375,4.035093733711603,-21.70005829759009
41,56.459999084472656,226.4302978515625,4.01045521649387,-20.231273271385504
42,56.23500061035156,226.60499572753906,4.029607775727957,-21.242510394777725
43,56.4900016784668,229.36000061035156,4.060187533996488,-23.049427063016367
44,55.93000030517578,219.01010131835938,3.9157893817871496,-14.781600234824424
45,55.84000015258789,220.66000366210938,3.9516476192538645,-16.766121114132346
46,55.86000061035156,218.8000030517578,3.9169352069647383,-14.831759253328102
47,55.95000076293945,218.59500122070312,3.906970477925312,-14.292138886715492
48,55.91999816894531,218.63999938964844,3.9098713617460072,-14.448686022818976
49,55.939998626708984,215.75,3.8568109634702155,-11.484325382717856
50,55.56999969482422,213.3800048828125,3.8398417501284725,-10.489977941509238
51,54.82500076293945,209.47999572753906,3.8208845018228095,-9.359857996546339
52,54.3849983215332,212.3249053955078,3.904107969999511,-13.840686808557535
53,55.2400016784668,218.72500610351562,3.9595401784496542,-17.06190433728588
54,55.2400016784668,220.42990112304688,3.9904035920580547,-18.76679935681713
55,54.91999816894531,219.0,3.9876184869181994,-18.526664058054905
56,54.77000045776367,217.16000366210938,3.964944346304581,-17.244355824121953
57,54.38999938964844,215.10000610351562,3.9547712542253435,-16.597193658212603
58,55.404998779296875,228.74009704589844,4.1285100999112645,-26.46353978361111
59,55.56999969482422,225.47279357910156,4.057455368316334,-22.5827666377983
60,55.84000015258789,227.89999389648438,4.081303604472186,-24.006111348507346
61,55.91999816894531,230.67999267578125,4.125178830994444,-26.488679308951788
62,55.814998626708984,229.99009704589844,4.1205787459401995,-26.189169606726836
63,56.1349983215332,231.25999450683594,4.119711435319049,-26.26931542633801
64,55.91999816894531,230.13999938964844,4.115522298379736,-25.948686022818976
65,54.86000061035156,222.88999938964844,4.062887293289442,-22.639733016103094
66,54.314998626708984,219.5,4.0412410116873785,-21.276038698154963
67,54.6150016784668,221.9199981689453,4.063352400416428,-22.58063229326831
68,54.55500030517578,222.2899932861328,4.07460346517574,-23.173711161813856
69,54.584999084472656,225.8800048828125,4.138133345633173,-26.652187974293696
70,54.630001068115234,226.1199951171875,4.139117530590024,-26.72486184941056
71,54.709999084472656,226.5800018310547,4.141473325218183,-26.887437744425313
72,55.56999969482422,226.79989624023438,4.081337007121821,-23.909869298931113
73,55.369998931884766,222.8300018310547,4.024381544691312,-20.68357321131998
74,55.10499954223633,223.22560119628906,4.050913765550317,-22.06443432487538
75,55.435001373291016,225.8300018310547,4.073780034934052,-23.44189560160916
76,55.42499923706055,225.94000244140625,4.076499874632907,-23.58908392866624
77,55.005001068115234,222.7841033935547,4.050251778336861,-21.99472859144612
78,54.68000030517578,221.0,4.041697124480101,-21.4189706975705
