,txn,asml,Ratio,Spread
0,189.39999389648438,800.1199951171875,4.224498526406971,-177.57951793447023
1,189.00999450683594,800.5499877929688,4.235490244215711,-179.29820707521048
2,188.77999877929688,798.1654052734375,4.2280189132036945,-177.67361210669173
3,189.1199951171875,799.0599975585938,4.225148150323604,-177.44473576505436
4,188.97000122070312,798.27001953125,4.224321396912778,-177.15039083174986
5,189.07000732421875,798.5499877929688,4.2235677625145955,-177.09990341713763
6,188.47000122070312,796.1500244140625,4.224279828394285,-176.6825732553025
7,189.8300018310547,797.3599853515625,4.2003897047907035,-173.398609265171
8,189.47000122070312,793.6201171875,4.1886320371268475,-170.84831094725962
9,189.8699951171875,792.6699829101562,4.174803830488969,-168.57645480550661
10,189.52000427246094,792.8250122070312,4.183331544606958,-169.8879781286255
11,189.97000122070312,795.9879760742188,4.190071963780517,-171.56399229323824
12,190.11000061035156,795.77001953125,4.185839866269087,-170.8834280556805
13,190.58999633789062,797.489990234375,4.184322396546625,-171.017322437423
14,190.89999389648438,778.540283203125,4.078262483472309,-151.04327339818724
15,188.7100067138672,769.1099853515625,4.075618451530929,-148.84947082188262
16,189.1999969482422,770.2218017578125,4.070939821254413,-148.34218550729986
17,189.52000427246094,773.7000122070312,4.082418714463153,-150.7629781286255
18,189.98500061035156,771.1749877929688,4.059136170305385,-146.70144070258436
19,191.0800018310547,777.8300170898438,4.070703420746091,-149.73819715160175
20,190.7899932861328,779.2999877929688,4.084595708456428,-152.1664590638121
21,191.22000122070312,763.239990234375,3.991423414716201,-134.685562601544
22,190.63999938964844,760.5,3.989194305679873,-133.8621043648825
23,190.8699951171875,765.3499755859375,4.009797218866377,-137.9520923998075
24,189.5800018310547,763.25,4.026004813947489,-140.1147126839785
25,188.97000122070312,754.6950073242188,3.9937291763193157,-133.5753786247186
26,187.68499755859375,747.7838745117188,3.9842495896789334,-130.9103541928306
27,186.82000732421875,745.6699829101562,3.9913818310480815,-131.65469746765598
28,186.5800018310547,735.9099731445312,3.9442060559678116,-122.68775107295085
29,186.7281951904297,745.3599853515625,3.991684194191602,-131.64807979988973
30,187.02499389648438,752.7100219726562,4.0246493599099935,-138.01738810845484
31,186.8300018310547,756.844970703125,4.050981979797439,-142.79665986117448
32,186.97999572753906,760.0900268554688,4.065087411612985,-145.5460829194791
33,186.85000610351562,763.4299926757812,4.085790568574229,-149.3155806144731
34,186.75999450683594,762.8200073242188,4.084493626906256,-149.00302553979134
35,181.11000061035156,755.8099975585938,4.173209624048748,-160.66260181634755
36,179.97000122070312,754.3499755859375,4.191531757900326,-162.96954261976055
37,180.5050048828125,760.9600219726562,4.215728103864416,-167.81174693697767
38,179.97000122070312,760.5399780273438,4.2259263925584385,-169.1595450611668
39,179.8350067138672,759.4450073242188,4.223009864439577,-168.51064414267717
40,179.0500030517578,760.7000122070312,4.248533924834039,-172.3595798653614
41,179.44000244140625,756.0999755859375,4.21366454134346,-166.47084677930866
42,177.61000061035156,708.3499755859375,3.9882324933940296,-124.76782262887252
43,178.67999267578125,711.0399780273438,3.9794045621970744,-123.92219135173252
44,178.47000122070312,704.469970703125,3.9472738605069506,-118.04607035916865
45,180.3300018310547,708.77001953125,3.930405436335955,-116.20001671892192
46,181.63999938964844,717.4000244140625,3.9495707268481017,-120.5013245122683
47,181.35000610351562,718.9400024414062,3.964378154092982,-122.99954332824018
48,182.97999572753906,727.0599975585938,3.9734397996226916,-125.73347394852556
49,182.83999633789062,706.6900024414062,3.8650733788871565,-105.82608652592705
50,184.9398956298828,713.4500122070312,3.857739887746271,-105.64728339546059
51,185.2949981689453,718.1599731445312,3.8757655643232143,-109.18385945356283
52,185.1699981689453,725.635009765625,3.918750429016965,-117.0719404598417
53,184.8249969482422,727.0900268554688,3.9339377187117215,-119.6669640864327
54,184.72999572753906,728.2650146484375,3.942321396047484,-121.1558696457787
55,184.69000244140625,729.1599731445312,3.948020810578854,-122.18298016013046
56,186.1199951171875,747.4299926757812,4.015850055256953,-135.72779612668296
57,185.38999938964844,738.6799926757812,3.9844651551200485,-129.3899612184356
58,185.82000732421875,738.1400146484375,3.9723387447753717,-127.4290842874176
59,185.9199981689453,740.0349731445312,3.980394688214563,-128.9936375276376
60,185.97999572753906,741.4000244140625,3.986450378782751,-130.1604355595532
61,185.72999572753906,739.9600219726562,3.9840630969386215,-129.54652188851708
62,186.0399932861328,742.260009765625,3.9897873390267002,-130.82216767350008
63,188.23500061035156,764.5999755859375,4.061943703916508,-145.90904988814373
64,188.22999572753906,762.0700073242188,4.048610872983852,-143.3956195363786
65,186.4199981689453,746.219970703125,4.0028965670670935,-133.5264575454912
66,185.97999572753906,744.75,4.004462937460541,-133.5104111454907
67,185.2899932861328,741.2000122070312,4.0002160886391644,-132.24043642601657
68,185.3800048828125,735.3699951171875,3.966824769381411,-126.11298905929209
69,184.16000366210938,730.0800170898438,3.9643788150079002,-124.85432826499095
70,184.6199951171875,733.4500122070312,3.9727550189862915,-126.70434828015357
71,184.22999572753906,733.135009765625,3.9794551743347544,-127.67804230370632
72,185.55999755859375,733.8150024414062,3.9545969610701874,-123.96323667066383
73,184.6999969482422,729.7000122070312,3.9507310463654877,-122.6899938231802
74,185.47000122070312,733.6300048828125,3.9555184129740595,-124.07561896849359
75,185.97000122070312,740.4199829101562,3.981394730602007,-129.2134194550972
76,187.0,744.530029296875,3.98144400693516,-129.91998414152772
77,182.27999877929688,737.530029296875,4.046137997783675,-138.51654415975156
78,182.27000427246094,727.9400024414062,3.99374546210723,-128.95954270373306
79,182.77000427246094,727.5499877929688,3.9806859483812636,-126.91735051455544
80,182.6999969482422,722.9199829101562,3.9568691570091,-122.51867468926594
81,182.46499633789062,722.1199951171875,3.9575809585963437,-122.49521235726343
82,182.4499969482422,719.7100219726562,3.944697363721114,-120.13480252213606
83,182.2899932861328,715.239990234375,3.9236382499158546,-116.19347969780142
84,181.98500061035156,721.3099975585938,3.963568399260508,-123.27129112005218
85,179.11000061035156,707.760009765625,3.951538201964142,-119.22132418633953
86,181.08999633789062,714.1099853515625,3.943398309087848,-119.02869082867392
87,181.1999969482422,716.0999755859375,3.9519866867905282,-120.65519998726779
88,179.8699951171875,707.9949951171875,3.9361484090546623,-116.94501782734153
89,179.8800048828125,706.5250244140625,3.9277574229239463,-115.44197130430905
90,178.25999450683594,698.8099975585938,3.9201728884368148,-113.0800339667494
91,179.9499969482422,722.3400268554688,4.0141152492668875,-131.02569510864942
92,180.08999633789062,725.4600219726562,4.028319377671178,-133.68308253124803
93,179.54989624023438,726.6799926757812,4.047231482125153,-136.68773573657143
94,178.26499938964844,726.1099853515625,4.073205552619133,-140.36348384976452
95,177.08999633789062,723.0,4.082669913327595,-141.13612580303288
96,175.02000427246094,715.3599853515625,4.087304124606989,-140.336099954622
97,173.42999267578125,706.2100219726562,4.072017827348242,-136.44009947481698
98,175.7899932861328,707.5599975585938,4.02503000501798,-129.9917950516425
99,178.99000549316406,717.0700073242188,4.006201381739189,-128.92782822016454
100,176.86000061035156,709.1500244140625,4.00966878868458,-128.04613776810777
101,176.625,707.0,4.002830856334041,-126.67263881501151
102,175.85000610351562,703.6563110351562,4.001457416048896,-125.88980487013214
103,175.2899932861328,697.5413818359375,3.979356543743561,-121.62535686972637
104,175.72000122070312,694.7100219726562,3.9535056746335053,-117.37309810277088
105,175.86000061035156,669.3599853515625,3.8062093883113652,-91.56045378708814
106,175.10000610351562,667.5999755859375,3.8126781971170565,-92.31173573202364
107,171.99000549316406,652.530029296875,3.7939997003070656,-87.51833576318336
108,174.0,657.0499877929688,3.7761493551320044,-85.39655869686612
109,174.10499572753906,658.0,3.7793286588382533,-85.99962773806999
