,aapl,meta,Ratio,Spread
0,169.80499267578125,210.69000244140625,1.2407762523431167,-29.62628671835874
1,169.2100067138672,208.6199951171875,1.232905778852443,-28.19447360486531
2,168.9199981689453,207.69000244140625,1.22951695887236,-27.575550074034325
3,168.5,207.83999633789062,1.233471788355434,-28.176042666443962
4,168.10499572753906,207.11500549316406,1.2320574091019376,-27.874741548926025
5,167.69549560546875,207.07130432128906,1.2348054047227266,-28.270278651439625
6,166.35000610351562,206.610107421875,1.2420204378790733,-29.252281534379748
7,168.0399932861328,208.19000244140625,1.2389312708844695,-29.01946145610161
8,167.375,205.79739379882812,1.2295587381558066,-27.34013832368221
9,167.60000610351562,206.17999267578125,1.2301908422869465,-27.481391014618495
10,166.6300048828125,206.52999877929688,1.2394526359436,-28.87184042785144
11,164.5500030517578,202.3699951171875,1.2298389022425829,-26.942889617151806
12,164.40499877929688,202.1300048828125,1.229463862921583,-26.858433955251954
13,163.89999389648438,201.63999938964844,1.2302623971847113,-26.910107112054916
14,163.35000610351562,202.02499389648438,1.236761471367563,-27.88502986579114
15,165.1199951171875,203.6416015625,1.2332946195763468,-27.603110820455655
16,164.3300018310547,202.08999633789062,1.229781501162864,-26.89886868337176
17,163.88999938964844,202.44500732421875,1.2352493018375441,-27.72583536073354
18,162.93499755859375,201.1405029296875,1.2344831125513995,-27.445685621311284
19,164.30490112304688,203.67950439453125,1.23964351034177,-28.515300276971416
20,162.16000366210938,200.6199951171875,1.2371731042582899,-27.75645224172844
21,161.42999267578125,200.73989868164062,1.2435105481594741,-28.65938064216546
22,160.8000030517578,200.19500732421875,1.2449938030149204,-28.79022914518562
23,160.07000732421875,198.4499969482422,1.2397700247885008,-27.82822723830118
24,155.85000610351562,194.82000732421875,1.2500481212353578,-28.724697935530614
25,158.02999877929688,197.63999938964844,1.2506486168216104,-29.206384907792184
26,157.25999450683594,198.4499969482422,1.2619229548530586,-30.84230492569482
27,157.9114990234375,199.75999450683594,1.2650123375574265,-31.453485306453118
28,159.50999450683594,202.5198974609375,1.269637668078901,-32.49880904578863
29,160.35000610351562,205.92999267578125,1.2842531015735728,-35.00789050189006
30,162.77000427246094,207.52999877929688,1.2749892076669858,-34.0121566716124
31,162.14999389648438,209.25999450683594,1.290533471376054,-36.40718831237693
32,164.02999877929688,210.66000366210938,1.284277298237095,-35.79066546664909
33,164.3000030517578,208.77999877929688,1.2707242538122594,-33.62104843399469
34,164.48500061035156,207.14999389648438,1.2593853125076242,-31.79261135538208
35,164.77999877929688,209.08999633789062,1.268903980378964,-33.41619267822982
36,164.6750030517578,209.50999450683594,1.2722634924803151,-33.94881142943352
37,164.8699951171875,210.52000427246094,1.2768848820722412,-34.7496686851501
38,163.77999877929688,210.05999755859375,1.282574179534962,-35.45881451786694
39,165.0800018310547,212.24000549316406,1.2856796894779152,-36.24441237444471
40,164.3000030517578,209.57000732421875,1.2755325832720767,-34.41105697891656
41,164.07000732421875,208.80999755859375,1.272688414927442,-33.8977453729167
42,162.8300018310547,207.2899932861328,1.273045452036584,-33.707796560014984
43,163.8199005126953,208.13980102539062,1.2705403945063483,-33.49581856268945
44,165.1199951171875,211.17999267578125,1.2789486368740772,-35.141501933736905
45,166.1497039794922,210.32000732421875,1.2658464161343224,-33.17702962496732
46,164.85000610351562,208.02000427246094,1.2618744104979724,-32.27110931336669
47,163.92999267578125,206.5,1.2596840677496595,-31.7379304131898
48,162.54769897460938,205.17030334472656,1.2622159811488627,-31.890910483215933
49,163.19140625,205.63720703125,1.2600982598080284,-31.667360473597554
50,162.8699951171875,203.91000366210938,1.2519801668526664,-30.284909312666557
51,163.1699981689453,203.49000549316406,1.247104294764235,-29.543121684662694
52,164.50999450683594,204.1999969482422,1.2412619522624626,-28.815805438423254
53,165.7393035888672,205.05999755859375,1.2372442330713869,-28.35722378034525
54,166.2899932861328,206.19000244140625,1.239942334272743,-28.896547539236124
55,166.68609619140625,207.07000732421875,1.2422752230422356,-29.351684278632675
56,166.8699951171875,207.18800354003906,1.2416132894025527,-29.272426714860202
57,167.2100067138672,208.17999267578125,1.2450211369946456,-29.89971240132708
