,meta,msft,Ratio,Spread
0,333.7900085449219,320.7940979003906,0.9610656091799038,193.60945217937038
1,325.45001220703125,316.94024658203125,0.9738523112434649,184.5719197010193
2,334.20001220703125,324.251708984375,0.9702324869560643,190.7855961178308
3,330.45001220703125,330.10687255859375,0.9989615989234023,179.1339444782598
4,335.239990234375,331.5830383300781,0.9890915403566853,185.06179216512137
5,346.17999267578125,339.27099609375,0.9800421840423864,194.2841260245256
6,346.2200012207031,338.0821533203125,0.976495153741268,195.53481121213693
7,342.94000244140625,338.775634765625,0.9878568622903863,189.77133675920734
8,344.3599853515625,336.1700439453125,0.9762169190537955,194.5718379773131
9,336.3500061035156,333.1979064941406,0.9906285132981241,185.1627089978123
10,338.5400085449219,331.6424560546875,0.979625591315246,190.1033122411864
11,336.5299987792969,325.95574951171875,0.9685785834667509,192.6830860861053
12,324.1700134277344,313.4429931640625,0.966909276554467,186.09064041289216
13,332.4599914550781,310.9661865234375,0.9353491984477029,201.38151603952522
14,331.7900085449219,311.1247253417969,0.9377157760302867,200.187364436443
15,328.07000732421875,311.3525695800781,0.9490430780902827,194.20940215045468
16,334.3699951171875,312.0559997558594,0.9332655570560161,203.24405305568897
17,333.260009765625,315.3154296875,0.9461544153145015,198.26888529923556
18,326.4800109863281,301.970458984375,0.9249278633386854,201.13380746708137
19,331.8999938964844,307.32037353515625,0.9259426911318528,204.1617239171358
20,318.1499938964844,299.8404235839844,0.9424498800447648,190.3878842953495
21,319.5899963378906,300.5141296386719,0.9403114399142501,191.9400334315125
22,316.55999755859375,298.80023193359375,0.9438976315328258,188.97037066666363
23,303.1700134277344,293.2818908691406,0.9673842328705416,173.79140954184155
24,308.7099914550781,293.6187438964844,0.9511151307819276,182.01786758591422
25,300.1499938964844,285.8118896484375,0.9522302030997482,176.59327551720568
26,294.6300048828125,293.95556640625,0.9977108968354029,159.91718530909336
27,294.6400146484375,297.0565490722656,1.0082016505012448,156.83167503960632
28,301.7099914550781,305.3984069824219,1.0122250360671032,159.4180934446526
