,v,nvda,Ratio,Spread
0,214.66000366210938,234.02639770507812,1.09021892160895,-52.85291400579227
1,217.3000030517578,237.50999450683594,1.0930050214967755,-54.09791734977314
2,217.88999938964844,238.34010314941406,1.0938551737897575,-54.427737262250375
3,218.7899932861328,241.35000610351562,1.1031126354479974,-56.674488354798896
4,220.1300048828125,240.6013946533203,1.0929968169555344,-54.78961103824223
5,220.42999267578125,239.30499267578125,1.0856280933954492,-53.238833732668624
6,219.43499755859375,238.14999389648438,1.0852871991528759,-52.92754331504396
7,218.05999755859375,240.00999450683594,1.1006603558378198,-55.953478287544456
8,219.17999267578125,241.60000610351562,1.1022904196410794,-56.59378748962929
9,215.75999450683594,242.11500549316406,1.1221496647076208,-60.00878206739391
10,218.00999450683594,245.00999450683594,1.1238475330503868,-60.995878488458445
11,216.75999450683594,241.92999267578125,1.1161192046817086,-58.97581698663005
12,216.0399932861328,240.44000244140625,1.1129420936565064,-58.096353416987384
13,213.8437042236328,238.05650329589844,1.1132266164214235,-57.57520255306544
14,214.4600067138672,240.3592987060547,1.1207651365354212,-59.35540287170009
15,216.11000061035156,243.88999938964844,1.1285456420380309,-61.48698749620503
16,211.9600067138672,242.02499389648438,1.1418427355647476,-63.14097872058237
17,210.50999450683594,238.2987060546875,1.1320066138092515,-60.64423201166777
18,209.66000366210938,235.11000061035156,1.1213869908600103,-58.17627822797088
19,207.57000732421875,231.86000061035156,1.1170207276053736,-56.698495353143315
20,208.4600067138672,233.26499938964844,1.1189916141076819,-57.34881713558006
21,208.42999267578125,233.2924041748047,1.1192842315054803,-57.40167239226447
22,208.97000122070312,234.8800048828125,1.1239891061432525,-58.53137163236069
23,208.22000122070312,238.41000366210938,1.1449908859111297,-62.697334609193334
24,209.72999572753906,239.6999969482422,1.142898020460732,-62.70692463556169
25,209.1199951171875,240.5063934326172,1.1500879832071593,-64.0305725181481
26,209.47999572753906,242.4803924560547,1.1575348357913742,-65.69930820921944
27,209.08999633789062,242.4499969482422,1.159548525489673,-65.99961356657657
28,208.81500244140625,242.8300018310547,1.1628953810404168,-66.61280014632895
29,208.47999572753906,242.13999938964844,1.1614543570218574,-66.20686740619423
30,209.52499389648438,238.15499877929688,1.1366424327255065,-61.33575823325647
31,208.05999755859375,237.88999938964844,1.1433721146836695,-62.313005804167304
32,209.00999450683594,237.5800018310547,1.1366920629400061,-61.197456183106524
