,ecl,apd,Ratio,Spread
0,234.4600067138672,303.7099914550781,1.2953594760650287,62.83292429474278
1,234.06500244140625,303.70001220703125,1.2975028690291144,62.22272872227353
2,234.07000732421875,304.1099853515625,1.2992266238122891,61.820613473254696
3,234.6300048828125,305.4200134277344,1.3017091040009074,61.38980724252423
4,234.83999633789062,304.6029968261719,1.2970660942606447,62.536520057628024
5,234.85000610351562,304.0350036621094,1.294592274901193,63.1202290127153
6,234.5,304.3500061035156,1.2978678298657382,62.25570093940888
7,231.16000366210938,300.2200012207031,1.2987540944130627,61.14175841762534
8,229.27000427246094,297.8634033203125,1.2991817410459687,60.53097061115193
9,229.61500549316406,296.8599853515625,1.2928596923096143,62.07605631628968
10,229.1750030517578,297.0799865722656,1.2963018768027326,61.16523108645441
11,230.3000030517578,296.92999267578125,1.2893182316156937,63.08152656933402
12,229.88999938964844,296.7900085449219,1.2910087839092224,62.57778615013859
13,229.8699951171875,295.8299865722656,1.286944763806393,63.50640049774381
14,233.83999633789062,300.1499938964844,1.2835699563678495,65.41947713274197
15,233.82000732421875,299.2900085449219,1.2800017071675194,66.2480788162519
16,233.7449951171875,299.36358642578125,1.280727256965207,66.05672833070071
17,233.7050018310547,299.54998779296875,1.2817440167990644,65.8075356704096
18,233.48500061035156,299.1499938964844,1.2812385939759658,65.86211756232791
19,233.80999755859375,299.5050048828125,1.2809760404182686,66.0173666873365
20,233.4600067138672,299.54998779296875,1.2830890909726678,65.4228821022786
21,235.72000122070312,304.92999267578125,1.2936110262034033,63.59117222628288
22,236.4949951171875,307.19000244140625,1.298928132873121,62.547938415153
23,237.2100067138672,307.69000244140625,1.2971206683222054,63.17053940849195
24,235.97000122070312,308.0199890136719,1.3053353706837518,60.89368735203561
25,236.02499389648438,307.5199890136719,1.3029128141765516,61.480028374677886
26,234.52000427246094,306.17999267578125,1.3055602383499323,60.45712199219429
27,233.22999572753906,304.25,1.3045063052499775,60.36174209965651
28,232.3022003173828,299.1700134277344,1.2878483846429067,63.98504733431395
29,229.1300048828125,298.7998962402344,1.3040627149336212,59.3746722298697
30,231.32000732421875,299.9700012207031,1.2967749944788145,61.64297150403678
31,230.36749267578125,299.0299987792969,1.2980564024289274,61.08748227024313
32,230.8699951171875,298.8900146484375,1.294624771385834,62.01641827614549
33,230.92999267578125,298.7049865722656,1.2934871867927455,62.295645270471994
34,230.47000122070312,298.05999755859375,1.2932702563452714,62.21842660695921
35,228.39999389648438,295.239990234375,1.2926444751490838,61.788427512851456
36,229.8800048828125,296.0400085449219,1.287802341468699,63.312094316112336
37,230.74000549316406,294.989990234375,1.2784518644865612,65.71235301987241
38,230.1199951171875,295.7099914550781,1.2850251943751747,64.01890707857473
39,230.57000732421875,296.70001220703125,1.2868109588504415,63.735426126778464
40,230.63999938964844,297.4700012207031,1.2897589403742173,63.075327865287534
41,229.9600067138672,297.4200134277344,1.293355386781693,62.057695976505556
42,225.75,295.69000244140625,1.3098117494635935,57.177803373999666
43,225.91000366210938,296.18499755859375,1.311075174880674,56.934021343223606
44,224.281005859375,293.8349914550781,1.3101198219135584,56.72642619944668
45,224.4600067138672,294.05499267578125,1.3100551718802673,56.787464528304156
46,225.1199951171875,294.30999755859375,1.307347210119603,57.568671702191295
47,224.3000030517578,293.489990234375,1.3084707366974553,57.101253883298966
48,225.83999633789062,295.0899963378906,1.3066330194957654,57.91910785474727
49,223.2899932861328,295.9549865722656,1.3254287942631489,53.05049589981002
50,224.0399932861328,296.0249938964844,1.3213042437401605,54.15802296652146
51,223.5800018310547,295.0343933105469,1.3195920515891477,54.426415875274245
52,225.22000122070312,296.0281066894531,1.3143952805477608,56.00757673958873
53,225.60679626464844,296.2799987792969,1.3132583046467496,56.362970605060866
54,225.89999389648438,296.9100036621094,1.3143426812050485,56.193299448683206
55,226.57000732421875,297.5899963378906,1.3134571510696171,56.56525857762489
56,225.6999969482422,297.7300109863281,1.3191405184405207,55.059287744949415
57,225.61500549316406,296.83599853515625,1.3156748944349366,55.81985971440173
58,225.7949981689453,297.989990234375,1.3197368969679817,54.94846476964693
59,225.60000610351562,298.0899963378906,1.321320870005266,54.54231218212868
60,225.77000427246094,297.7749938964844,1.31893071825931,55.12421954397263
61,225.91000366210938,298.9150085449219,1.3231596817288585,54.20401035689548
62,226.42999267578125,299.75,1.3238087254156459,54.18542549715664
63,225.3300018310547,294.9700012207031,1.3090578210790693,57.238388210621736
64,226.125,295.80999755859375,1.30817024901534,57.64657545227726
65,225.14500427246094,295.95001220703125,1.3144862492657625,55.96792257431724
66,225.375,296.0856018066406,1.3137464306451054,56.193436813300195
67,223.97000122070312,295.41339111328125,1.318986424535386,54.65973499754364
68,224.1199951171875,294.7049865722656,1.3149428564736974,55.60363683394587
69,223.19000244140625,294.3500061035156,1.3188315017864247,54.498486157301784
70,217.13999938964844,291.6499938964844,1.3431426485966362,47.6997161527633
71,216.6750030517578,289.69500732421875,1.3370024379555145,48.92463715233191
72,216.77499389648438,290.2900085449219,1.3391305119055512,48.48662614288702
73,216.31500244140625,290.4100036621094,1.342532882067546,47.64442334851486
74,215.875,290.8599853515625,1.3473537248480023,46.503617649929595
75,215.63999938964844,291.42999267578125,1.351465375165323,45.5646485916061
76,215.9499969482422,291.2900085449219,1.3488771135048305,46.191343104263524
77,213.60000610351562,286.42999267578125,1.3409643468688408,47.3617655893554
78,213.1199951171875,285.2900085449219,1.3386355812745327,47.74811046098057
79,212.25999450683594,284.56500244140625,1.340643596559792,47.122876171282996
