,googl,meta,Ratio,Spread
0,144.7935028076172,332.2900085449219,2.2949234744767915,-106.78609474591954
1,145.60874938964844,332.9490966796875,2.286600895037681,-106.16667382867834
2,145.74549865722656,331.5,2.2745127846427873,-104.50312034499134
3,145.58274841308594,329.5899963378906,2.263935802356819,-102.84834947371647
4,145.60899353027344,329.0,2.2594758196141087,-102.21719427587504
5,145.9947509765625,331.0299987792969,2.2674102771848235,-103.64222960260426
6,146.42149353027344,330.5199890136719,2.257318792785945,-102.46298156009308
7,147.3574981689453,330.9200134277344,2.245695112496649,-101.39511830723558
8,147.6167449951172,334.6007080078125,2.2666853141822108,-104.66924949745078
9,148.0540008544922,334.7449951171875,2.2609655476056716,-104.12781085638954
10,147.74000549316406,336.17999267578125,2.2754838241246467,-106.05523110106918
11,147.10150146484375,335.92010498046875,2.2835939921439303,-106.79667625147849
12,147.1280059814453,335.3500061035156,2.2793077624242897,-106.18501171188899
13,146.9095001220703,335.1600036621094,2.281404561200042,-106.33768070914294
14,148.19949340820312,344.7300109863281,2.3261213858322587,-113.8846582780703
15,148.08950805664062,345.7799987792969,2.3349392088401326,-115.10713040971663
16,147.5574951171875,345.67999267578125,2.3426800000992727,-115.84145268471545
17,147.97337341308594,346.6600036621094,2.3427187991069527,-116.16926324781147
18,147.73049926757812,346.8800048828125,2.3480595178557078,-116.77015143004772
19,147.7584991455078,346.05999755859375,2.3420649205282262,-115.9062333453582
20,147.85350036621094,346.19000244140625,2.3414393408606866,-115.88725272697667
21,147.10549926757812,349.5150146484375,2.3759479855520955,-120.38531637217565
22,147.12649536132812,348.54998779296875,2.369049755021789,-119.38736242874626
23,146.5814971923828,348.04998779296875,2.3744469422096706,-119.74205487110848
24,146.4405059814453,347.05999755859375,2.3699726741081313,-118.97317386112036
25,146.5135040283203,346.6449890136719,2.3659593107995502,-118.44368625456787
26,146.4300079345703,346.7099914550781,2.3677523230757416,-118.63963130158507
27,146.75949096679688,346.2200012207031,2.3590978609964828,-117.63292986783927
28,146.75,343.6650085449219,2.341839921941546,-115.09282138443555
29,146.302001953125,343.6000061035156,2.348566673842267,-115.7303911105617
30,145.80300903320312,343.260009765625,2.3542724669520076,-116.17293956227067
31,145.79200744628906,342.1600036621094,2.346905085233591,-115.09018667853675
32,146.11700439453125,342.81500244140625,2.346167743185932,-115.23550955196603
33,146.69549560546875,343.1799011230469,2.3394031269100077,-114.69319038566772
34,146.65499877929688,342.8900146484375,2.3380724660088634,-114.46681298914521
35,147.20375061035156,346.29998779296875,2.3525214972927224,-117.01620701715851
36,146.93199157714844,344.8500061035156,2.3470042323794944,-115.99241096475416
37,146.75,345.51611328125,2.3544539235519593,-116.94392612076368
38,146.83175659179688,345.6199951171875,2.353850441754481,-116.91959332204047
39,146.70199584960938,347.20849609375,2.366760548027503,-118.7115913596621
40,146.66799926757812,345.94000244140625,2.3586604042391026,-117.49641278869649
41,146.20150756835938,344.3999938964844,2.35565282208498,-116.68797904983046
42,146.00790405273438,341.75,2.3406267093360134,-114.3416035341925
43,145.7727508544922,341.1199951171875,2.3400806606008797,-114.08037725062528
44,145.4552459716797,340.1600036621094,2.3385887624042034,-113.61831228267297
45,145.80569458007812,340.44500732421875,2.3349225714722857,-113.35372551659037
46,145.28050231933594,339.5400085449219,2.3371340484395557,-113.27235859813467
47,145.35174560546875,339.7300109863281,2.337295706846647,-113.35063387843027
48,144.8520050048828,336.3500061035156,2.3220252014611575,-110.75434633413457
49,144.70050048828125,340.2900085449219,2.3516850833040532,-114.93194547347778
50,144.63101196289062,338.6199951171875,2.3412682420010342,-113.37090730633409
51,144.78700256347656,338.2200012207031,2.335983169983942,-112.72628141840954
52,145.51800537109375,339.0,2.3296086222148027,-112.35988630022774
53,144.95550537109375,338.94000244140625,2.3382347677909987,-113.18202840048664
54,145.08248901367188,339.92999267578125,2.3430118616433986,-113.97287675549501
55,144.97500610351562,338.57000732421875,2.3353681191258007,-112.78145129317289
56,145.59024047851562,339.7699890136719,2.333741519328082,-113.01659273075595
57,144.2969970703125,334.19000244140625,2.3159872293015455,-109.46473291213607
58,144.66000366210938,334.2936096191406,2.31089175415735,-108.99905562578343
59,144.02149963378906,334.8900146484375,2.32527793072548,-110.59679350080211
60,143.85150146484375,334.4901123046875,2.3252458882845546,-110.46349049351255
61,144.7989959716797,337.7799987792969,2.3327509732550986,-112.26747033518856
62,144.3800048828125,336.5,2.3306551365829615,-111.64455361135055
63,142.59469604492188,333.25,2.3370434472192123,-111.19436112993446
64,141.67750549316406,334.19500732421875,2.358843107527353,-113.57775096158522
65,140.75888061523438,332.2300109863281,2.360277444195381,-113.05338651068206
66,140.85044860839844,329.7650146484375,2.3412422033902898,-110.44478882478865
67,139.97299194335938,328.4949951171875,2.346845563250618,-110.55083920137074
68,138.79100036621094,327.54010009765625,2.3599520086562964,-111.44960044251934
69,137.7310028076172,324.239990234375,2.354153993108391,-109.81182992985592
70,138.9532470703125,334.20001220703125,2.4051256034191186,-117.85506943686124
71,139.17098999023438,338.0799865722656,2.429241802447397,-121.39356884192236
72,138.86500549316406,338.1000061035156,2.4347387227098,-121.89344803514533
73,138.10150146484375,333.8999938964844,2.417786847751867,-118.8907997091365
74,137.5904998779297,333.6300048828125,2.4248040757087814,-119.42218805644868
75,138.114501953125,333.67999267578125,2.415966375413855,-118.65041049501588
76,137.79251098632812,332.5,2.41304841329868,-117.97537959986366
77,137.156494140625,332.9700012207031,2.4276648605447204,-119.44281314642117
78,136.927001953125,332.29998779296875,2.4268404555204306,-119.13270044755896
