,adm,pm,Ratio,Spread
0,71.29000091552734,101.97669982910156,1.4304488500418926,-20.81350935061143
1,70.84500122070312,102.37999725341797,1.4451266213472707,-21.730643658175186
2,70.83059692382812,102.87000274658203,1.4523384979687433,-22.23728165490657
3,70.93000030517578,102.8499984741211,1.4500211198591537,-22.10249725057138
4,71.27999877929688,102.93000030517578,1.4440235980345104,-21.778359197541977
5,71.50499725341797,103.19000244140625,1.4431159555981066,-21.778557751831872
6,71.54000091552734,103.37000274658203,1.4449259354726423,-21.91813966380487
7,70.5999984741211,102.12680053710938,1.4465552796654046,-21.760349265519825
8,71.15899658203125,102.5199966430664,1.4407172889921596,-21.508075613069085
9,71.12999725341797,101.98999786376953,1.4338535329954434,-21.011562080625698
10,70.91999816894531,101.70999908447266,1.4341511803508447,-20.97404723177927
11,71.30000305175781,102.04499816894531,1.4312060841690177,-20.87025831959885
12,71.22000122070312,101.65499877929688,1.4273377848489355,-20.57263627762355
13,71.30000305175781,101.77999877929688,1.4274894028463525,-20.605258929950413
14,71.22000122070312,101.5,1.425161447069657,-20.417637498326673
15,71.98999786376953,102.08999633789062,1.4181136181040164,-20.11852609123233
16,71.83499908447266,101.88999938964844,1.4183893740965086,-20.097504748113895
17,71.37000274658203,101.95999908447266,1.4286113935921854,-20.704431258309373
18,71.0999984741211,101.90499877929688,1.4332630234357622,-20.96120229913328
19,71.41999816894531,102.11000061035156,1.4297116105885146,-20.796703549084132
20,71.01000213623047,101.48999786376953,1.429235245889222,-20.650119292546666
21,70.48999786376953,101.62000274658203,1.4416230078907792,-21.38056812564587
22,71.03500366210938,102.0199966430664,1.436193304477644,-21.151249049497086
23,70.73999786376953,102.19000244140625,1.4445858853177076,-21.661895216183073
24,70.5199966430664,102.49500274658203,1.4534175783551946,-22.22092882266563
25,70.11399841308594,102.55999755859375,1.4627606452330375,-22.754725900214883
26,69.41000366210938,102.31999969482422,1.47413909085673,-23.327624029120546
27,68.87000274658203,101.99500274658203,1.480978636256029,-23.626160963288985
28,68.7699966430664,103.23999786376953,1.5012360462893595,-24.986632169862293
29,69.37000274658203,103.25,1.488395501109985,-24.30381300813291
30,69.13999938964844,103.21730041503906,1.4928738982675294,-24.536696095335078
31,68.79000091552734,102.86000061035156,1.495275465058671,-24.583536174731666
32,69.01499938964844,102.91999816894531,1.4912700004222892,-24.383730151384842
33,68.68000030517578,102.43000030517578,1.4914094328776026,-24.280552520209273
34,68.93000030517578,102.9000015258789,1.4928188172103114,-24.46188113662537
35,67.80999755859375,101.6500015258789,1.4990415157889432,-24.50513757528319
36,67.62999725341797,100.80000305175781,1.490462918016213,-23.862983728632305
37,66.91999816894531,100.11499786376953,1.4960400568305543,-23.997807679668515
38,66.91000366210938,99.5999984741211,1.4885666271532998,-23.494348851287658
39,67.19000244140625,99.04000091552734,1.4740288334100928,-22.61103938542664
40,67.91999816894531,99.55999755859375,1.4658421708278995,-22.288116957344645
41,68.58999633789062,100.61000061035156,1.466831986908452,-22.564479543914533
42,66.66000366210938,99.19000244140625,1.4879987547583566,-23.37302542285983
43,67.7300033569336,100.68000030517578,1.4864904077237,-23.62750489266445
44,68.06500244140625,100.95500183105469,1.4832145480044872,-23.515686185949395
45,68.2300033569336,101.41000366210938,1.48629633112577,-23.780163041024
46,68.45999908447266,102.0199966430664,1.4902132341133125,-24.124582159406675
47,68.4800033569336,102.0,1.489485908292855,-24.08148677462761
48,68.37000274658203,102.13999938964844,1.493930017353329,-24.348502814929436
49,70.87000274658203,101.88999938964844,1.4377027718481705,-21.2117767720592
50,71.4800033569336,101.99500274658203,1.426902601518813,-20.61241826976536
51,71.9000015258789,101.9800033569336,1.4183588482988838,-20.112451019216014
52,71.96499633789062,101.61000061035156,1.411936438282738,-19.667399386039722
53,72.45500183105469,101.58000183105469,1.4019736286517743,-19.07159595943637
54,72.02999877929688,100.79000091552734,1.399278115002506,-18.772341995032466
55,72.26000213623047,101.37000274658203,1.4028508130330664,-19.086761153924048
56,74.2300033569336,102.69999694824219,1.3835375495594573,-18.14201382426825
57,74.7300033569336,102.51000213623047,1.3717382246941836,-17.374673803682487
58,73.98509979248047,102.2699966430664,1.3823053145825546,-17.994801318091906
59,73.4800033569336,101.79000091552734,1.3852748539092494,-18.09803560441448
60,73.54000091552734,101.80999755859375,1.384416593569792,-18.04875364152041
61,74.24500274658203,101.94000244140625,1.3730217343967868,-17.3646996659422
62,74.20999908447266,102.22000122070312,1.3774424266512508,-17.68511683844186
63,74.5,102.45999908447266,1.3753020011338613,-17.590253424087795
64,75.02999877929688,102.69999694824219,1.3687858006014033,-17.21826677630303
65,75.13999938964844,102.37999725341797,1.3625232643736516,-16.77125043082542
66,75.16999816894531,102.48999786376953,1.3634428676374615,-16.846611738196746
67,74.46959686279297,102.3499984741211,1.3743863641788818,-17.515359024920432
68,75.13999938964844,102.82499694824219,1.368445538773956,-17.21625012564964
69,75.93000030517578,103.5199966430664,1.3633609406953993,-16.999043333776218
70,74.73999786376953,103.16999816894531,1.3803853507862798,-18.02312927512975
71,74.16000366210938,102.72260284423828,1.3851482978920404,-18.245447697081165
72,74.48999786376953,103.13999938964844,1.3846154161297635,-18.281803100119905
73,74.51499938964844,103.58999633789062,1.3901898568931783,-18.702931026015637
74,74.80000305175781,103.2699966430664,1.380614872055671,-18.053840333701604
75,74.68000030517578,102.83460235595703,1.3770032396321503,-17.75701206810196
76,75.0,102.86000061035156,1.3714666748046875,-17.412909741392657
77,75.27999877929688,102.06999969482422,1.355871431322273,-16.299596918598045
