,low,tsla,Ratio,Spread
0,217.72999572753906,361.8833312988281,1.6620738455884523,-106.04947053978634
1,220.7100067138672,365.933349609375,1.657982594707535,-106.5979606700327
2,220.77479553222656,365.8033447265625,1.6569071838327945,-106.39182859363115
3,220.1699981689453,364.6666564941406,1.6562958601394782,-105.96578036240948
4,219.9250030517578,366.4100036621094,1.6660679712523516,-107.99699804857556
5,219.7899932861328,366.6700134277344,1.6682743738491603,-108.41564498068101
6,219.57000732421875,366.6086730957031,1.669666442896119,-108.61278928123886
7,214.11500549316406,370.2613525390625,1.7292639144381856,-118.67512383079108
8,213.6300048828125,366.0902099609375,1.7136647549194113,-115.0738594552634
9,211.8699951171875,367.9466247558594,1.7366622609886042,-118.99829474414108
10,211.11000061035156,368.5013122558594,1.745541713753329,-120.44597968434132
11,210.6999969482422,364.7033386230469,1.7309128804241756,-117.1297624556122
12,209.2949981689453,362.5699768066406,1.7323394251112012,-116.64728140493682
13,209.67999267578125,364.663330078125,1.739142230141087,-118.28826415794603
14,206.0399932861328,364.5566711425781,1.7693490731011106,-122.45862315877775
15,205.375,365.2492980957031,1.7784506298025715,-123.93262063093354
16,205.3000030517578,364.6600036621094,1.776229898886926,-123.43144799585374
17,204.63999938964844,363.4466552734375,1.776029399713838,-122.99360729241528
18,204.00999450683594,363.6666564941406,1.7825923547189495,-123.95386747894625
19,203.47999572753906,362.4066467285156,1.7810431213777904,-123.31660899502694
20,202.10000610351562,359.1999816894531,1.7773378072312918,-121.73143883608711
21,201.86000061035156,361.2866516113281,1.7897882221288421,-124.1001164423621
22,202.3000030517578,362.123291015625,1.7900310704541953,-124.41975072317001
23,201.88999938964844,360.7408752441406,1.7868189426654533,-123.519091355769
24,201.89999389648438,359.1766662597656,1.7789830466459458,-121.94313877464393
25,202.66000366210938,361.1433410644531,1.7820158617315511,-123.01679820997583
26,202.2449951171875,358.5533447265625,1.7728663422242155,-120.9144390391213
27,202.41000366210938,361.52001953125,1.786077827135209,-123.68722795792277
28,202.25,369.3333435058594,1.8261228356284764,-131.68855705546545
29,202.36500549316406,377.7933349609375,1.8668906416910085,-140.01341646671864
30,202.52999877929688,377.484619140625,1.8638454619850244,-139.51083268967545
31,202.47999572753906,381.3974304199219,1.8836301781294855,-143.48239781103342
32,203.00999450683594,382.0658264160156,1.8820050083945514,-143.52804252542148
33,203.75999450683594,380.3433532714844,1.8666242811403504,-140.92431553744007
34,204.16000366210938,381.8466796875,1.8703304899987518,-141.9576291461224
35,202.82000732421875,375.6166687011719,1.8519704917509854,-137.30212072376128
36,205.3000030517578,372.0,1.8119824377509421,-130.77144433374437
37,205.74000549316406,364.6000061035156,1.7721395760127452,-122.85444531377104
38,206.08999633789062,367.64501953125,1.783905216478752,-125.48821770538854
39,205.27000427246094,367.6666564941406,1.791136789796749,-126.47334954729055
40,205.0,363.6433410644531,1.7738699564119664,-122.76729052140863
41,204.8800048828125,363.7200012207031,1.7752830561905937,-122.98494555528094
42,200.28500366210938,346.489990234375,1.7299846913097927,-111.15408455082323
43,197.6999969482422,347.5233154296875,1.757831668154598,-115.22480588205565
44,198.02000427246094,344.3666687011719,1.7390499003694027,-111.69214890767338
