,msft,avgo,Ratio,Spread
0,289.95001220703125,596.47998046875,2.0571821188365704,7.210691114671584
1,287.8999938964844,599.5,2.0823202942322836,-0.09234235798510948
2,291.7699890136719,602.5800170898438,2.06525701675784,4.9130527432789615
3,290.3800048828125,602.8400268554688,2.0760383522231654,1.749009691621148
4,289.4049987792969,595.8499755859375,2.0588793493520083,6.70202318796293
5,288.70001220703125,595.2835083007812,2.0619448670957943,5.79559274240932
6,289.67999267578125,595.989990234375,2.0574081928448034,7.1365413065669765
7,280.2300109863281,590.9400024414062,2.1087677239188953,-7.55690592918291
8,282.4700012207031,586.1199951171875,2.074981387702238,1.9430154002349065
9,281.8163146972656,581.7000122070312,2.064110492793536,4.997279536666832
10,282.5849914550781,577.2650146484375,2.042801394638837,11.038239955791362
11,282.8900146484375,577.760009765625,2.0423485448351304,11.180516507295458
12,281.5,576.1500244140625,2.0467141187000446,9.88640481377876
13,278.8999938964844,570.6500244140625,2.0460739939128976,9.954325338288974
14,273.95001220703125,567.7000122070312,2.072275914987021,2.56255646143324
15,271.2200012207031,570.780029296875,2.104490917808113,-6.22115364153172
16,280.05999755859375,587.6500244140625,2.0983004696738785,-4.622129549291009
17,280.8599853515625,588.1099853515625,2.0939614613146267,-3.410710844661714
18,278.80999755859375,584.6699829101562,2.0970194326955007,-4.253658585615773
19,277.42999267578125,581.719970703125,2.096817164908887,-4.186830456447075
20,275.739990234375,575.72998046875,2.0879451688505095,-1.7276886931880489
21,284.79998779296875,591.489990234375,2.076861009784699,1.4409597160576988
22,284.6700134277344,591.2000122070312,2.076790614818697,1.4593879648162948
23,285.92999267578125,593.77001953125,2.076627268005884,1.5218003889989342
24,286.8324890136719,597.530029296875,2.0832020506170545,-0.35266309766485104
25,287.6499938964844,597.1400146484375,2.0759256990053276,1.7453288855311877
26,288.7550048828125,600.2849731445312,2.078872964948778,0.9090217002583296
27,288.4800109863281,597.02001953125,2.0695368718616156,3.5994425464980333
28,283.45001220703125,581.523193359375,2.0515899393739723,8.58731141484531
29,281.1199951171875,578.1300048828125,2.056523957471661,7.1124966993511345
30,282.67999267578125,583.2899780273438,2.0634285875914324,5.211758488304548
31,283.79998779296875,582.3499755859375,2.0519732228133853,8.491717932310273
32,285.67498779296875,587.25,2.0556577407665295,7.509049328594409
33,285.4599914550781,587.6749877929688,2.0586947571791305,6.634879053791445
34,285.54998779296875,587.510009765625,2.057468166279822,6.987882508946307
35,285.760009765625,583.5499877929688,2.0420981517728305,11.386694238874718
36,285.4800109863281,579.989990234375,2.031630824976223,14.361702546818599
37,283.75,583.2899780273438,2.055647499655837,7.4472781729134505
38,285.65399169921875,586.8800048828125,2.0545135791442806,7.835178221863878
39,285.2200012207031,586.010009765625,2.054589465176289,7.7984559403056375
40,282.4049987792969,581.72998046875,2.0599138931084555,6.197223279856751
41,280.0199890136719,577.989990234375,2.064102610210998,4.954316520576065
42,284.29998779296875,574.97998046875,2.0224411015010615,16.906341265590292
43,281.9150085449219,575.5900268554688,2.041714734615667,11.31346164426224
44,280.29998779296875,571.4099731445312,2.0385658153027753,12.119322861069683
45,278.44500732421875,567.1699829101562,2.0369192048387093,12.483783219531567
46,277.75,565.4400024414062,2.035787587547817,12.761715165741968
47,277.9200134277344,570.2000122070312,2.0516694899890555,8.356907047568818
48,276.42999267578125,567.6799926757812,2.053612153951763,7.763891138711863
49,280.69000244140625,590.697998046875,2.1044497235706947,-6.3538614283796795
50,283.3399963378906,593.5339965820312,2.094776608503326,-3.6533431700554564
51,285.010009765625,594.4749755859375,2.085803849748287,-1.10523587823264
52,283.2699890136719,590.1099853515625,2.083206863551935,-0.37559519201079805
53,282.92999267578125,589.1300048828125,2.0822465632263873,-0.1059542591179996
54,286.05389404296875,593.7750244140625,2.0757452940838843,1.7756572345393744
55,287.25,592.47998046875,2.0625934916231508,5.56967324415404
56,291.75,603.9600219726562,2.0701286100176737,3.4912856850794407
57,291.1499938964844,598.405029296875,2.0553152733694793,7.792711749740527
58,290.4100036621094,597.280029296875,2.056678563978834,7.371682392818564
59,288.2349853515625,592.6799926757812,2.0562389119866373,7.427548018482519
60,284.739990234375,586.8900146484375,2.061143621467982,5.915585016787753
61,291.4049987792969,600.6900024414062,2.0613579209612474,6.040509196863803
62,294.4200134277344,607.3400268554688,2.062835402337691,5.6896235301808185
63,292.5918884277344,605.5449829101562,2.069589099561509,3.6652455604054177
64,290.9599914550781,601.1799926757812,2.066194701440932,4.620784547995407
65,291.5400085449219,600.760009765625,2.060643452553981,6.252571893884913
66,293.2699890136719,603.1199951171875,2.0565349940701596,7.506959364212428
67,292.2300109863281,598.719970703125,2.048797003026277,9.734202995316075
